~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.24444444444444444,0.605,0.8245236069570676,0.9111111111111111,0.8643874643874644,1,0.605
2,2,0.35555555555555557,0.63,0.825994817116186,0.9111111111111111,0.8660968660968662,2,0.63
3,3,0.5333333333333333,0.655,0.8268329252698863,0.9111111111111111,0.8672364672364672,3,0.655
4,4,0.6,0.705,0.8235378767711659,0.9111111111111111,0.8660968660968662,4,0.705
5,5,0.7555555555555555,0.745,0.8205254262509325,0.9111111111111111,0.8605413105413107,5,0.745
6,6,0.7555555555555555,0.77,0.8203077642263906,0.9111111111111111,0.8611111111111112,6,0.77
7,7,0.7777777777777778,0.8200000000000001,0.8161826188849902,0.9111111111111111,0.8588319088319089,7,0.8200000000000001
8,8,0.7777777777777778,0.825,0.8144076936538958,0.888888888888889,0.8588319088319089,8,0.825
9,9,0.7777777777777778,0.85,0.8133552282436033,0.888888888888889,0.8582621082621084,9,0.85
10,10,0.7777777777777778,0.865,0.8180058305090829,0.888888888888889,0.8622507122507123,10,0.865
11,11,0.7777777777777778,0.87,0.818920136104774,0.9111111111111111,0.862820512820513,11,0.87
12,12,0.8,0.88,0.8177952315809127,0.888888888888889,0.862820512820513,12,0.88
13,13,0.8,0.8899999999999999,0.8181323264442709,0.888888888888889,0.8633903133903135,13,0.8899999999999999
14,14,0.8,0.8899999999999999,0.8182944590477448,0.888888888888889,0.8633903133903135,13,0.8899999999999999
15,15,0.7777777777777778,0.8899999999999999,0.8172081464263968,0.888888888888889,0.862820512820513,13,0.8899999999999999
16,16,0.7777777777777778,0.9,0.8177269178219089,0.888888888888889,0.8639601139601139,16,0.9
17,17,0.7777777777777778,0.9,0.8199315037496588,0.888888888888889,0.8695156695156695,16,0.9
18,18,0.7777777777777778,0.905,0.8182682993546081,0.888888888888889,0.8650997150997152,18,0.905
19,19,0.7555555555555555,0.9199999999999999,0.8177420906154336,0.888888888888889,0.8650997150997152,19,0.9199999999999999
20,20,0.7555555555555555,0.925,0.8164497149122927,0.888888888888889,0.8639601139601139,20,0.925
21,21,0.7555555555555555,0.925,0.820468511606258,0.888888888888889,0.8712250712250712,20,0.925
22,22,0.7555555555555555,0.925,0.8184841749044797,0.888888888888889,0.8656695156695157,20,0.925
23,23,0.7777777777777778,0.925,0.8178002914344894,0.888888888888889,0.8656695156695157,20,0.925
24,24,0.7777777777777778,0.925,0.8189609922498152,0.888888888888889,0.8668091168091169,20,0.925
25,25,0.7777777777777778,0.925,0.8159633036879134,0.888888888888889,0.8601139601139601,20,0.925
26,26,0.8,0.925,0.8188448612219811,0.888888888888889,0.8623931623931624,20,0.925
27,27,0.8222222222222222,0.935,0.8184574493112797,0.888888888888889,0.8623931623931624,27,0.935
28,28,0.8222222222222222,0.94,0.8191185641460704,0.888888888888889,0.8629629629629629,28,0.94
29,29,0.8444444444444444,0.945,0.8192263944564783,0.8666666666666667,0.8629629629629629,29,0.945
30,30,0.8444444444444444,0.945,0.8189681358864638,0.8666666666666667,0.8629629629629629,29,0.945
