~iteration~,lr
0,0.0001
9,0.0001
18,0.0001
27,0.0001
36,0.0001
45,0.0001
54,0.0001
63,0.0001
72,0.0001
81,0.0001
90,0.0001
99,0.0001
108,0.0001
117,0.0001
126,0.0001
135,0.0001
144,0.0001
153,0.0001
162,0.0001
171,0.0001
180,0.0001
189,0.0001
198,0.0001
207,0.0001
216,0.0001
225,0.0001
234,0.0001
243,0.0001
252,0.0001
261,0.0001
270,0.0001
279,0.0001
288,0.0001
297,0.0001
306,0.0001
315,0.0001
324,0.0001
333,0.0001
342,0.0001
351,0.0001
360,0.0001
369,0.0001
378,0.0001
387,0.0001
396,0.0001
405,0.0001
414,0.0001
423,0.0001
432,0.0001
441,0.0001
450,0.0001
459,0.0001
468,0.0001
477,0.0001
486,0.0001
495,0.0001
504,0.0001
513,0.0001
522,0.0001
531,0.0001
540,0.0001
549,0.0001
558,0.0001
567,0.0001
576,0.0001
585,0.0001
594,0.0001
603,0.0001
612,0.0001
621,0.0001
630,0.0001
639,0.0001
648,0.0001
657,0.0001
666,0.0001
675,0.0001
684,0.0001
693,0.0001
702,0.0001
711,0.0001
720,0.0001
729,0.0001
738,0.0001
747,0.0001
756,0.0001
765,0.0001
774,0.0001
783,0.0001
792,0.0001
801,0.0001
810,0.0001
819,0.0001
828,0.0001
837,0.0001
846,0.0001
855,0.0001
864,0.0001
873,0.0001
882,0.0001
891,0.0001
900,0.0001
909,0.0001
918,0.0001
927,0.0001
936,0.0001
945,0.0001
954,0.0001
963,0.0001
972,0.0001
981,0.0001
990,0.0001
999,0.0001
1008,0.0001
1017,0.0001
1026,0.0001
1035,0.0001
1044,0.0001
1053,0.0001
1062,0.0001
1071,0.0001
1080,0.0001
1089,0.0001
1098,0.0001
1107,0.0001
1116,0.0001
1125,0.0001
1134,0.0001
1143,0.0001
1152,0.0001
1161,0.0001
1170,0.0001
1179,0.0001
1188,0.0001
1197,0.0001
1206,0.0001
1215,0.0001
1224,0.0001
1233,0.0001
1242,0.0001
1251,0.0001
1260,0.0001
1269,0.0001
1278,0.0001
1287,0.0001
1296,0.0001
1305,0.0001
1314,0.0001
1323,0.0001
1332,0.0001
1341,0.0001
1350,0.0001
1359,0.0001
1368,0.0001
1377,0.0001
1386,0.0001
1395,0.0001
1404,0.0001
1413,0.0001
1422,0.0001
1431,0.0001
1440,0.0001
1449,0.0001
1458,0.0001
1467,0.0001
1476,0.0001
1485,0.0001
1494,0.0001
1503,0.0001
1512,0.0001
1521,0.0001
1530,0.0001
1539,0.0001
1548,0.0001
1557,0.0001
1566,0.0001
1575,0.0001
1584,0.0001
1593,0.0001
1602,0.0001
1611,0.0001
1620,0.0001
1629,0.0001
1638,0.0001
1647,0.0001
1656,0.0001
1665,0.0001
1674,0.0001
1683,0.0001
1692,0.0001
1701,0.0001
1710,0.0001
1719,0.0001
1728,0.0001
1737,0.0001
1746,0.0001
1755,0.0001
1764,0.0001
1773,0.0001
1782,0.0001
1791,0.0001
