~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_acc_auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy,folder_name,csv_filename
141,141,0.111111111,0.5125,0.311805556,0.726241819,0.777777778,0.783475783,5,0.879444444,shiyan11-Angularloss,best_auc_HOLD_OUT_vs_self.csv
141,141,0.338362069,0.583435341,0.460898705,0.396756333,0.706896552,0.583673567,5,0.6867444,shiyan11-Angularloss,best_auc_TOTAL_vs_self.csv
141,141,0.349315068,0.660887513,0.505101291,0.39971483,0.650684932,0.58329933,6,0.702432249,shiyan11-Angularloss,best_auc_TOTAL_WITHOUT_TRAIN_vs_self.csv
141,141,0.333333333,0.54009434,0.436713836,0.398110119,0.647798742,0.583658728,5,0.680020322,shiyan11-Angularloss,best_auc_TRAIN_vs_self.csv
141,141,0.510204082,0.825833333,0.668018707,0.466727458,0.816326531,0.594646554,141,0.668018707,shiyan11-Angularloss,best_auc_VAL_vs_self.csv
141,141,0.403846154,0.577572965,0.490709559,0.323207635,0.576923077,0.513461538,6,0.703606877,shiyan11-Angularloss,best_auc_ZHEYI_vs_self.csv
22,22,0.888888889,0.795,0.841944444,0.765370873,0.844444444,0.811965812,22,0.841944444,shiyan11-Angularloss-nominer,best_auc_HOLD_OUT_vs_self.csv
22,22,0.661637931,0.647897259,0.654767595,0.412743573,0.726293103,0.592375522,3,0.680634314,shiyan11-Angularloss-nominer,best_auc_TOTAL_vs_self.csv
22,22,0.650684932,0.642724458,0.646704695,0.441113669,0.705479452,0.589863014,20,0.655889421,shiyan11-Angularloss-nominer,best_auc_TOTAL_WITHOUT_TRAIN_vs_self.csv
22,22,0.666666667,0.656283375,0.661475021,0.407211485,0.779874214,0.590881568,3,0.695751009,shiyan11-Angularloss-nominer,best_auc_TRAIN_vs_self.csv
