~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.42887931034482757,0.6206145355712774,0.547651796760231,0.790948275862069,0.6833762959206671,1,0.6206145355712774
2,2,0.49353448275862066,0.6550758314487852,0.5513022010384676,0.790948275862069,0.6864050770617707,2,0.6550758314487852
3,3,0.5668103448275862,0.6840805825847011,0.5558434312120097,0.7801724137931034,0.6897849270123609,3,0.6840805825847011
4,4,0.6336206896551724,0.7096827735015249,0.5596634363936772,0.7780172413793104,0.6925393002028397,4,0.7096827735015249
5,5,0.6810344827586207,0.7336459262640304,0.56309178638665,0.7844827586206896,0.6948510449714811,5,0.7336459262640304
6,6,0.709051724137931,0.7532936367974439,0.5664354360019471,0.7931034482758621,0.6971806682443091,6,0.7532936367974439
7,7,0.7219827586206896,0.7705761530322206,0.5706911809981654,0.7931034482758621,0.6999707984431615,7,0.7705761530322206
8,8,0.7349137931034483,0.7861366418390423,0.574264562571856,0.8038793103448276,0.7022811887796674,8,0.7861366418390423
9,9,0.7543103448275862,0.800804995954273,0.5777205010113848,0.8038793103448276,0.7049672985905238,9,0.800804995954273
10,10,0.7607758620689655,0.8141247743729123,0.5806051800160673,0.8017241379310345,0.7073066737747266,10,0.8141247743729123
11,11,0.7672413793103449,0.8267598912840516,0.5831702591517525,0.8103448275862069,0.7093217979057228,11,0.8267598912840516
12,12,0.7737068965517241,0.8363866470258718,0.5861815810971138,0.8125,0.7116966592118721,12,0.8363866470258718
13,13,0.7866379310344828,0.8436378348098508,0.5891285890919151,0.8254310344827586,0.713810115115896,13,0.8436378348098508
14,14,0.7952586206896551,0.8521338616983756,0.5920200251608858,0.8297413793103449,0.7157447859780517,14,0.8521338616983756
15,15,0.7931034482758621,0.8596443909624683,0.5944428981297601,0.8383620689655172,0.7174229273937692,15,0.8596443909624683
16,16,0.8017241379310345,0.8655988713458784,0.5965320533475466,0.8383620689655172,0.7188635014129438,16,0.8655988713458784
17,17,0.8060344827586207,0.8703292599431524,0.5990194479881221,0.8362068965517241,0.7208534331062221,17,0.8703292599431524
18,18,0.8125,0.8755264632046308,0.6013851326868348,0.834051724137931,0.722963367486694,18,0.8755264632046308
19,19,0.8125,0.879810784456109,0.6035991311999065,0.8383620689655172,0.724587873389851,19,0.879810784456109
20,20,0.8146551724137931,0.8842299632772466,0.6060110924712252,0.834051724137931,0.7262725160798184,20,0.8842299632772466
21,21,0.8189655172413793,0.8862632004813378,0.6084134630182556,0.834051724137931,0.727969348659004,21,0.8862632004813378
22,22,0.8254310344827587,0.8884209215958837,0.6105348627274281,0.8383620689655172,0.7290672513479308,22,0.8884209215958837
23,23,0.8275862068965517,0.8907238739392933,0.6122296138068247,0.8405172413793104,0.7300226677762174,23,0.8907238739392933
24,24,0.8318965517241379,0.8919064710886119,0.6142261192705276,0.8362068965517241,0.7314835582774224,24,0.8919064710886119
25,25,0.8297413793103449,0.8939604556111123,0.616028239797988,0.834051724137931,0.7325730634871103,25,0.8939604556111123
26,26,0.8318965517241379,0.894541380526567,0.6178422249100999,0.834051724137931,0.7341566655397792,26,0.894541380526567
27,27,0.8297413793103449,0.8952675366708854,0.6191462985377507,0.8362068965517241,0.734942236178291,27,0.8952675366708854
28,28,0.8297413793103449,0.8966991016411128,0.6204163437992785,0.8362068965517241,0.7359892122189281,28,0.8966991016411128
29,29,0.8383620689655172,0.8988360754372497,0.6216300295839654,0.8362068965517241,0.7367138334113486,29,0.8988360754372497
30,30,0.8362068965517241,0.900620344820432,0.623175303899703,0.8362068965517241,0.7378477639950763,30,0.900620344820432
31,31,0.8362068965517241,0.9031515176663417,0.6247259183291314,0.8362068965517241,0.7387752791213745,31,0.9031515176663417
32,32,0.8405172413793104,0.9055582066017966,0.6259962422693026,0.8362068965517241,0.7394996294273677,32,0.9055582066017966
33,33,0.8426724137931034,0.9067822983879333,0.6275943511716828,0.8383620689655172,0.7408237222829007,33,0.9067822983879333
34,34,0.8383620689655172,0.9077989169899792,0.6286990333166786,0.8362068965517241,0.7417092500130025,34,0.9077989169899792
35,35,0.8362068965517241,0.9081723687213428,0.6297678926668668,0.834051724137931,0.7423680458036442,35,0.9081723687213428
36,36,0.8362068965517241,0.9082968526317974,0.6309229817115078,0.834051724137931,0.7430227782978798,36,0.9082968526317974
37,37,0.8426724137931034,0.9085873150895246,0.6319336013250663,0.8362068965517241,0.743646629739429,37,0.9085873150895246
38,38,0.8362068965517241,0.9100188800597522,0.6331463597089041,0.8297413793103449,0.7445822714585392,38,0.9100188800597522
39,39,0.8405172413793104,0.9105583103383889,0.6343662713370211,0.8297413793103449,0.7453580901856763,39,0.9105583103383889
40,40,0.8405172413793104,0.910807278159298,0.6354396198169446,0.8318965517241379,0.7461756254225829,40,0.910807278159298
41,41,0.8426724137931034,0.9119068860349802,0.6364378112100866,0.8362068965517241,0.7469016010471387,41,0.9119068860349802
42,42,0.8426724137931034,0.9129442519554347,0.637634327823678,0.8297413793103449,0.7477800857301363,42,0.9129442519554347
43,43,0.8383620689655172,0.9140023651942987,0.6383098996678184,0.8275862068965517,0.7482438432932855,43,0.9140023651942987
44,44,0.8383620689655172,0.9152679516172534,0.6389965827260133,0.8297413793103449,0.7485995171720323,44,0.9152679516172534
45,45,0.8383620689655172,0.9165335380402084,0.6398116509474645,0.8275862068965517,0.7491786723531145,45,0.9165335380402084
