~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.5192307692307693,0.6820276497695853,0.47619498203595095,0.6538461538461539,0.6211538461538462,1,0.6820276497695853
2,2,0.5192307692307693,0.7035330261136713,0.4776605577949292,0.6730769230769231,0.6230769230769231,2,0.7035330261136713
3,3,0.6153846153846154,0.7188940092165899,0.4797430249440024,0.6730769230769231,0.6272435897435896,3,0.7188940092165899
4,4,0.6538461538461539,0.749615975422427,0.48216091711690573,0.6730769230769231,0.6285256410256411,4,0.749615975422427
5,5,0.7115384615384616,0.7695852534562213,0.4845594536871276,0.6923076923076923,0.6301282051282051,5,0.7695852534562213
6,6,0.75,0.781874039938556,0.4870812514474072,0.7115384615384616,0.6301282051282051,6,0.781874039938556
7,7,0.75,0.7864823348694316,0.4917122235414209,0.7115384615384616,0.6346153846153847,7,0.7864823348694316
8,8,0.75,0.8049155145929339,0.494476739032341,0.7307692307692308,0.6391025641025642,8,0.8049155145929339
9,9,0.75,0.8187403993855606,0.49738020380180537,0.75,0.6407051282051283,9,0.8187403993855606
10,10,0.7692307692307693,0.8294930875576036,0.4971376796780934,0.7307692307692308,0.6413461538461539,10,0.8294930875576036
11,11,0.7692307692307693,0.8371735791090629,0.49656352624834804,0.7307692307692308,0.641025641025641,11,0.8371735791090629
12,12,0.7692307692307693,0.8387096774193548,0.49861168926673677,0.75,0.6416666666666667,12,0.8387096774193548
13,13,0.7884615384615384,0.8433179723502304,0.4978888632581658,0.7307692307692308,0.6387820512820513,13,0.8433179723502304
14,14,0.7884615384615384,0.8479262672811059,0.5021627607019828,0.75,0.6416666666666667,14,0.8479262672811059
15,15,0.7884615384615384,0.8540706605222733,0.5041400059025322,0.7692307692307693,0.6435897435897436,15,0.8540706605222733
16,16,0.7884615384615384,0.858678955453149,0.5078098494836556,0.7692307692307693,0.6461538461538461,16,0.858678955453149
17,17,0.7884615384615384,0.8663594470046083,0.5120611700813995,0.7692307692307693,0.6496794871794872,17,0.8663594470046083
18,18,0.7884615384615384,0.8725038402457757,0.513380883098131,0.7692307692307693,0.6506410256410255,18,0.8725038402457757
19,19,0.7884615384615384,0.8694316436251919,0.5160490197145708,0.7884615384615385,0.6516025641025641,18,0.8725038402457757
20,20,0.7884615384615384,0.8694316436251919,0.5195488891546108,0.7692307692307693,0.6560897435897436,18,0.8725038402457757
21,21,0.7884615384615384,0.8678955453149001,0.5230474519500113,0.7884615384615385,0.6580128205128206,18,0.8725038402457757
22,22,0.7884615384615384,0.8648233486943164,0.5289840966396119,0.8076923076923077,0.6634615384615385,18,0.8725038402457757
23,23,0.7692307692307693,0.8678955453149001,0.5313354830571778,0.8076923076923077,0.6650641025641025,18,0.8725038402457757
24,24,0.8269230769230769,0.8709677419354838,0.5319783790992053,0.8076923076923077,0.6641025641025641,18,0.8725038402457757
25,25,0.8076923076923077,0.8725038402457757,0.5342636699584543,0.7692307692307693,0.6660256410256411,18,0.8725038402457757
26,26,0.7884615384615384,0.8725038402457758,0.5371289845758881,0.8076923076923077,0.6682692307692308,26,0.8725038402457758
27,27,0.7692307692307693,0.8740399385560677,0.5404727277418605,0.8076923076923077,0.669551282051282,27,0.8740399385560677
28,28,0.7692307692307693,0.8725038402457757,0.5425288252960766,0.826923076923077,0.6705128205128205,27,0.8740399385560677
29,29,0.7884615384615384,0.8725038402457757,0.5439651857199749,0.826923076923077,0.6698717948717949,27,0.8740399385560677
30,30,0.7692307692307693,0.8725038402457757,0.5474732704823879,0.826923076923077,0.6721153846153847,27,0.8740399385560677
