Dim1,Dim2
-1.0147538,3.3978856
-1.9134386,2.0881588
-2.1390083,1.586861
-1.7137215,2.4591308
-1.1946547,2.6014063
-2.0750046,1.8301984
-1.0778354,2.0845428
0.16316742,3.4669068
9.414762,3.8382366
-1.8043039,1.5164226
-0.7391512,4.044816
0.2873836,3.814076
9.639257,2.0877593
-0.75075436,2.902583
-0.61430997,2.496364
-1.5174907,2.1345658
-1.6736356,1.7865932
-0.05451838,3.105492
-1.0645763,3.9186304
-1.7408073,1.6863037
1.7357367,4.253062
9.95593,3.3718333
9.354649,2.4944062
10.323716,2.8019657
10.291471,3.3715937
-0.6892697,3.6832585
-0.22025841,3.5765302
10.320604,3.0567794
9.966171,2.8372118
8.637158,2.8383582
10.167879,2.4698658
9.156963,3.4047236
1.3414613,4.381281
8.847253,3.056797
0.0026742741,4.046168
8.14278,3.291284
1.3092612,3.9658384
-0.48458958,3.282139
1.968055,4.668901
8.4488945,3.5893037
0.96921337,4.263514
-0.25684756,2.9232574
8.816164,3.6745718
1.5192617,4.5021505
-1.1949873,3.5694656
9.705102,3.248949
9.528263,2.5172331
0.8769756,3.9047606
9.505557,3.1923819
8.680678,3.3705578
9.248657,2.9323282
9.987357,2.3229153
