~iteration~,metric_loss,classifier_loss,total_loss
0,1,0.5,1.0
7,1,0.5,1.0
14,1,0.5,1.0
21,1,0.5,1.0
28,1,0.5,1.0
35,1,0.5,1.0
42,1,0.5,1.0
49,1,0.5,1.0
56,1,0.5,1.0
63,1,0.5,1.0
70,1,0.5,1.0
77,1,0.5,1.0
84,1,0.5,1.0
91,1,0.5,1.0
98,1,0.5,1.0
105,1,0.5,1.0
112,1,0.5,1.0
119,1,0.5,1.0
126,1,0.5,1.0
133,1,0.5,1.0
140,1,0.5,1.0
147,1,0.5,1.0
154,1,0.5,1.0
161,1,0.5,1.0
168,1,0.5,1.0
175,1,0.5,1.0
182,1,0.5,1.0
189,1,0.5,1.0
196,1,0.5,1.0
203,1,0.5,1.0
210,1,0.5,1.0
217,1,0.5,1.0
224,1,0.5,1.0
231,1,0.5,1.0
238,1,0.5,1.0
245,1,0.5,1.0
252,1,0.5,1.0
259,1,0.5,1.0
266,1,0.5,1.0
273,1,0.5,1.0
280,1,0.5,1.0
287,1,0.5,1.0
294,1,0.5,1.0
301,1,0.5,1.0
308,1,0.5,1.0
315,1,0.5,1.0
322,1,0.5,1.0
329,1,0.5,1.0
336,1,0.5,1.0
343,1,0.5,1.0
350,1,0.5,1.0
357,1,0.5,1.0
364,1,0.5,1.0
371,1,0.5,1.0
378,1,0.5,1.0
385,1,0.5,1.0
392,1,0.5,1.0
399,1,0.5,1.0
406,1,0.5,1.0
413,1,0.5,1.0
420,1,0.5,1.0
427,1,0.5,1.0
434,1,0.5,1.0
441,1,0.5,1.0
448,1,0.5,1.0
455,1,0.5,1.0
462,1,0.5,1.0
469,1,0.5,1.0
476,1,0.5,1.0
483,1,0.5,1.0
490,1,0.5,1.0
497,1,0.5,1.0
504,1,0.5,1.0
511,1,0.5,1.0
518,1,0.5,1.0
525,1,0.5,1.0
532,1,0.5,1.0
539,1,0.5,1.0
546,1,0.5,1.0
553,1,0.5,1.0
560,1,0.5,1.0
567,1,0.5,1.0
574,1,0.5,1.0
581,1,0.5,1.0
588,1,0.5,1.0
595,1,0.5,1.0
602,1,0.5,1.0
609,1,0.5,1.0
616,1,0.5,1.0
623,1,0.5,1.0
630,1,0.5,1.0
637,1,0.5,1.0
644,1,0.5,1.0
651,1,0.5,1.0
658,1,0.5,1.0
665,1,0.5,1.0
672,1,0.5,1.0
679,1,0.5,1.0
686,1,0.5,1.0
693,1,0.5,1.0
700,1,0.5,1.0
707,1,0.5,1.0
714,1,0.5,1.0
721,1,0.5,1.0
728,1,0.5,1.0
735,1,0.5,1.0
742,1,0.5,1.0
749,1,0.5,1.0
756,1,0.5,1.0
763,1,0.5,1.0
770,1,0.5,1.0
777,1,0.5,1.0
784,1,0.5,1.0
791,1,0.5,1.0
798,1,0.5,1.0
805,1,0.5,1.0
812,1,0.5,1.0
819,1,0.5,1.0
826,1,0.5,1.0
833,1,0.5,1.0
840,1,0.5,1.0
847,1,0.5,1.0
854,1,0.5,1.0
861,1,0.5,1.0
868,1,0.5,1.0
875,1,0.5,1.0
882,1,0.5,1.0
889,1,0.5,1.0
896,1,0.5,1.0
903,1,0.5,1.0
910,1,0.5,1.0
917,1,0.5,1.0
924,1,0.5,1.0
931,1,0.5,1.0
938,1,0.5,1.0
945,1,0.5,1.0
952,1,0.5,1.0
959,1,0.5,1.0
966,1,0.5,1.0
973,1,0.5,1.0
980,1,0.5,1.0
987,1,0.5,1.0
994,1,0.5,1.0
1001,1,0.5,1.0
1008,1,0.5,1.0
1015,1,0.5,1.0
1022,1,0.5,1.0
1029,1,0.5,1.0
1036,1,0.5,1.0
1043,1,0.5,1.0
1050,1,0.5,1.0
1057,1,0.5,1.0
1064,1,0.5,1.0
1071,1,0.5,1.0
1078,1,0.5,1.0
1085,1,0.5,1.0
1092,1,0.5,1.0
1099,1,0.5,1.0
1106,1,0.5,1.0
1113,1,0.5,1.0
1120,1,0.5,1.0
1127,1,0.5,1.0
1134,1,0.5,1.0
1141,1,0.5,1.0
1148,1,0.5,1.0
1155,1,0.5,1.0
1162,1,0.5,1.0
1169,1,0.5,1.0
1176,1,0.5,1.0
1183,1,0.5,1.0
1190,1,0.5,1.0
1197,1,0.5,1.0
1204,1,0.5,1.0
1211,1,0.5,1.0
1218,1,0.5,1.0
1225,1,0.5,1.0
1232,1,0.5,1.0
1239,1,0.5,1.0
1246,1,0.5,1.0
1253,1,0.5,1.0
1260,1,0.5,1.0
1267,1,0.5,1.0
1274,1,0.5,1.0
1281,1,0.5,1.0
1288,1,0.5,1.0
1295,1,0.5,1.0
1302,1,0.5,1.0
1309,1,0.5,1.0
1316,1,0.5,1.0
