epoch,best_auc_TOTAL_vs_self/epoch,best_auc_TOTAL_vs_self/acc_yinda_level0,best_auc_TOTAL_vs_self/auc_yinda_level0,best_auc_TOTAL_vs_self/mean_average_precision_at_r_level0,best_auc_TOTAL_vs_self/precision_at_1_level0,best_auc_TOTAL_vs_self/r_precision_level0,best_auc_TOTAL_vs_self/best_epoch,best_auc_TOTAL_vs_self/best_accuracy
1,1.0,0.6616379022598267,0.2658872604370117,0.48404666781425476,0.767241358757019,0.6435223817825317,1.0,0.2658872604370117
2,2.0,0.6616379022598267,0.2233033925294876,0.504595160484314,0.7995689511299133,0.6571661233901978,1.0,0.2658872604370117
3,3.0,0.6616379022598267,0.19133177399635315,0.5214705467224121,0.7844827771186829,0.6681451797485352,1.0,0.2658872604370117
4,4.0,0.6616379022598267,0.16602003574371338,0.5335512757301331,0.7737069129943848,0.6764979362487793,1.0,0.2658872604370117
5,5.0,0.6616379022598267,0.14613373577594757,0.5403731465339661,0.7737069129943848,0.6809396743774414,1.0,0.2658872604370117
6,6.0,0.6616379022598267,0.1324508786201477,0.5443711876869202,0.7758620977401733,0.6841542720794678,1.0,0.2658872604370117
7,7.0,0.6616379022598267,0.1221083402633667,0.5474103689193726,0.7715517282485962,0.6872342824935913,1.0,0.2658872604370117
8,8.0,0.6616379022598267,0.11701487749814987,0.5470797419548035,0.7758620977401733,0.6875211000442505,1.0,0.2658872604370117
9,9.0,0.6616379022598267,0.11461856216192245,0.5450859665870667,0.7737069129943848,0.6865906119346619,1.0,0.2658872604370117
10,10.0,0.6616379022598267,0.1162368506193161,0.5424274206161499,0.7801724076271057,0.6847326159477234,1.0,0.2658872604370117
11,11.0,0.6616379022598267,0.11836345493793488,0.543267011642456,0.7866379022598267,0.6856555342674255,1.0,0.2658872604370117
12,12.0,0.6616379022598267,0.11822859197854996,0.5557302832603455,0.7693965435028076,0.6951593160629272,1.0,0.2658872604370117
13,13.0,0.6616379022598267,0.12171414494514465,0.56496262550354,0.767241358757019,0.7013569474220276,1.0,0.2658872604370117
14,14.0,0.6616379022598267,0.13149650394916534,0.5752915740013123,0.7823275923728943,0.7078538537025452,1.0,0.2658872604370117
15,15.0,0.6616379022598267,0.15304259955883026,0.5876359939575195,0.7801724076271057,0.7166977524757385,1.0,0.2658872604370117
16,16.0,0.6616379022598267,0.20228634774684906,0.5998916625976562,0.7823275923728943,0.7254338264465332,1.0,0.2658872604370117
17,17.0,0.6616379022598267,0.2840930223464966,0.6099358797073364,0.8017241358757019,0.7332356572151184,17.0,0.2840930223464966
18,18.0,0.6616379022598267,0.395495742559433,0.6152744293212891,0.8103448152542114,0.7370681762695312,18.0,0.395495742559433
19,19.0,0.6616379022598267,0.5377705097198486,0.6198939681053162,0.806034505367279,0.7396469712257385,19.0,0.5377705097198486
20,20.0,0.6616379022598267,0.6538724899291992,0.6222846508026123,0.8081896305084229,0.7407273054122925,20.0,0.6538724899291992
21,21.0,0.6616379022598267,0.7269860506057739,0.6247460246086121,0.818965494632721,0.7421719431877136,21.0,0.7269860506057739
22,22.0,0.6616379022598267,0.7742795348167419,0.62579345703125,0.8232758641242981,0.7426310777664185,22.0,0.7742795348167419
23,23.0,0.6616379022598267,0.8091557621955872,0.6318805813789368,0.818965494632721,0.7472155690193176,23.0,0.8091557621955872
24,24.0,0.6616379022598267,0.8346230983734131,0.6362062096595764,0.8275862336158752,0.7504634857177734,24.0,0.8346230983734131
25,25.0,0.6616379022598267,0.8551629781723022,0.6406617164611816,0.818965494632721,0.7522190809249878,25.0,0.8551629781723022
26,26.0,0.6616379022598267,0.8677773475646973,0.6438411474227905,0.8340517282485962,0.7535862922668457,26.0,0.8677773475646973
27,27.0,0.6616379022598267,0.8789808750152588,0.6454786658287048,0.8362069129943848,0.7553050518035889,27.0,0.8789808750152588
28,28.0,0.6616379022598267,0.8870515823364258,0.6474208831787109,0.8405172228813171,0.75620436668396,28.0,0.8870515823364258
29,29.0,0.6616379022598267,0.8926118612289429,0.6501362919807434,0.8254310488700867,0.7573350667953491,29.0,0.8926118612289429
30,30.0,0.6616379022598267,0.8997282385826111,0.6550001502037048,0.829741358757019,0.7612304091453552,30.0,0.8997282385826111
31,31.0,0.6616379022598267,0.9051017761230469,0.6595396399497986,0.8383620977401733,0.7651132941246033,31.0,0.9051017761230469
32,32.0,0.6616379022598267,0.9087740182876587,0.6642915606498718,0.8362069129943848,0.7688060402870178,32.0,0.9087740182876587
33,33.0,0.6616379022598267,0.9119691252708435,0.6628724932670593,0.829741358757019,0.7673142552375793,33.0,0.9119691252708435
34,34.0,0.6616379022598267,0.9153094291687012,0.6607552170753479,0.8362069129943848,0.7650918960571289,34.0,0.9153094291687012
35,35.0,0.6616379022598267,0.9169692397117615,0.6693864464759827,0.8448275923728943,0.771763801574707,35.0,0.9169692397117615
36,36.0,0.6616379022598267,0.9165127873420715,0.6736048460006714,0.8426724076271057,0.7752457857131958,35.0,0.9169692397117615
37,37.0,0.6616379022598267,0.9207659959793091,0.6686761975288391,0.8318965435028076,0.7709113359451294,37.0,0.9207659959793091
38,38.0,0.6616379022598267,0.9229029417037964,0.6725823879241943,0.8275862336158752,0.7740343809127808,38.0,0.9229029417037964
39,39.0,0.6616379022598267,0.9216062426567078,0.6830354332923889,0.8405172228813171,0.7816593050956726,38.0,0.9229029417037964
40,40.0,0.6616379022598267,0.923504650592804,0.6843845844268799,0.8405172228813171,0.7829844951629639,40.0,0.923504650592804
41,41.0,0.6616379022598267,0.926347017288208,0.6718381643295288,0.829741358757019,0.7732661366462708,41.0,0.926347017288208
42,42.0,0.6616379022598267,0.9269382953643799,0.6797233819961548,0.8232758641242981,0.7793413400650024,42.0,0.9269382953643799
43,43.0,0.6616379022598267,0.9282972812652588,0.6892312169075012,0.829741358757019,0.7864003777503967,43.0,0.9282972812652588
44,44.0,0.6616379022598267,0.9301645159721375,0.6883745789527893,0.8383620977401733,0.7851775884628296,44.0,0.9301645159721375
45,45.0,0.6616379022598267,0.9312641620635986,0.6910734176635742,0.8405172228813171,0.7866753339767456,45.0,0.9312641620635986
46,46.0,0.6616379022598267,0.9321977496147156,0.6924328207969666,0.8383620977401733,0.7875090837478638,46.0,0.9321977496147156
47,47.0,0.6616379022598267,0.9318658113479614,0.6988324522972107,0.8405172228813171,0.7930229902267456,46.0,0.9321977496147156
48,48.0,0.6616379022598267,0.9334944486618042,0.6966723203659058,0.8405172228813171,0.7907220721244812,48.0,0.9334944486618042
49,49.0,0.6616379022598267,0.9340443015098572,0.6952936053276062,0.8426724076271057,0.7890325784683228,49.0,0.9340443015098572
50,50.0,0.6616379022598267,0.934293270111084,0.7011440396308899,0.8448275923728943,0.7936902046203613,50.0,0.934293270111084
51,51.0,0.6616379022598267,0.9349364042282104,0.7012033462524414,0.8512930870056152,0.793513834476471,51.0,0.9349364042282104
52,52.0,0.6616379022598267,0.9358285665512085,0.7076395750045776,0.8362069129943848,0.798518717288971,52.0,0.9358285665512085
53,53.0,0.6616379022598267,0.9376750588417053,0.7042245864868164,0.8469827771186829,0.7953304052352905,53.0,0.9376750588417053
54,54.0,0.6616379022598267,0.9397808909416199,0.7051609754562378,0.8512930870056152,0.7957034111022949,54.0,0.9397808909416199
55,55.0,0.6616379022598267,0.9400298595428467,0.7088833451271057,0.857758641242981,0.7986845374107361,55.0,0.9400298595428467
56,56.0,0.6616379022598267,0.9398950338363647,0.7098874449729919,0.8534482717514038,0.7985965013504028,55.0,0.9400298595428467
57,57.0,0.6616379022598267,0.9399365186691284,0.7120367288589478,0.8620689511299133,0.8004127740859985,55.0,0.9400298595428467
58,58.0,0.6681034564971924,0.9407249093055725,0.707956850528717,0.8793103694915771,0.796196699142456,58.0,0.9407249093055725
59,59.0,0.7413793206214905,0.9417415261268616,0.7003077864646912,0.8706896305084229,0.7895811200141907,59.0,0.9417415261268616
60,60.0,0.6616379022598267,0.94338059425354,0.7222254872322083,0.8857758641242981,0.8076213598251343,60.0,0.94338059425354
61,61.0,0.75,0.944314181804657,0.7073953151702881,0.8879310488700867,0.7947821021080017,61.0,0.944314181804657
62,62.0,0.6659482717514038,0.9444905519485474,0.724425196647644,0.8836206793785095,0.8088465332984924,62.0,0.9444905519485474
63,63.0,0.681034505367279,0.9454967975616455,0.7184938788414001,0.8900862336158752,0.803392231464386,63.0,0.9454967975616455
64,64.0,0.6616379022598267,0.9469491243362427,0.729440450668335,0.868534505367279,0.8120587468147278,64.0,0.9469491243362427
65,65.0,0.6681034564971924,0.947841227054596,0.725183367729187,0.8663793206214905,0.8077110052108765,65.0,0.947841227054596
66,66.0,0.7198275923728943,0.94748854637146,0.7259049415588379,0.8771551847457886,0.8079279661178589,65.0,0.947841227054596
67,67.0,0.7219827771186829,0.9474055767059326,0.7281768918037415,0.875,0.810104250907898,65.0,0.947841227054596
68,68.0,0.7155172228813171,0.947613000869751,0.7314663529396057,0.8642241358757019,0.8125853538513184,65.0,0.947841227054596
69,69.0,0.7866379022598267,0.9491068124771118,0.730299711227417,0.8663793206214905,0.8115418553352356,69.0,0.9491068124771118
70,70.0,0.670258641242981,0.9499367475509644,0.7394431829452515,0.8620689511299133,0.8184619545936584,70.0,0.9499367475509644
71,71.0,0.9116379022598267,0.9507355093955994,0.7255817651748657,0.8771551847457886,0.8066895008087158,71.0,0.9507355093955994
72,72.0,0.7112069129943848,0.9496669769287109,0.740408718585968,0.8620689511299133,0.8191388845443726,71.0,0.9507355093955994
73,73.0,0.857758641242981,0.9509948492050171,0.7404460906982422,0.857758641242981,0.8187320232391357,73.0,0.9509948492050171
74,74.0,0.8534482717514038,0.9518662095069885,0.7405175566673279,0.8706896305084229,0.8182406425476074,74.0,0.9518662095069885
75,75.0,0.6982758641242981,0.9521151781082153,0.745648205280304,0.8663793206214905,0.8220828771591187,75.0,0.9521151781082153
76,76.0,0.7543103694915771,0.9525716304779053,0.7450713515281677,0.8663793206214905,0.8216044902801514,76.0,0.9525716304779053
77,77.0,0.8599137663841248,0.9530280828475952,0.7427946925163269,0.8943965435028076,0.8195763826370239,77.0,0.9530280828475952
78,78.0,0.8017241358757019,0.9528620839118958,0.7527289986610413,0.875,0.8271459937095642,77.0,0.9530280828475952
79,79.0,0.875,0.9545011520385742,0.7374765276908875,0.8793103694915771,0.8154553771018982,79.0,0.9545011520385742
