epoch,best_auc_TRAIN_vs_self/epoch,best_auc_TRAIN_vs_self/acc_yinda_level0,best_auc_TRAIN_vs_self/auc_yinda_level0,best_auc_TRAIN_vs_self/mean_average_precision_at_r_level0,best_auc_TRAIN_vs_self/precision_at_1_level0,best_auc_TRAIN_vs_self/r_precision_level0,best_auc_TRAIN_vs_self/best_epoch,best_auc_TRAIN_vs_self/best_accuracy
1,1.0,0.6666666865348816,0.25402724742889404,0.4963768422603607,0.801886796951294,0.6528226733207703,1.0,0.25402724742889404
2,2.0,0.6666666865348816,0.216135635972023,0.520845890045166,0.8176100850105286,0.668445885181427,1.0,0.25402724742889404
3,3.0,0.6666666865348816,0.18827874958515167,0.542067289352417,0.8270440101623535,0.6828587651252747,1.0,0.25402724742889404
4,4.0,0.6666666865348816,0.1661178320646286,0.5574254393577576,0.8333333134651184,0.6921469569206238,1.0,0.25402724742889404
5,5.0,0.6666666865348816,0.14860714972019196,0.5674550533294678,0.8301886916160583,0.6991371512413025,1.0,0.25402724742889404
6,6.0,0.6666666865348816,0.13309897482395172,0.5738428831100464,0.8301886916160583,0.7035151124000549,1.0,0.25402724742889404
7,7.0,0.6666666865348816,0.12119526416063309,0.5791900157928467,0.8238993883132935,0.7079693078994751,1.0,0.25402724742889404
8,8.0,0.6666666865348816,0.11476504057645798,0.5797054767608643,0.8113207817077637,0.7085387706756592,1.0,0.25402724742889404
9,9.0,0.6666666865348816,0.1105375587940216,0.5781265497207642,0.805031418800354,0.7073028683662415,1.0,0.25402724742889404
10,10.0,0.6666666865348816,0.11076005548238754,0.5758817195892334,0.8081761002540588,0.7059507966041565,1.0,0.25402724742889404
11,11.0,0.6666666865348816,0.11218404769897461,0.5764700174331665,0.8113207817077637,0.7065218091011047,1.0,0.25402724742889404
12,12.0,0.6666666865348816,0.11327429860830307,0.5879039764404297,0.8113207817077637,0.7152273654937744,1.0,0.25402724742889404
13,13.0,0.6666666865348816,0.11774653196334839,0.5987989902496338,0.8270440101623535,0.7226248979568481,1.0,0.25402724742889404
14,14.0,0.6666666865348816,0.12953898310661316,0.6101053357124329,0.8396226167678833,0.7302787899971008,1.0,0.25402724742889404
15,15.0,0.6666666865348816,0.15503737330436707,0.6242060661315918,0.8270440101623535,0.7407047748565674,1.0,0.25402724742889404
16,16.0,0.6666666865348816,0.20745816826820374,0.6380172967910767,0.8427672982215881,0.7506359815597534,1.0,0.25402724742889404
17,17.0,0.6666666865348816,0.29369881749153137,0.6492935419082642,0.8333333134651184,0.7592384219169617,17.0,0.29369881749153137
18,18.0,0.6666666865348816,0.4140040874481201,0.6563695073127747,0.8238993883132935,0.7641544938087463,18.0,0.4140040874481201
19,19.0,0.6666666865348816,0.5661934614181519,0.6623719930648804,0.8207547068595886,0.7675483822822571,19.0,0.5661934614181519
20,20.0,0.6666666865348816,0.6872997283935547,0.6670292615890503,0.8176100850105286,0.7703621983528137,20.0,0.6872997283935547
