~iteration~,epsilon
0,0.1
9,0.1
18,0.1
27,0.1
36,0.1
45,0.1
54,0.1
63,0.1
72,0.1
81,0.1
90,0.1
99,0.1
108,0.1
117,0.1
126,0.1
135,0.1
144,0.1
153,0.1
162,0.1
171,0.1
180,0.1
189,0.1
198,0.1
207,0.1
216,0.1
225,0.1
234,0.1
243,0.1
252,0.1
261,0.1
270,0.1
279,0.1
288,0.1
297,0.1
306,0.1
315,0.1
324,0.1
333,0.1
342,0.1
351,0.1
360,0.1
369,0.1
378,0.1
387,0.1
396,0.1
405,0.1
414,0.1
423,0.1
432,0.1
441,0.1
450,0.1
459,0.1
468,0.1
477,0.1
486,0.1
495,0.1
504,0.1
513,0.1
522,0.1
531,0.1
540,0.1
549,0.1
558,0.1
567,0.1
576,0.1
585,0.1
594,0.1
603,0.1
612,0.1
621,0.1
630,0.1
639,0.1
648,0.1
657,0.1
666,0.1
675,0.1
684,0.1
693,0.1
702,0.1
711,0.1
720,0.1
729,0.1
738,0.1
747,0.1
756,0.1
765,0.1
774,0.1
783,0.1
792,0.1
801,0.1
810,0.1
819,0.1
828,0.1
837,0.1
846,0.1
855,0.1
864,0.1
873,0.1
882,0.1
891,0.1
900,0.1
909,0.1
918,0.1
927,0.1
936,0.1
945,0.1
954,0.1
963,0.1
972,0.1
981,0.1
990,0.1
999,0.1
1008,0.1
1017,0.1
1026,0.1
1035,0.1
1044,0.1
1053,0.1
1062,0.1
1071,0.1
1080,0.1
1089,0.1
1098,0.1
1107,0.1
1116,0.1
1125,0.1
1134,0.1
1143,0.1
1152,0.1
1161,0.1
1170,0.1
1179,0.1
1188,0.1
1197,0.1
1206,0.1
1215,0.1
1224,0.1
1233,0.1
1242,0.1
1251,0.1
1260,0.1
1269,0.1
1278,0.1
1287,0.1
1296,0.1
1305,0.1
1314,0.1
1323,0.1
1332,0.1
1341,0.1
1350,0.1
1359,0.1
1368,0.1
1377,0.1
1386,0.1
1395,0.1
1404,0.1
1413,0.1
1422,0.1
1431,0.1
1440,0.1
1449,0.1
1458,0.1
1467,0.1
1476,0.1
1485,0.1
1494,0.1
1503,0.1
1512,0.1
1521,0.1
1530,0.1
1539,0.1
1548,0.1
1557,0.1
1566,0.1
1575,0.1
1584,0.1
1593,0.1
1602,0.1
1611,0.1
1620,0.1
1629,0.1
1638,0.1
1647,0.1
1656,0.1
1665,0.1
1674,0.1
1683,0.1
1692,0.1
1701,0.1
1710,0.1
1719,0.1
1728,0.1
1737,0.1
1746,0.1
1755,0.1
1764,0.1
1773,0.1
1782,0.1
1791,0.1
1800,0.1
1809,0.1
1818,0.1
1827,0.1
1836,0.1
1845,0.1
1854,0.1
1863,0.1
1872,0.1
1881,0.1
1890,0.1
1899,0.1
1908,0.1
1917,0.1
1926,0.1
1935,0.1
1944,0.1
1953,0.1
1962,0.1
1971,0.1
1980,0.1
1989,0.1
1998,0.1
2007,0.1
2016,0.1
2025,0.1
2034,0.1
2043,0.1
2052,0.1
2061,0.1
2070,0.1
2079,0.1
2088,0.1
2097,0.1
2106,0.1
2115,0.1
2124,0.1
2133,0.1
2142,0.1
2151,0.1
2160,0.1
2169,0.1
2178,0.1
2187,0.1
2196,0.1
2205,0.1
2214,0.1
2223,0.1
2232,0.1
2241,0.1
2250,0.1
2259,0.1
2268,0.1
2277,0.1
2286,0.1
2295,0.1
2304,0.1
2313,0.1
2322,0.1
2331,0.1
2340,0.1
2349,0.1
2358,0.1
2367,0.1
2376,0.1
2385,0.1
2394,0.1
2403,0.1
2412,0.1
2421,0.1
2430,0.1
2439,0.1
2448,0.1
2457,0.1
2466,0.1
2475,0.1
2484,0.1
2493,0.1
2502,0.1
2511,0.1
2520,0.1
2529,0.1
2538,0.1
2547,0.1
2556,0.1
2565,0.1
2574,0.1
2583,0.1
2592,0.1
2601,0.1
2610,0.1
2619,0.1
2628,0.1
2637,0.1
2646,0.1
2655,0.1
2664,0.1
2673,0.1
2682,0.1
2691,0.1
2700,0.1
2709,0.1
2718,0.1
2727,0.1
2736,0.1
2745,0.1
2754,0.1
2763,0.1
2772,0.1
2781,0.1
2790,0.1
2799,0.1
2808,0.1
2817,0.1
2826,0.1
2835,0.1
2844,0.1
2853,0.1
2862,0.1
2871,0.1
2880,0.1
2889,0.1
2898,0.1
2907,0.1
2916,0.1
2925,0.1
2934,0.1
2943,0.1
2952,0.1
2961,0.1
2970,0.1
2979,0.1
2988,0.1
2997,0.1
3006,0.1
3015,0.1
3024,0.1
3033,0.1
3042,0.1
3051,0.1
3060,0.1
3069,0.1
3078,0.1
3087,0.1
3096,0.1
3105,0.1
3114,0.1
3123,0.1
3132,0.1
3141,0.1
3150,0.1
3159,0.1
3168,0.1
3177,0.1
3186,0.1
3195,0.1
3204,0.1
3213,0.1
3222,0.1
3231,0.1
3240,0.1
3249,0.1
3258,0.1
3267,0.1
3276,0.1
3285,0.1
3294,0.1
3303,0.1
3312,0.1
3321,0.1
3330,0.1
3339,0.1
3348,0.1
3357,0.1
3366,0.1
3375,0.1
3384,0.1
3393,0.1
3402,0.1
3411,0.1
3420,0.1
3429,0.1
3438,0.1
3447,0.1
3456,0.1
3465,0.1
3474,0.1
3483,0.1
3492,0.1
3501,0.1
3510,0.1
3519,0.1
3528,0.1
3537,0.1
3546,0.1
3555,0.1
3564,0.1
3573,0.1
3582,0.1
3591,0.1
