~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_acc_auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.3333333333333333,0.5380250978996084,0.4356792156164708,0.41404639449736286,0.7295597484276729,0.5894366307135689,1,0.4356792156164708
2,2,0.3333333333333333,0.5962308650765397,0.4647820992049365,0.4204706653569964,0.7547169811320755,0.5925702135753107,2,0.4647820992049365
3,3,0.3333333333333333,0.6321422214311143,0.4827377773822238,0.43547553578722603,0.7169811320754716,0.6022852146611424,3,0.4827377773822238
4,4,0.3333333333333333,0.6541696333214667,0.49375148332740004,0.4546260178975285,0.7610062893081762,0.6120889274962421,4,0.49375148332740004
5,5,0.3333333333333333,0.6650720897116411,0.4992027115224872,0.46967041830948614,0.8081761006289309,0.6202511181228878,5,0.4992027115224872
6,6,0.3333333333333333,0.6874777500889997,0.5104055417111665,0.48182949886165216,0.8018867924528302,0.6286841279776987,6,0.5104055417111665
7,7,0.46226415094339623,0.730753826984692,0.5965089889640441,0.49651991484749747,0.7861635220125787,0.6411994396256222,7,0.5965089889640441
8,8,0.720125786163522,0.7961908152367392,0.7581583007001306,0.5147527324514917,0.7924528301886793,0.6574972783235324,8,0.7581583007001306
9,9,0.7264150943396226,0.8349946600213599,0.7807048771804912,0.5282917442431208,0.7735849056603774,0.6698045076923732,9,0.7807048771804912
10,10,0.7735849056603774,0.8534843360626557,0.8135346208615166,0.5367219303620149,0.7924528301886793,0.677338335256604,10,0.8135346208615166
11,11,0.7735849056603774,0.8558650765396939,0.8147249911000356,0.5409604009911122,0.8176100628930818,0.6812503104911224,11,0.8147249911000356
12,12,0.7767295597484277,0.8578230687077252,0.8172763142280765,0.5428514808941705,0.8176100628930818,0.6829782734280633,12,0.8172763142280765
13,13,0.7767295597484277,0.8600480598077608,0.8183888097780943,0.5455983006887423,0.7955974842767296,0.6861090175138285,13,0.8183888097780943
14,14,0.7735849056603774,0.8605375578497686,0.817061231755073,0.5483341929498803,0.8144654088050315,0.6884609434104203,13,0.8183888097780943
15,15,0.7987421383647799,0.8616945532217872,0.8302183457932836,0.5516796631503353,0.8081761006289309,0.691083262718781,15,0.8302183457932836
16,16,0.8270440251572327,0.8624065503737987,0.8447252877655157,0.5561986465869896,0.7924528301886793,0.694509097567311,16,0.8447252877655157
17,17,0.8207547169811321,0.8626290494838021,0.8416918832324671,0.5613119134568655,0.8018867924528302,0.6984755773005795,16,0.8447252877655157
18,18,0.8207547169811321,0.8631630473478105,0.8419588821644712,0.5669777028734825,0.7955974842767296,0.7028758220030688,16,0.8447252877655157
19,19,0.8050314465408805,0.8651655393378426,0.8350984929393616,0.5726377194595822,0.7987421383647799,0.707340648859025,16,0.8447252877655157
20,20,0.7861635220125787,0.868058027767889,0.8271107748902338,0.5775581810057323,0.7955974842767296,0.7109290036322139,16,0.8447252877655157
21,21,0.7861635220125787,0.8697935208259167,0.8279785214192477,0.5841338774481067,0.8050314465408805,0.7162704445097362,16,0.8447252877655157
22,22,0.7861635220125787,0.8718850124599502,0.8290242672362644,0.5915855836295119,0.7924528301886793,0.7229725107128308,16,0.8447252877655157
23,23,0.7924528301886793,0.8731755072979709,0.832814168743325,0.5989916043389225,0.7830188679245284,0.7293689826820471,16,0.8447252877655157
24,24,0.7861635220125787,0.8761569953720185,0.8311602586922986,0.602944158286084,0.7767295597484277,0.7325618959616992,16,0.8447252877655157
25,25,0.8018867924528302,0.8798949804200783,0.8408908864364543,0.6091969580587575,0.7672955974842768,0.7372650380608889,16,0.8447252877655157
26,26,0.7861635220125787,0.8824314702741188,0.8342974961433487,0.6080878055720992,0.7672955974842768,0.7358763088531486,16,0.8447252877655157
27,27,0.7924528301886793,0.8862584549661802,0.8393556425774298,0.6116777486693787,0.7767295597484277,0.7383000557819479,16,0.8447252877655157
28,28,0.8270440251572327,0.8882164471342116,0.8576302361457222,0.625067769197054,0.7672955974842768,0.7479060478702791,28,0.8576302361457222
29,29,0.839622641509434,0.891820932716269,0.8657217871128515,0.6306858727316109,0.7861635220125787,0.7516553612413399,29,0.8657217871128515
30,30,0.8333333333333334,0.8942239231043075,0.8637786282188205,0.6299791847106012,0.789308176100629,0.7515240678524232,29,0.8657217871128515
31,31,0.8207547169811321,0.8951584193663225,0.8579565681737273,0.6293805241638485,0.7861635220125787,0.7510854769640426,29,0.8657217871128515
32,32,0.8238993710691824,0.8955589177643289,0.8597291444167556,0.6305793183489933,0.789308176100629,0.7519691879255501,29,0.8657217871128515
33,33,0.8238993710691824,0.8957369170523318,0.8598181440607571,0.6308325219043348,0.789308176100629,0.7522111935775532,29,0.8657217871128515
34,34,0.8207547169811321,0.8971164115343538,0.858935564257743,0.6305990689950294,0.7987421383647799,0.7522316327645845,29,0.8657217871128515
35,35,0.8207547169811321,0.8980954076183695,0.8594250622997508,0.6323320202384015,0.7987421383647799,0.7535590444112306,29,0.8657217871128515
36,36,0.8333333333333334,0.8987629049483803,0.8660481191408569,0.6343552385608174,0.8081761006289309,0.7547788664483646,36,0.8660481191408569
37,37,0.8238993710691824,0.8992969028123887,0.8615981369407856,0.6331835737062419,0.8081761006289309,0.7539339047789373,36,0.8660481191408569
38,38,0.8427672955974843,0.8998309006763974,0.8712990981369408,0.6373134299555401,0.8081761006289309,0.7566707686979527,38,0.8712990981369408
39,39,0.839622641509434,0.900676397294411,0.8701495194019224,0.6396516051805912,0.8113207547169812,0.7589415056016146,38,0.8712990981369408
40,40,0.8364779874213837,0.9012993948024207,0.8688886911119023,0.6394037599119283,0.8207547169811321,0.7592493708562741,38,0.8712990981369408
41,41,0.839622641509434,0.9010768956924173,0.8703497686009256,0.6423508821244045,0.8238993710691824,0.7608518598950504,38,0.8712990981369408
42,42,0.8459119496855346,0.901121395514418,0.8735166725999763,0.6449819270485172,0.8270440251572327,0.7624693944465024,42,0.8735166725999763
43,43,0.8427672955974843,0.9024563901744392,0.8726118428859617,0.6441813138548415,0.8238993710691824,0.7626012555906144,42,0.8735166725999763
44,44,0.8270440251572327,0.9026343894624421,0.8648392073098374,0.6424520804253241,0.8301886792452831,0.7618988004752111,42,0.8735166725999763
45,45,0.8333333333333334,0.904503381986472,0.8689183576599027,0.6441099131214385,0.839622641509434,0.7625209182304774,42,0.8735166725999763
46,46,0.839622641509434,0.9049483802064792,0.8722855108579566,0.6456726874465027,0.839622641509434,0.7634289007265848,42,0.8735166725999763
47,47,0.8364779874213837,0.9047703809184764,0.87062418416993,0.6463613538265136,0.839622641509434,0.7643282249559634,42,0.8735166725999763
48,48,0.8333333333333334,0.9047703809184764,0.8690518571259049,0.6466186318684852,0.8333333333333334,0.7648850508637686,42,0.8735166725999763
49,49,0.8301886792452831,0.9057048771804913,0.8679467782128871,0.6469196163068547,0.8301886792452831,0.764931748728583,42,0.8735166725999763
50,50,0.839622641509434,0.9061943752224991,0.8729085083659666,0.6495134076791675,0.8364779874213837,0.7667035707543621,42,0.8735166725999763
51,51,0.8490566037735849,0.9063278746885013,0.8776922392310431,0.6519680816588904,0.8364779874213837,0.7680967000648661,51,0.8776922392310431
52,52,0.8490566037735849,0.9067283730865077,0.8778924884300463,0.6528915526912216,0.8333333333333334,0.7685428137095848,52,0.8778924884300463
53,53,0.8490566037735849,0.9073513705945175,0.8782039871840512,0.6521787024442782,0.8238993710691824,0.7678309906334587,53,0.8782039871840512
54,54,0.8427672955974843,0.9077963688145247,0.8752818322060045,0.6522200323101,0.8238993710691824,0.7680153691331373,53,0.8782039871840512
55,55,0.8427672955974843,0.9081078675685297,0.875437581583007,0.6532908427363401,0.8270440251572327,0.7689726043924381,53,0.8782039871840512
56,56,0.8490566037735849,0.9078408686365254,0.8784487362050551,0.6547465408975004,0.8176100628930818,0.7699542531251375,56,0.8784487362050551
