~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.4794520547945205,0.3636738906088751,0.4427647607847225,0.7054794520547946,0.6059224715826289,1,0.3636738906088751
2,2,0.4863013698630137,0.3690402476780186,0.45556738648304257,0.7191780821917808,0.6136898863305158,2,0.3690402476780186
3,3,0.4726027397260274,0.37956656346749224,0.4670984804492814,0.7465753424657534,0.6201457301078402,3,0.37956656346749224
4,4,0.4863013698630137,0.39814241486068114,0.4777056159306887,0.7465753424657534,0.6267939376275138,4,0.39814241486068114
5,5,0.5,0.41382868937048495,0.48593106669645103,0.7534246575342466,0.6321393179830952,5,0.41382868937048495
6,6,0.5,0.43281733746130036,0.49290930696627644,0.7534246575342466,0.6361090061206646,6,0.43281733746130036
7,7,0.5,0.4499484004127967,0.49891224898355063,0.7534246575342466,0.6397639172252988,7,0.4499484004127967
8,8,0.5136986301369864,0.4718266253869969,0.5042732550355397,0.7534246575342466,0.6445642669775575,8,0.4718266253869969
9,9,0.5205479452054794,0.4957688338493292,0.5078096636423802,0.7602739726027398,0.6463159428737977,9,0.4957688338493292
10,10,0.5273972602739726,0.5186790505675954,0.511821223161121,0.7808219178082192,0.649819294666278,10,0.5186790505675954
11,11,0.547945205479452,0.5362229102167182,0.5152465324840391,0.7808219178082192,0.6527951034683765,11,0.5362229102167182
12,12,0.5547945205479452,0.5572755417956655,0.5171944526527948,0.7671232876712328,0.6543106965899155,12,0.5572755417956655
13,13,0.5616438356164384,0.5779153766769864,0.5199635539107951,0.773972602739726,0.6560157388516468,13,0.5779153766769864
14,14,0.589041095890411,0.6037151702786379,0.5217616175471035,0.7534246575342466,0.6570096181871175,14,0.6037151702786379
15,15,0.5958904109589042,0.6268317853457173,0.5226729394086946,0.7397260273972602,0.6572748469833868,15,0.6268317853457173
16,16,0.6095890410958904,0.6429308565531476,0.5246788906562972,0.7397260273972602,0.6591635091809969,16,0.6429308565531476
17,17,0.636986301369863,0.6559339525283798,0.5260769768252576,0.7465753424657534,0.6605508598076363,17,0.6559339525283798
18,18,0.6506849315068494,0.6722394220846233,0.5271586674745562,0.7465753424657534,0.6613727776158554,18,0.6722394220846233
19,19,0.6643835616438356,0.6864809081527349,0.5285500367315575,0.7534246575342466,0.6618099679393763,19,0.6864809081527349
20,20,0.6917808219178082,0.7011351909184727,0.5303921703160078,0.7602739726027398,0.6631973185660157,20,0.7011351909184727
21,21,0.7123287671232876,0.7114551083591331,0.5316812750166086,0.7534246575342466,0.6639259691052172,21,0.7114551083591331
22,22,0.726027397260274,0.7219814241486068,0.5321706658886497,0.7465753424657534,0.663716117749927,22,0.7219814241486068
23,23,0.7397260273972602,0.7353973168214655,0.5331113581365893,0.7534246575342466,0.6647129116875546,23,0.7353973168214655
24,24,0.7534246575342466,0.7465428276573788,0.5337072670734295,0.7602739726027398,0.6649052754299039,24,0.7465428276573788
25,25,0.7534246575342466,0.7578947368421053,0.5340028353163198,0.7534246575342466,0.6654911104634218,25,0.7578947368421053
26,26,0.7534246575342466,0.7647058823529412,0.5347031829892832,0.7602739726027398,0.666385893325561,26,0.7647058823529412
27,27,0.7465753424657534,0.7746130030959754,0.5357325498295021,0.7602739726027398,0.6667968522296707,27,0.7746130030959754
28,28,0.7465753424657534,0.7830753353973168,0.5367264329367444,0.7602739726027398,0.6672252987467211,28,0.7830753353973168
29,29,0.7602739726027398,0.7902992776057791,0.5378842634795171,0.7534246575342466,0.6679277178665113,29,0.7902992776057791
30,30,0.7602739726027398,0.798142414860681,0.5395353729615767,0.7534246575342466,0.66971728359079,30,0.798142414860681
31,31,0.7671232876712328,0.8043343653250774,0.5409404505337472,0.7534246575342466,0.6712503643252696,31,0.8043343653250774
32,32,0.773972602739726,0.8105263157894738,0.5412148789658094,0.7602739726027398,0.6713873506266395,32,0.8105263157894738
33,33,0.7808219178082192,0.8150670794633643,0.5408111153906882,0.7671232876712328,0.6704750801515594,33,0.8150670794633643
34,34,0.7808219178082192,0.8202270381836946,0.5414317529419088,0.773972602739726,0.6709676479160595,34,0.8202270381836946
35,35,0.7808219178082192,0.8274509803921568,0.5420835818911732,0.7397260273972602,0.6716059457883998,35,0.8274509803921568
36,36,0.7671232876712328,0.8313725490196078,0.5429185284279614,0.7191780821917808,0.6724919848440688,36,0.8313725490196078
37,37,0.7671232876712328,0.8400412796697627,0.5439217371932604,0.7397260273972602,0.6737248615563975,37,0.8400412796697627
38,38,0.773972602739726,0.8445820433436532,0.544258468860394,0.7397260273972602,0.6741911979014864,38,0.8445820433436532
39,39,0.7671232876712328,0.8468524251805984,0.544934545022274,0.7465753424657534,0.6744097930632469,39,0.8468524251805984
40,40,0.7808219178082192,0.8501547987616098,0.545852142793065,0.7671232876712328,0.6749577382687263,40,0.8501547987616098
41,41,0.7808219178082192,0.852218782249742,0.5459016739475223,0.7602739726027398,0.6748032643544157,41,0.852218782249742
42,42,0.7945205479452054,0.8546955624355005,0.5462907398531837,0.7534246575342466,0.6748673856018653,42,0.8546955624355005
43,43,0.7876712328767124,0.8592363261093912,0.5472320130812887,0.7534246575342466,0.6755698047216555,43,0.8592363261093912
44,44,0.7876712328767124,0.8625386996904024,0.5477465035340029,0.7534246575342466,0.6755523171087148,44,0.8625386996904024
45,45,0.7945205479452054,0.865015479876161,0.5487113966873264,0.7602739726027398,0.6767385601865344,45,0.865015479876161
46,46,0.7945205479452054,0.8676986584107327,0.5499817361853824,0.7602739726027398,0.6780617895657243,46,0.8676986584107327
47,47,0.8013698630136986,0.8668730650154799,0.5499440233528063,0.7602739726027398,0.6777149519090644,46,0.8676986584107327
48,48,0.8013698630136986,0.8672858617131063,0.5500560216953896,0.7602739726027398,0.6778431944039639,46,0.8676986584107327
49,49,0.8013698630136986,0.8672858617131063,0.5496546169553942,0.7602739726027398,0.6773069076071117,46,0.8676986584107327
