~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.4525862068965517,0.36905329986099294,0.4598474433485257,0.7564655172413793,0.6174996966072017,1,0.36905329986099294
2,2,0.45689655172413796,0.37567169443349446,0.47847638251965696,0.7844827586206896,0.6300322571557359,2,0.37567169443349446
3,3,0.46336206896551724,0.38708271955849705,0.4949555130237026,0.7758620689655172,0.641919295348555,3,0.38708271955849705
4,4,0.46551724137931033,0.40245648249963684,0.5086091715650927,0.7801724137931034,0.6523703645914599,4,0.40245648249963684
5,5,0.48060344827586204,0.4203095499906637,0.5194823538837341,0.790948275862069,0.6610197682079021,5,0.4203095499906637
6,6,0.49137931034482757,0.4382248594369178,0.5288391286903394,0.7844827586206896,0.6678872809070577,6,0.4382248594369178
7,7,0.5,0.45808004315442236,0.535601797838888,0.7866379310344828,0.6731739004178152,7,0.45808004315442236
8,8,0.5129310344827587,0.4807568621755638,0.5411426121605138,0.7823275862068966,0.6775403187358054,8,0.4807568621755638
9,9,0.521551724137931,0.5082470590676155,0.546247915912426,0.7780172413793104,0.681139857578752,9,0.5082470590676155
10,10,0.5474137931034483,0.536753874561713,0.5513888172691296,0.7866379310344828,0.684895968776547,10,0.536753874561713
11,11,0.5689655172413793,0.560634038050582,0.5558750418494983,0.790948275862069,0.6879737803609508,11,0.560634038050582
12,12,0.5883620689655172,0.5852818523205876,0.5599514117390281,0.790948275862069,0.6908633258785388,12,0.5852818523205876
13,13,0.5948275862068966,0.6128757858046848,0.5639280338580391,0.8017241379310345,0.6937867321995111,13,0.6128757858046848
14,14,0.6228448275862069,0.6426170667441232,0.5674210628769591,0.8081896551724138,0.6963197911790712,14,0.6426170667441232
15,15,0.6443965517241379,0.6666735824394697,0.5702924648338338,0.8103448275862069,0.6982858848667671,15,0.6666735824394697
16,16,0.6487068965517241,0.6887694765451566,0.5731619883691749,0.8146551724137931,0.7004559560340494,16,0.6887694765451566
17,17,0.6637931034482759,0.7062594659640242,0.5758289103863983,0.8168103448275862,0.7025537005253029,17,0.7062594659640242
18,18,0.6831896551724138,0.7251395257163012,0.5777680307501207,0.8254310344827587,0.7040170290043514,18,0.7251395257163012
