~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.44025157232704404,0.3698825204699181,0.4721325148275455,0.8144654088050315,0.6233896688425885,1,0.3698825204699181
2,2,0.44339622641509435,0.37713599145603416,0.4934997856542159,0.8270440251572327,0.6378949624500907,2,0.37713599145603416
3,3,0.4591194968553459,0.3887059451762193,0.5121392096194657,0.7987421383647799,0.6522994795104247,3,0.3887059451762193
4,4,0.4559748427672956,0.40396938412246347,0.5271482179606554,0.7987421383647799,0.664046050623892,4,0.40396938412246347
5,5,0.4716981132075472,0.4214800640797437,0.5391029467945798,0.8113207547169812,0.6737315284395674,5,0.4214800640797437
6,6,0.48742138364779874,0.44074848700605196,0.5501730459259492,0.7987421383647799,0.6829838090412176,6,0.44074848700605196
7,7,0.5,0.4630206479174083,0.556932852799376,0.8050314465408805,0.6878879364795488,7,0.4630206479174083
8,8,0.5125786163522013,0.4861605553577786,0.5631091572107259,0.8081761006289309,0.6930173207916211,8,0.4861605553577786
9,9,0.5220125786163522,0.5189569241723033,0.5685233943463281,0.8144654088050315,0.6970106269578684,9,0.5189569241723033
10,10,0.5566037735849056,0.5485493058027768,0.5740356704174294,0.8176100628930818,0.7007018873602081,10,0.5485493058027768
11,11,0.5786163522012578,0.5746262014951941,0.579229519025165,0.8333333333333334,0.7043186298931626,11,0.5746262014951941
12,12,0.6037735849056604,0.5995906016375934,0.5843116831057927,0.8301886792452831,0.707814582508314,12,0.5995906016375934
13,13,0.610062893081761,0.6304289782840868,0.5885262693234526,0.8301886792452831,0.7107732967698986,13,0.6304289782840868
14,14,0.6383647798742138,0.6631585973656104,0.5924109999758499,0.839622641509434,0.7135230771196075,14,0.6631585973656104
15,15,0.6666666666666666,0.6885457458170168,0.5959199591520029,0.8333333333333334,0.7158842290381233,15,0.6885457458170168
16,16,0.6666666666666666,0.711997152011392,0.599186006260203,0.8270440251572327,0.7183502737289735,16,0.711997152011392
17,17,0.6761006289308176,0.7304645781416874,0.6024216146895646,0.8301886792452831,0.7208472610779684,17,0.7304645781416874
18,18,0.6981132075471698,0.7512459950160199,0.6050228836662807,0.8364779874213837,0.7228227652800665,18,0.7512459950160199
19,19,0.710691823899371,0.7701584193663225,0.6076184176247776,0.8301886792452831,0.7247514296785512,19,0.7701584193663225
20,20,0.7138364779874213,0.7865788536845854,0.6110337455450969,0.8270440251572327,0.7278618765160838,20,0.7865788536845854
21,21,0.7358490566037735,0.8030437878248486,0.6147508475838164,0.8301886792452831,0.7305377067516029,21,0.8030437878248486
22,22,0.7484276729559748,0.8152812388750446,0.6180707064836312,0.8270440251572327,0.7327204415999908,22,0.8152812388750446
23,23,0.7578616352201258,0.8284531861872553,0.6212301450353227,0.8270440251572327,0.7348722337902344,23,0.8284531861872553
24,24,0.7610062893081762,0.8394891420434318,0.6242421886035153,0.8301886792452831,0.7372187660124708,24,0.8394891420434318
25,25,0.7704402515723271,0.8493236027055892,0.6264726195258843,0.8459119496855346,0.7389531161953588,25,0.8493236027055892
26,26,0.7672955974842768,0.8567995728017087,0.6277871817365831,0.8364779874213837,0.7398980027791616,26,0.8567995728017087
27,27,0.7704402515723271,0.8639640441438233,0.630021505506245,0.8522012578616353,0.7415721709113465,27,0.8639640441438233
28,28,0.7767295597484277,0.8700605197579211,0.6326582879276704,0.8522012578616353,0.7435593140949485,28,0.8700605197579211
29,29,0.7767295597484277,0.876557493770025,0.6352862305787771,0.8522012578616353,0.7452032492629828,29,0.876557493770025
30,30,0.7830188679245284,0.8836774652901388,0.6376901695801511,0.8553459119496856,0.7467549242117784,30,0.8836774652901388
31,31,0.789308176100629,0.8888394446422214,0.6396574112337998,0.8584905660377359,0.748145782501501,31,0.8888394446422214
32,32,0.7924528301886793,0.8936899252402991,0.6416564386587578,0.8553459119496856,0.7495653124285871,32,0.8936899252402991
33,33,0.8018867924528302,0.897694909220363,0.643330592691858,0.8553459119496856,0.7506258791334351,33,0.897694909220363
34,34,0.8018867924528302,0.9011213955144179,0.6456581127232518,0.8522012578616353,0.752209632250766,34,0.9011213955144179
35,35,0.8018867924528302,0.904814880740477,0.6481850243722329,0.8616352201257862,0.7541972012507647,35,0.904814880740477
36,36,0.8081761006289309,0.907128871484514,0.6493601162705801,0.8584905660377359,0.7550809122122722,36,0.907128871484514
37,37,0.8238993710691824,0.9108223567105732,0.651173110102123,0.8522012578616353,0.756650755327318,37,0.9108223567105732
38,38,0.8238993710691824,0.913625845496618,0.6524262684577643,0.8553459119496856,0.7574886200568038,38,0.913625845496618
39,39,0.8301886792452831,0.9165183339266644,0.6545929518886052,0.8553459119496856,0.759162504311391,39,0.9165183339266644
40,40,0.8333333333333334,0.9195443218227127,0.6561626436850122,0.8522012578616353,0.7601785022334071,40,0.9195443218227127
41,41,0.839622641509434,0.9225258098967604,0.6589952215935003,0.8584905660377359,0.7621359802080538,41,0.9225258098967604
42,42,0.8490566037735849,0.9252847988608046,0.6612274330365854,0.8490566037735849,0.7639134797857859,42,0.9252847988608046
43,43,0.8522012578616353,0.9279102883588466,0.6633439216514943,0.8490566037735849,0.7655425113799432,43,0.9279102883588466
44,44,0.8616352201257862,0.9302687789248842,0.6652433712928376,0.8490566037735849,0.7667688626018233,44,0.9302687789248842
45,45,0.8584905660377359,0.9320487718049129,0.6669246436116081,0.8522012578616353,0.7680992549632449,45,0.9320487718049129
46,46,0.8616352201257862,0.9337397650409398,0.6687521350103843,0.8584905660377359,0.7694597383500182,46,0.9337397650409398
47,47,0.8616352201257862,0.9357422570309719,0.6713853232640768,0.8584905660377359,0.7711915336345275,47,0.9357422570309719
48,48,0.8647798742138365,0.9377447490210039,0.6736370851567636,0.8490566037735849,0.7722816236095321,48,0.9377447490210039
49,49,0.8616352201257862,0.939435742257031,0.6756628028799955,0.8459119496855346,0.773536362591178,49,0.939435742257031
50,50,0.8647798742138365,0.941126735493058,0.6778010030924462,0.8459119496855346,0.7750159326301684,50,0.941126735493058
51,51,0.8647798742138365,0.9425952296190815,0.6792818151869882,0.8490566037735849,0.775808660821627,51,0.9425952296190815
52,52,0.8647798742138365,0.9439747241011036,0.6809623041787629,0.8490566037735849,0.7770950521554116,52,0.9439747241011036
53,53,0.8647798742138365,0.9451762192951229,0.6826925945789241,0.8490566037735849,0.7781421346743711,53,0.9451762192951229
54,54,0.8616352201257862,0.9464667141331434,0.6843317025032348,0.8553459119496856,0.7795785553185178,54,0.9464667141331434
55,55,0.8616352201257862,0.9478017087931648,0.6864213316448832,0.8553459119496856,0.7813280929528806,55,0.9478017087931648
56,56,0.8679245283018868,0.9493592025631898,0.6885185635921108,0.8553459119496856,0.7824485578308346,56,0.9493592025631898
57,57,0.8710691823899371,0.9505161979352084,0.6900393713504859,0.8522012578616353,0.7834949306557999,57,0.9505161979352084
58,58,0.8742138364779874,0.9511391954432182,0.6918911164975875,0.8584905660377359,0.7844957411263412,58,0.9511391954432182
59,59,0.8773584905660378,0.9518956924172303,0.6937085274764674,0.8553459119496856,0.7857971779728017,59,0.9518956924172303
60,60,0.8773584905660378,0.9530081879672482,0.6954805312472782,0.8584905660377359,0.7869481596925038,60,0.9530081879672482
61,61,0.8867924528301887,0.9538536845852617,0.6978259074960109,0.8522012578616353,0.7890414730976297,61,0.9538536845852617
62,62,0.8867924528301887,0.9548326806692774,0.6995493292155927,0.8584905660377359,0.7901165175599585,62,0.9548326806692774
63,63,0.8930817610062893,0.9563011747953009,0.7022474607983284,0.8616352201257862,0.7914910528878157,63,0.9563011747953009
64,64,0.89937106918239,0.9564791740833037,0.7045355633503941,0.8584905660377359,0.7928638849500872,64,0.9564791740833037
65,65,0.8962264150943396,0.9567906728373087,0.705642431470915,0.8679245283018868,0.7931775696954987,65,0.9567906728373087
66,66,0.89937106918239,0.9579031683873265,0.7076548250641087,0.8647798742138365,0.7948676349731523,66,0.9579031683873265
67,67,0.9056603773584906,0.9592826628693485,0.7094451720094812,0.8647798742138365,0.7961676524316246,67,0.9592826628693485
68,68,0.9119496855345912,0.960751156995372,0.7117707654698093,0.8522012578616353,0.7978994477161339,68,0.960751156995372
69,69,0.9119496855345912,0.9608846564613741,0.7130116083091522,0.8584905660377359,0.7986767045785198,69,0.9608846564613741
70,70,0.9150943396226415,0.961196155215379,0.7145782640921763,0.8584905660377359,0.7997978791504678,70,0.961196155215379
71,71,0.9150943396226415,0.9620861516553935,0.71644197837212,0.8490566037735849,0.8010074815940863,71,0.9620861516553935
72,72,0.9182389937106918,0.9624866500533998,0.7186733743414006,0.8522012578616353,0.8023512162025979,72,0.9624866500533998
73,73,0.9182389937106918,0.9634211463154146,0.7210672389868926,0.8459119496855346,0.803918930235661,73,0.9634211463154146
74,74,0.9182389937106918,0.9641331434674263,0.7229485112025369,0.8522012578616353,0.8049944005143863,74,0.9641331434674263
