Dim1,Dim2
-3.973301,0.2288124
-4.59873,-0.22153558
-4.045725,2.1912878
-4.157526,2.6461275
-4.3412905,-0.032200318
-3.8362586,0.11881772
-3.2514102,2.7152846
0.30462122,3.1637876
0.26971775,3.7388642
-3.5077617,2.8612566
0.6638179,4.3328466
0.4841824,3.445642
-2.8541286,2.3040519
-2.8545573,3.08639
-4.3705096,0.45680562
-3.2600126,3.126475
-1.0799706,3.8915498
0.15434064,4.5299373
-4.110285,-0.6471287
-0.40558097,4.382261
-4.1934533,-0.30137682
-4.237803,0.81478524
-3.5015707,-0.077502064
-0.25533098,3.0133805
-1.2301899,3.3558192
-0.97899973,2.6856518
-0.6170266,3.364804
-0.21301551,4.2449746
0.4857894,3.9554825
-3.1035032,3.3236344
-1.0152553,2.890528
-3.876374,-0.48815137
-2.6015403,2.6612616
-3.7064803,2.5694408
-1.8530973,3.4274342
-0.20802827,2.6872628
-0.43723938,3.6784563
-2.0169694,2.9946244
0.010135307,4.105422
-0.44656426,2.5896447
-3.612678,0.3164919
-0.22231254,3.420402
-2.3712783,2.3390505
-3.7347846,-0.26297677
-2.7627811,2.8914392
