Dim1,Dim2
0.31421706,3.4166477
1.5058291,4.245191
0.58957446,3.273147
0.525122,3.3779454
1.6236407,3.9836576
2.1251984,3.6389227
0.42116335,3.642511
-0.52967805,2.9753742
-1.2738781,2.921866
2.83942,3.3896031
-1.181668,3.114499
-1.464181,3.291841
1.6365794,3.5358644
0.7723266,3.2266748
1.80475,4.465582
-0.46215972,3.5374126
0.48236966,3.3265502
-1.4401151,3.4612467
-1.7908251,3.253038
0.8447278,2.6222959
-1.5058529,3.164131
-0.39733815,3.0384808
-1.2569592,3.5364754
-0.46525547,2.942425
-1.111147,3.321541
0.68273306,2.7620203
2.6660323,4.4471736
1.594134,4.3870897
1.2519014,3.2849832
0.92360395,3.5243177
3.5633364,4.1519694
-1.4354545,3.432993
0.8836434,3.0562875
2.9561832,3.6001194
0.19869313,3.4195793
0.81238365,3.4333408
1.2260387,3.9008937
1.2054989,2.7601948
10.255954,6.413113
1.3092089,3.0509138
0.17678156,3.5554237
1.5577064,3.5043907
1.1103476,3.2077713
-0.6576785,3.2913902
-0.47990856,2.7209969
0.25464612,2.7795677
1.0538641,2.64479
0.12510292,3.2589676
0.025697336,3.732111
1.9846506,3.5328097
2.3064115,3.6388702
3.3304217,4.819342
-0.7454751,2.6125414
0.8527726,3.566482
0.20003249,3.9187942
2.9086187,3.932333
0.5851693,2.9078958
1.847866,4.4302573
-0.27101856,3.5734975
0.80911875,2.6159756
-1.778526,3.1754856
2.435239,4.5100245
0.82064766,2.7393136
1.9016348,3.132385
1.9447219,4.0553446
-0.1349227,3.5860221
-1.193823,3.294887
1.6644049,4.3649497
-0.53162014,3.3598113
2.045218,4.482486
1.0921482,2.7451887
0.1655784,3.3978567
-0.059722923,3.4842584
-1.7001417,3.2284071
-0.5688159,2.6700242
2.6895947,3.3048708
-0.23649448,3.2065575
2.8811262,3.5496528
0.47533017,3.1456473
-0.2185231,3.5582426
1.8547878,4.4245553
0.4255548,3.4891262
3.1712005,3.7935684
2.5109234,4.3185782
2.9661012,3.9913557
-0.90451175,3.3519197
1.2531259,3.120863
1.3395765,4.0689282
0.7228828,2.5462918
3.0328188,4.410323
-1.4095521,3.3867064
-0.8410693,2.833873
-1.6911451,3.182994
2.4428139,3.3314986
-0.06371946,3.5752103
0.060107656,3.34303
0.5609099,2.7251382
1.165066,3.8314035
-0.9510417,3.2406178
1.1086097,3.1288252
2.6307547,4.152075
2.804478,4.309584
1.11974,2.8828502
2.8716123,3.4490752
-1.3543608,3.4069996
0.6369084,3.8492362
10.079825,7.0032153
8.196249,5.241917
8.107009,6.614967
10.699344,7.4674196
11.99504,7.460016
5.6262407,4.5212073
8.252808,6.6956973
6.9726973,5.9800186
7.6475344,6.1270256
8.19467,7.5745516
9.130869,5.524899
10.808744,8.382203
7.9836726,5.164089
7.095069,6.530046
8.324954,4.6412916
6.8233924,6.225937
10.751373,5.6930537
8.135621,6.717694
7.6456127,7.016138
7.9120827,5.031555
7.4605813,6.153012
11.3553915,7.8496466
6.534997,5.974785
8.914714,4.9009395
7.3692613,6.227387
8.258893,7.3039613
10.989709,5.92943
9.243405,5.6832256
9.930019,7.0966334
10.185954,6.939832
7.7247233,5.591968
9.027651,5.0936465
11.004203,6.1829267
7.256912,5.134351
8.496761,4.972379
9.587203,6.8606772
9.143231,6.0861945
8.182745,6.6815386
9.50286,6.088686
7.547592,5.2080817
5.9204683,4.604154
9.110772,7.2057214
6.1421394,6.0777345
8.394845,6.0896897
8.169485,7.2822366
5.412406,5.7618785
8.042271,4.710443
5.7737584,4.6470914
8.597037,7.7645774
11.505872,7.7802777
7.6044273,5.497954
7.65267,5.862771
8.796322,5.1236567
7.16969,5.332553
7.325841,5.130593
7.400115,6.747912
7.1991134,6.5490365
11.307188,8.098883
7.2890563,4.7832656
6.584774,6.0416474
7.3734946,5.4398837
11.67203,7.3244147
5.9788647,5.5653815
7.4685245,6.2397814
9.985397,6.7631016
10.5287,7.4247656
9.702447,5.9974065
6.6436486,4.7804894
8.618248,4.95339
11.229048,7.3232994
8.568418,5.407428
8.371578,5.771066
9.726815,6.6994414
8.27678,7.511896
