Dim1,Dim2
10.1340065,2.2263792
6.5149503,3.0947316
7.1281867,3.3205335
6.2272496,3.9900513
6.7515645,4.0135164
4.42351,2.720737
5.5834193,2.8440847
7.251531,3.7233458
5.5296807,3.4527915
6.6120925,2.355212
8.484442,3.3856292
7.446196,3.5764306
6.5020976,3.8310711
6.11361,2.314205
5.772486,3.26736
9.742215,4.1025715
7.573192,2.9862938
6.2804513,3.3375947
14.458211,2.4152606
6.773781,3.3654418
5.9893146,3.1587958
6.205073,2.3379717
6.2419252,2.1506863
9.863164,3.7444077
8.934391,3.086115
14.587518,1.9258269
14.5253,1.705927
11.908706,1.8129364
15.460752,2.2085166
10.550851,2.2422981
8.330142,2.60256
8.429938,3.0444837
10.813813,2.6238024
15.314424,2.5002913
7.541612,3.3901486
11.914448,2.103641
10.470929,2.4605715
10.041589,2.6410918
15.45786,2.285471
10.205959,2.3401783
9.984619,2.4659107
14.764473,2.3186743
13.01447,2.1502929
9.297521,4.1209702
14.066896,2.6652331
9.678487,2.6957068
14.094682,2.5633337
13.604089,2.6298783
7.579526,2.4462192
8.116469,3.254177
4.307794,2.4951038
10.225838,2.4026475
10.082213,2.7718613
5.844311,2.3122005
6.9864683,3.7827857
11.5215,2.569997
14.656538,3.132245
14.787221,2.6084003
11.093531,2.2087052
15.042256,2.3099477
14.924892,2.781703
11.393693,3.113169
11.759029,2.7975616
7.7527337,2.596146
11.401237,2.120345
13.458796,2.1031756
15.243975,1.9721955
8.209305,3.691167
14.823011,1.7708788
7.689564,3.593283
8.554392,2.4857557
9.137586,4.213452
14.207771,3.1580818
13.640941,2.5916872
13.631149,3.3651152
14.216886,2.7276552
14.914625,1.8788433
15.142277,2.5831397
11.645239,2.7179286
13.7510395,3.0353024
8.004702,3.5082498
11.382705,2.9783518
11.157813,2.430721
12.931681,2.5145056
14.038254,3.3164768
14.276477,2.3266523
12.766336,2.6663
15.1486635,2.0194645
14.032232,3.3458886
5.976086,2.9963622
14.3539915,2.9907212
10.375685,3.7690673
7.732413,3.8050916
11.162491,2.7532554
6.4163914,2.8290138
4.256518,2.5825279
4.1428165,2.2990975
4.4825273,2.7772288
5.4505706,2.7898712
4.498217,2.5080342
5.0020165,2.5959334
7.597925,2.7328186
12.191326,2.7199814
4.340152,2.5282722
6.7003465,2.9570298
8.387321,2.8431966
13.457463,3.2352448
6.2194085,2.5780525
6.5724573,2.1881697
4.3331523,2.883704
4.542093,2.6188169
6.778967,3.5546644
6.842682,2.6238437
4.574161,2.6687114
9.380834,4.035276
13.144418,1.8519038
13.599292,3.131631
14.350059,1.738647
13.559098,1.817402
6.396351,3.1638184
7.4637027,3.1959727
13.7834,1.7750918
13.562001,2.566254
11.442043,2.3093333
14.538923,3.0603352
12.084661,2.2338443
9.138617,3.9461768
11.696035,2.1307242
8.0334425,2.8798501
10.409111,2.9282107
8.966285,3.7308643
7.1725903,2.9860404
9.766849,4.0736136
11.156916,2.77508
8.487586,3.4645588
6.430773,2.2991548
11.211121,2.787068
9.492212,3.9794424
6.491624,2.5603786
12.795406,2.2113078
13.924456,3.3473442
8.832063,3.5248208
12.620946,2.2891245
11.735018,2.0249534
12.411611,2.75303
14.999189,2.8288462
