Dim1,Dim2
-7.9383507,0.3793119
-6.9670095,1.3200583
-7.6042347,0.73995894
-7.7897997,0.45862198
-6.7732997,1.0082932
-6.800466,1.0361711
-8.0815935,0.65366375
-8.297764,-0.1888019
-8.717178,-0.72472274
-5.91716,0.29024687
-8.704862,-0.29633
-9.2186365,-0.4144596
-6.9578924,0.9209086
-7.3807216,0.2351381
-6.5337863,0.70475817
-8.659269,0.14834872
-7.818749,0.55671984
-9.089293,-0.5904654
-9.187859,-0.7678857
-7.014997,-0.37883332
-9.152563,-0.57271004
-8.047229,-0.3968633
-9.095266,-0.1961802
-8.181878,-0.31888345
-8.522945,-0.029651549
-7.3236365,-0.27987546
-5.931183,0.97130966
-7.0975204,1.3278799
-7.353139,0.69156855
-7.2261634,0.69089967
15.562963,4.5483565
-9.17555,-0.5440462
-7.0111117,0.17300396
-6.031083,0.2262205
-8.019305,0.77809095
-7.2344074,0.5252563
-6.9192996,0.83752584
-6.722183,0.038816515
16.12778,0.4029595
-6.998441,0.34701106
-7.8649516,0.7647128
-7.3243985,0.97534394
-7.4564857,0.6080207
-8.436262,0.15706398
-8.001896,-0.45584765
-7.6348467,-0.34775814
-6.558064,-0.13489795
-8.055651,0.23854953
-8.055563,0.36663136
-6.626482,0.8723055
-6.4331384,0.14038624
-6.619058,1.2990818
-7.9325266,-0.56221765
-7.525404,0.6570157
-8.238046,0.46253413
-5.8583198,0.45640847
-7.3481297,-0.03935764
-6.513808,1.061496
-8.479164,0.49755675
-7.176162,-0.24953263
-8.97989,-0.7767659
-6.2372203,1.153501
-7.1329126,-0.24171826
-6.4614162,0.017154314
-6.757167,1.3572868
-8.211469,0.45393226
-8.934527,-0.32689247
-6.9091935,1.2348677
-8.47142,-0.033330943
-6.284013,0.89265466
-6.7768307,-0.09973826
-7.9398665,0.38647407
-8.266726,0.5317424
-9.018331,-0.72888947
-8.05337,-0.47435638
-6.1400614,0.10268746
-8.029826,0.11787799
-5.918325,0.28582388
-7.5273476,0.25725096
-8.463053,0.4727799
-6.3928876,1.0139794
-7.6711016,0.70694244
-6.101159,0.4000937
-6.0128517,0.96098644
-6.2761636,0.42868134
-8.7127905,-0.23445028
-6.530732,0.29357108
-7.224006,1.1173085
-7.1591187,-0.43030286
-5.85321,0.9395959
-9.306115,-0.51180947
-8.25089,-0.5565934
-9.037735,-0.6432333
-6.2411838,0.104842134
-8.319528,0.0479705
-7.995503,0.31210756
-7.3854604,-0.34727666
-6.885073,0.8192057
-8.628947,-0.41372296
-6.9316525,0.33276823
-6.0033565,0.67674416
-5.995986,0.8110139
-6.9824963,-0.024675636
-5.983814,0.27784652
-9.160482,-0.3783171
-7.706983,1.0099216
16.541578,-0.037533045
16.435284,2.6066318
15.688647,1.6942916
16.665136,-1.142151
16.505491,-1.8014452
15.6404295,4.5077796
15.067666,1.890645
15.444045,2.7168875
15.197719,1.8128059
14.828133,0.91666156
16.20994,1.5358452
15.508327,-1.0334316
15.789457,3.2072632
14.606461,2.3039997
16.146402,3.0874412
15.724337,2.1548107
17.031313,2.2587914
15.447106,1.4832364
14.89863,1.9019276
16.527306,3.0117044
15.470106,2.469794
16.127028,-1.3705566
14.930819,2.9172423
17.097063,2.5558045
14.72453,2.1593664
14.980046,1.1463038
17.22888,-0.8288415
16.19514,1.2784326
16.597176,0.1204925
16.371414,-0.20987147
15.414904,3.3038428
15.886093,2.4516573
17.076681,-0.65097517
16.279526,2.529489
16.947163,2.6666937
16.640123,0.4843637
17.132898,1.7238841
15.445635,1.3528141
16.550085,0.7471533
15.930298,3.345909
15.639628,4.3435645
15.51239,0.6659964
14.7287655,3.15443
15.894142,1.7879325
14.853272,1.3562086
14.698386,3.359527
16.435253,3.2542315
15.451484,4.5135055
14.990938,0.21912155
16.478928,-1.719344
15.452749,3.7946422
15.118014,2.4784276
17.064138,2.4710863
16.00733,2.999145
15.8813505,3.493182
14.649096,1.8053582
14.532295,2.0771937
16.103237,-1.5264095
16.23639,3.746375
15.343415,2.325738
15.658733,2.7768626
16.659273,-1.5133259
15.006372,3.6150916
14.814519,2.2607129
16.028416,-0.035768908
15.728332,-1.0110389
16.077133,0.9006053
15.854946,4.1047206
16.77385,2.7771218
16.290173,-0.9805649
16.652292,2.2541885
16.240065,2.1957617
16.814968,0.3660941
14.916582,0.9154535
16.132662,-0.42250946
15.315475,4.037307
15.55983,-0.64171594
16.1162,3.003621
16.997635,-0.71296275
16.736702,-1.3602581
14.628366,2.2134137
16.413948,-0.6389027
16.26817,3.100968
15.778693,3.889139
16.226002,2.3412294
16.1233,-1.0476942
16.895958,-0.12345873
14.694989,1.1920595
14.941689,0.86253536
-6.7807975,0.5105254
16.849138,-1.1418843
16.706533,-0.72705704
15.233532,2.4577146
15.818773,1.0407133
14.501165,2.0813878
15.18382,1.039751
16.905033,-0.9325424
15.991953,-0.44488883
16.438366,1.430419
15.877681,-0.7416021
16.853464,0.55528104
15.359851,2.0442996
16.934376,1.0224848
16.501276,1.6097486
16.313606,0.9389787
17.04481,1.0902282
16.591375,2.3280756
14.942292,3.7153432
16.516886,2.8044627
15.2505865,4.416342
16.834785,-0.66743624
14.6108055,2.444183
16.507742,-1.8560554
17.054913,-0.4638865
17.022602,1.3658429
16.205652,3.7450893
15.023683,2.6683245
15.872424,-1.1255517
15.966758,-0.48710367
16.026817,-1.3046602
15.384448,1.5455056
15.379141,-0.7767295
16.151394,-0.40175134
14.955131,3.7306325
15.07993,0.17891428
15.360943,1.408727
16.398,1.6410283
16.839521,2.0094445
15.205475,1.7656813
16.929758,-0.73005056
16.741474,-0.15982161
16.938246,0.13155693
16.576616,0.574388
15.153619,2.900309
15.931583,1.2270854
16.279501,-1.0288544
17.027557,-1.0609486
15.491514,3.6981413
14.997583,0.97614783
15.404238,1.4934763
15.891286,4.0420895
16.441185,-0.95075744
16.29708,2.2600806
15.491213,4.175708
16.502155,2.6844108
