~iteration~,lr
0,0.0001
7,0.0001
14,0.0001
21,0.0001
28,0.0001
35,0.0001
42,0.0001
49,0.0001
56,0.0001
63,0.0001
70,0.0001
77,0.0001
84,0.0001
91,0.0001
98,0.0001
105,0.0001
112,0.0001
119,0.0001
126,0.0001
133,0.0001
140,0.0001
147,0.0001
154,0.0001
161,0.0001
168,0.0001
175,0.0001
182,0.0001
189,0.0001
196,0.0001
203,0.0001
210,0.0001
217,0.0001
224,0.0001
231,0.0001
238,0.0001
245,0.0001
252,0.0001
259,0.0001
266,0.0001
273,0.0001
280,0.0001
287,0.0001
294,0.0001
301,0.0001
308,0.0001
315,0.0001
322,0.0001
329,0.0001
336,0.0001
343,0.0001
350,0.0001
357,0.0001
364,0.0001
371,0.0001
378,0.0001
385,0.0001
392,0.0001
399,0.0001
406,0.0001
413,0.0001
420,0.0001
427,0.0001
434,0.0001
441,0.0001
448,0.0001
455,0.0001
462,0.0001
469,0.0001
476,0.0001
483,0.0001
490,0.0001
497,0.0001
504,0.0001
511,0.0001
518,0.0001
525,0.0001
532,0.0001
539,0.0001
546,0.0001
553,0.0001
560,0.0001
567,0.0001
574,0.0001
581,0.0001
588,0.0001
595,0.0001
602,0.0001
609,0.0001
616,0.0001
623,0.0001
630,0.0001
637,0.0001
644,0.0001
651,0.0001
658,0.0001
665,0.0001
672,0.0001
679,0.0001
686,0.0001
693,0.0001
700,0.0001
707,0.0001
714,0.0001
721,0.0001
728,0.0001
735,0.0001
742,0.0001
749,0.0001
756,0.0001
763,0.0001
770,0.0001
777,0.0001
784,0.0001
791,0.0001
798,0.0001
805,0.0001
812,0.0001
819,0.0001
826,0.0001
833,0.0001
840,0.0001
847,0.0001
854,0.0001
861,0.0001
868,0.0001
875,0.0001
882,0.0001
889,0.0001
896,0.0001
903,0.0001
910,0.0001
917,0.0001
924,0.0001
931,0.0001
938,0.0001
945,0.0001
952,0.0001
959,0.0001
966,0.0001
973,0.0001
980,0.0001
987,0.0001
994,0.0001
1001,0.0001
1008,0.0001
1015,0.0001
1022,0.0001
1029,0.0001
1036,0.0001
1043,0.0001
1050,0.0001
1057,0.0001
1064,0.0001
1071,0.0001
1078,0.0001
1085,0.0001
1092,0.0001
1099,0.0001
1106,0.0001
1113,0.0001
1120,0.0001
1127,0.0001
1134,0.0001
1141,0.0001
1148,0.0001
1155,0.0001
1162,0.0001
1169,0.0001
1176,0.0001
1183,0.0001
1190,0.0001
1197,0.0001
1204,0.0001
1211,0.0001
1218,0.0001
1225,0.0001
1232,0.0001
1239,0.0001
1246,0.0001
1253,0.0001
1260,0.0001
1267,0.0001
1274,0.0001
1281,0.0001
1288,0.0001
1295,0.0001
1302,0.0001
1309,0.0001
1316,0.0001
1323,0.0001
1330,0.0001
1337,0.0001
1344,0.0001
1351,0.0001
1358,0.0001
1365,0.0001
1372,0.0001
1379,0.0001
1386,0.0001
1393,0.0001
1400,0.0001
1407,0.0001
1414,0.0001
1421,0.0001
1428,0.0001
1435,0.0001
1442,0.0001
1449,0.0001
1456,0.0001
1463,0.0001
1470,0.0001
1477,0.0001
1484,0.0001
1491,0.0001
1498,0.0001
1505,0.0001
1512,0.0001
1519,0.0001
1526,0.0001
1533,0.0001
1540,0.0001
1547,0.0001
1554,0.0001
1561,0.0001
1568,0.0001
1575,0.0001
1582,0.0001
1589,0.0001
1596,0.0001
1603,0.0001
1610,0.0001
1617,0.0001
1624,0.0001
1631,0.0001
1638,0.0001
1645,0.0001
1652,0.0001
1659,0.0001
1666,0.0001
1673,0.0001
1680,0.0001
1687,0.0001
1694,0.0001
1701,0.0001
1708,0.0001
1715,0.0001
1722,0.0001
1729,0.0001
1736,0.0001
1743,0.0001
1750,0.0001
1757,0.0001
1764,0.0001
1771,0.0001
1778,0.0001
1785,0.0001
1792,0.0001
1799,0.0001
1806,0.0001
1813,0.0001
1820,0.0001
1827,0.0001
1834,0.0001
1841,0.0001
1848,0.0001
1855,0.0001
1862,0.0001
1869,0.0001
1876,0.0001
1883,0.0001
1890,0.0001
1897,0.0001
1904,0.0001
1911,0.0001
1918,0.0001
1925,0.0001
1932,0.0001
1939,0.0001
1946,0.0001
1953,0.0001
1960,0.0001
1967,0.0001
1974,0.0001
1981,0.0001
1988,0.0001
1995,0.0001
2002,0.0001
2009,0.0001
2016,0.0001
2023,0.0001
2030,0.0001
2037,0.0001
2044,0.0001
2051,0.0001
2058,0.0001
2065,0.0001
2072,0.0001
2079,0.0001
2086,0.0001
2093,0.0001
2100,0.0001
2107,0.0001
2114,0.0001
2121,0.0001
2128,0.0001
2135,0.0001
2142,0.0001
2149,0.0001
2156,0.0001
2163,0.0001
