~iteration~,p,power
0,2,1
7,2,1
14,2,1
21,2,1
28,2,1
35,2,1
42,2,1
49,2,1
56,2,1
63,2,1
70,2,1
77,2,1
84,2,1
91,2,1
98,2,1
105,2,1
112,2,1
119,2,1
126,2,1
133,2,1
140,2,1
147,2,1
154,2,1
161,2,1
168,2,1
175,2,1
182,2,1
189,2,1
196,2,1
203,2,1
210,2,1
217,2,1
224,2,1
231,2,1
238,2,1
245,2,1
252,2,1
259,2,1
266,2,1
273,2,1
280,2,1
287,2,1
294,2,1
301,2,1
308,2,1
315,2,1
322,2,1
329,2,1
336,2,1
343,2,1
350,2,1
357,2,1
364,2,1
371,2,1
378,2,1
385,2,1
392,2,1
399,2,1
406,2,1
413,2,1
420,2,1
427,2,1
434,2,1
441,2,1
448,2,1
455,2,1
462,2,1
469,2,1
476,2,1
483,2,1
490,2,1
497,2,1
504,2,1
511,2,1
518,2,1
525,2,1
532,2,1
539,2,1
546,2,1
553,2,1
560,2,1
567,2,1
574,2,1
581,2,1
588,2,1
595,2,1
602,2,1
609,2,1
616,2,1
623,2,1
630,2,1
637,2,1
644,2,1
651,2,1
658,2,1
665,2,1
672,2,1
679,2,1
686,2,1
693,2,1
700,2,1
707,2,1
714,2,1
721,2,1
728,2,1
735,2,1
742,2,1
749,2,1
756,2,1
763,2,1
770,2,1
777,2,1
784,2,1
791,2,1
798,2,1
805,2,1
812,2,1
819,2,1
826,2,1
833,2,1
840,2,1
847,2,1
854,2,1
861,2,1
868,2,1
875,2,1
882,2,1
889,2,1
896,2,1
903,2,1
910,2,1
917,2,1
924,2,1
931,2,1
938,2,1
945,2,1
952,2,1
959,2,1
966,2,1
973,2,1
980,2,1
987,2,1
994,2,1
1001,2,1
1008,2,1
1015,2,1
1022,2,1
1029,2,1
1036,2,1
1043,2,1
1050,2,1
1057,2,1
1064,2,1
1071,2,1
1078,2,1
1085,2,1
1092,2,1
1099,2,1
1106,2,1
1113,2,1
1120,2,1
1127,2,1
1134,2,1
1141,2,1
1148,2,1
1155,2,1
1162,2,1
1169,2,1
1176,2,1
1183,2,1
1190,2,1
1197,2,1
1204,2,1
1211,2,1
1218,2,1
1225,2,1
1232,2,1
1239,2,1
1246,2,1
1253,2,1
1260,2,1
1267,2,1
1274,2,1
1281,2,1
1288,2,1
1295,2,1
1302,2,1
1309,2,1
1316,2,1
1323,2,1
1330,2,1
1337,2,1
1344,2,1
1351,2,1
1358,2,1
1365,2,1
1372,2,1
1379,2,1
1386,2,1
1393,2,1
1400,2,1
1407,2,1
1414,2,1
1421,2,1
1428,2,1
1435,2,1
1442,2,1
1449,2,1
1456,2,1
1463,2,1
1470,2,1
1477,2,1
1484,2,1
1491,2,1
1498,2,1
1505,2,1
1512,2,1
1519,2,1
1526,2,1
1533,2,1
1540,2,1
1547,2,1
1554,2,1
1561,2,1
1568,2,1
1575,2,1
1582,2,1
1589,2,1
1596,2,1
1603,2,1
1610,2,1
1617,2,1
1624,2,1
1631,2,1
1638,2,1
1645,2,1
1652,2,1
1659,2,1
1666,2,1
1673,2,1
1680,2,1
1687,2,1
1694,2,1
1701,2,1
1708,2,1
1715,2,1
1722,2,1
1729,2,1
1736,2,1
1743,2,1
1750,2,1
1757,2,1
1764,2,1
1771,2,1
1778,2,1
1785,2,1
1792,2,1
1799,2,1
1806,2,1
1813,2,1
1820,2,1
1827,2,1
1834,2,1
1841,2,1
1848,2,1
1855,2,1
1862,2,1
1869,2,1
1876,2,1
1883,2,1
1890,2,1
1897,2,1
1904,2,1
1911,2,1
1918,2,1
1925,2,1
1932,2,1
1939,2,1
1946,2,1
1953,2,1
1960,2,1
1967,2,1
1974,2,1
1981,2,1
1988,2,1
1995,2,1
2002,2,1
2009,2,1
2016,2,1
2023,2,1
2030,2,1
2037,2,1
2044,2,1
2051,2,1
2058,2,1
2065,2,1
2072,2,1
2079,2,1
2086,2,1
2093,2,1
2100,2,1
2107,2,1
2114,2,1
2121,2,1
2128,2,1
2135,2,1
2142,2,1
2149,2,1
2156,2,1
2163,2,1
2170,2,1
2177,2,1
2184,2,1
2191,2,1
2198,2,1
2205,2,1
2212,2,1
2219,2,1
2226,2,1
2233,2,1
2240,2,1
2247,2,1
2254,2,1
2261,2,1
2268,2,1
2275,2,1
2282,2,1
2289,2,1
2296,2,1
2303,2,1
2310,2,1
2317,2,1
2324,2,1
2331,2,1
2338,2,1
2345,2,1
2352,2,1
2359,2,1
2366,2,1
2373,2,1
2380,2,1
2387,2,1
2394,2,1
2401,2,1
2408,2,1
2415,2,1
2422,2,1
2429,2,1
2436,2,1
2443,2,1
2450,2,1
2457,2,1
2464,2,1
2471,2,1
2478,2,1
2485,2,1
2492,2,1
2499,2,1
2506,2,1
2513,2,1
2520,2,1
2527,2,1
2534,2,1
2541,2,1
2548,2,1
2555,2,1
2562,2,1
2569,2,1
2576,2,1
2583,2,1
2590,2,1
2597,2,1
2604,2,1
2611,2,1
2618,2,1
2625,2,1
2632,2,1
2639,2,1
2646,2,1
2653,2,1
2660,2,1
2667,2,1
2674,2,1
2681,2,1
2688,2,1
2695,2,1
2702,2,1
2709,2,1
2716,2,1
2723,2,1
2730,2,1
2737,2,1
2744,2,1
2751,2,1
2758,2,1
2765,2,1
2772,2,1
2779,2,1
2786,2,1
2793,2,1
