epoch,best_auc_ZHEYI_vs_self/epoch,best_auc_ZHEYI_vs_self/acc_yinda_level0,best_auc_ZHEYI_vs_self/auc_yinda_level0,best_auc_ZHEYI_vs_self/mean_average_precision_at_r_level0,best_auc_ZHEYI_vs_self/precision_at_1_level0,best_auc_ZHEYI_vs_self/r_precision_level0,best_auc_ZHEYI_vs_self/best_epoch,best_auc_ZHEYI_vs_self/best_accuracy
1,1.0,0.5961538553237915,0.37788018584251404,0.4276781678199768,0.5961538553237915,0.5955128073692322,1.0,0.37788018584251404
2,2.0,0.5961538553237915,0.3041474521160126,0.4438735544681549,0.5961538553237915,0.6118589639663696,1.0,0.37788018584251404
3,3.0,0.5961538553237915,0.2549923062324524,0.45950788259506226,0.6153846383094788,0.6224358677864075,1.0,0.37788018584251404
4,4.0,0.5961538553237915,0.20430107414722443,0.473280668258667,0.6538461446762085,0.629807710647583,1.0,0.37788018584251404
5,5.0,0.5961538553237915,0.1658986210823059,0.4772280752658844,0.6730769276618958,0.6272435784339905,1.0,0.37788018584251404
6,6.0,0.5961538553237915,0.14592933654785156,0.48378250002861023,0.6730769276618958,0.6346153616905212,1.0,0.37788018584251404
7,7.0,0.5961538553237915,0.12903225421905518,0.4908583164215088,0.6538461446762085,0.6451923251152039,1.0,0.37788018584251404
8,8.0,0.5961538553237915,0.10906297713518143,0.5008143782615662,0.7307692170143127,0.6522436141967773,1.0,0.37788018584251404
9,9.0,0.5961538553237915,0.1105990782380104,0.5011043548583984,0.7307692170143127,0.6496794819831848,1.0,0.37788018584251404
10,10.0,0.5961538553237915,0.11520737409591675,0.5034422874450684,0.7115384340286255,0.6490384340286255,1.0,0.37788018584251404
11,11.0,0.5961538553237915,0.12288786470890045,0.5113658308982849,0.7115384340286255,0.6557692289352417,1.0,0.37788018584251404
12,12.0,0.5961538553237915,0.1259600669145584,0.5231873393058777,0.7115384340286255,0.6634615659713745,1.0,0.37788018584251404
13,13.0,0.5961538553237915,0.13671274483203888,0.5286640524864197,0.7115384340286255,0.6679487228393555,1.0,0.37788018584251404
14,14.0,0.5961538553237915,0.1505376398563385,0.5325320959091187,0.75,0.6695512533187866,1.0,0.37788018584251404
15,15.0,0.5961538553237915,0.17972350120544434,0.5372551083564758,0.75,0.670192301273346,1.0,0.37788018584251404
16,16.0,0.5961538553237915,0.25806450843811035,0.5461136102676392,0.7115384340286255,0.6772435903549194,1.0,0.37788018584251404
17,17.0,0.5961538553237915,0.4116743505001068,0.5482383370399475,0.7307692170143127,0.675000011920929,17.0,0.4116743505001068
18,18.0,0.5961538553237915,0.5192012190818787,0.5484671592712402,0.7307692170143127,0.6746794581413269,18.0,0.5192012190818787
19,19.0,0.5961538553237915,0.6451612710952759,0.552446186542511,0.75,0.6785256266593933,19.0,0.6451612710952759
20,20.0,0.5961538553237915,0.7250384092330933,0.5525926947593689,0.75,0.6762820482254028,20.0,0.7250384092330933
21,21.0,0.5961538553237915,0.7603686451911926,0.5562165379524231,0.7692307829856873,0.675000011920929,21.0,0.7603686451911926
22,22.0,0.5961538553237915,0.780337929725647,0.5593861937522888,0.7692307829856873,0.6804487109184265,22.0,0.780337929725647
23,23.0,0.5961538553237915,0.7972350120544434,0.5532277226448059,0.7884615659713745,0.6759615540504456,23.0,0.7972350120544434
24,24.0,0.5961538553237915,0.8110598921775818,0.5559715032577515,0.7884615659713745,0.6778846383094788,24.0,0.8110598921775818
25,25.0,0.5961538553237915,0.8279569745063782,0.5560734868049622,0.7692307829856873,0.6772435903549194,25.0,0.8279569745063782
26,26.0,0.5961538553237915,0.837173581123352,0.5524464249610901,0.7307692170143127,0.6743589639663696,26.0,0.837173581123352
27,27.0,0.5961538553237915,0.8310291767120361,0.5563200116157532,0.7692307829856873,0.6791666746139526,26.0,0.837173581123352
28,28.0,0.5961538553237915,0.837173581123352,0.5566626787185669,0.7692307829856873,0.6820513010025024,26.0,0.837173581123352
29,29.0,0.5961538553237915,0.8463901877403259,0.5446838140487671,0.7307692170143127,0.6708333492279053,29.0,0.8463901877403259
30,30.0,0.5961538553237915,0.8494623899459839,0.5426623225212097,0.7692307829856873,0.6705127954483032,30.0,0.8494623899459839
31,31.0,0.5961538553237915,0.855606734752655,0.5410866141319275,0.7692307829856873,0.6695512533187866,31.0,0.855606734752655
32,32.0,0.5961538553237915,0.8540706634521484,0.532936155796051,0.7692307829856873,0.6637820601463318,31.0,0.855606734752655
33,33.0,0.5961538553237915,0.8509984612464905,0.5204033851623535,0.7115384340286255,0.6548076868057251,31.0,0.855606734752655
34,34.0,0.5961538553237915,0.8540706634521484,0.5053272247314453,0.692307710647583,0.6384615302085876,31.0,0.855606734752655
35,35.0,0.5961538553237915,0.8571428656578064,0.5046679973602295,0.7115384340286255,0.6416666507720947,35.0,0.8571428656578064
36,36.0,0.5961538553237915,0.8525345325469971,0.4964645802974701,0.692307710647583,0.6330128312110901,35.0,0.8571428656578064
37,37.0,0.5961538553237915,0.8571428656578064,0.5049628615379333,0.7115384340286255,0.6445512771606445,37.0,0.8571428656578064
38,38.0,0.5961538553237915,0.861751139163971,0.5039439797401428,0.692307710647583,0.6445512771606445,38.0,0.861751139163971
39,39.0,0.5961538553237915,0.858678936958313,0.5172721743583679,0.7115384340286255,0.6528846025466919,38.0,0.861751139163971
40,40.0,0.5961538553237915,0.8632872700691223,0.5188738107681274,0.7307692170143127,0.656410276889801,40.0,0.8632872700691223
41,41.0,0.5961538553237915,0.858678936958313,0.5110822916030884,0.692307710647583,0.651602566242218,40.0,0.8632872700691223
42,42.0,0.5961538553237915,0.861751139163971,0.5027790665626526,0.692307710647583,0.6439102292060852,40.0,0.8632872700691223
43,43.0,0.5961538553237915,0.861751139163971,0.4994581639766693,0.6730769276618958,0.6349359154701233,40.0,0.8632872700691223
44,44.0,0.5961538553237915,0.8632872700691223,0.5006766319274902,0.6538461446762085,0.6397435665130615,40.0,0.8632872700691223
45,45.0,0.5961538553237915,0.8663594722747803,0.49769309163093567,0.6538461446762085,0.637499988079071,45.0,0.8663594722747803
46,46.0,0.5961538553237915,0.8632872700691223,0.4972366392612457,0.6346153616905212,0.639102578163147,45.0,0.8663594722747803
47,47.0,0.5961538553237915,0.861751139163971,0.4842379689216614,0.6538461446762085,0.6214743852615356,45.0,0.8663594722747803
48,48.0,0.5961538553237915,0.8632872700691223,0.48351770639419556,0.6346153616905212,0.6259615421295166,45.0,0.8663594722747803
49,49.0,0.5961538553237915,0.8632872700691223,0.487309992313385,0.6538461446762085,0.6317307949066162,45.0,0.8663594722747803
50,50.0,0.5961538553237915,0.8602150678634644,0.4822216331958771,0.6730769276618958,0.6176282167434692,45.0,0.8663594722747803
51,51.0,0.5961538553237915,0.8602150678634644,0.4849453568458557,0.692307710647583,0.6221153736114502,45.0,0.8663594722747803
52,52.0,0.5961538553237915,0.8602150678634644,0.48077771067619324,0.692307710647583,0.6182692050933838,45.0,0.8663594722747803
53,53.0,0.5961538553237915,0.8632872700691223,0.4821038842201233,0.6730769276618958,0.6253204941749573,45.0,0.8663594722747803
54,54.0,0.5961538553237915,0.8602150678634644,0.4862208664417267,0.692307710647583,0.6314102411270142,45.0,0.8663594722747803
55,55.0,0.5961538553237915,0.858678936958313,0.4867892861366272,0.7115384340286255,0.6317307949066162,45.0,0.8663594722747803
56,56.0,0.5961538553237915,0.861751139163971,0.4894140660762787,0.7307692170143127,0.6330128312110901,45.0,0.8663594722747803
57,57.0,0.5961538553237915,0.8632872700691223,0.48298588395118713,0.75,0.6217948794364929,45.0,0.8663594722747803
58,58.0,0.5961538553237915,0.8632872700691223,0.4925311803817749,0.75,0.6358974575996399,45.0,0.8663594722747803
59,59.0,0.7115384340286255,0.858678936958313,0.4957590401172638,0.7307692170143127,0.6394230723381042,45.0,0.8663594722747803
60,60.0,0.5961538553237915,0.8678955435752869,0.5016195774078369,0.692307710647583,0.637499988079071,60.0,0.8678955435752869
61,61.0,0.7307692170143127,0.8648233413696289,0.4984866678714752,0.7307692170143127,0.639102578163147,60.0,0.8678955435752869
62,62.0,0.5961538553237915,0.8648233413696289,0.5128949880599976,0.7307692170143127,0.6458333134651184,60.0,0.8678955435752869
