Dim1,Dim2
11.016977,4.471251
11.428414,4.387816
10.923517,5.138381
11.13096,5.021015
10.969831,4.1877847
7.1482673,6.433539
5.356242,6.846941
3.505832,5.2072096
2.4562068,4.34493
11.678498,4.1597953
2.898829,5.1531777
4.02724,5.5622797
1.5810257,4.648519
11.043374,5.7444606
11.642116,5.119901
2.1130853,4.367873
1.6165448,5.224815
5.677257,5.8267674
10.825745,4.812979
5.7772083,6.263753
11.286092,3.9815722
11.901258,4.3869214
7.953045,6.1594434
2.2139952,4.8115854
7.6021905,6.2964134
5.952806,5.8321033
1.9089702,4.46589
4.5221696,5.8052864
5.6134725,6.749871
7.564771,6.5346084
3.1485276,4.5625443
11.309869,5.4021583
2.580119,4.6192846
7.354593,6.1241984
5.055509,6.578099
4.9089746,6.0789638
2.9935148,4.7587147
1.8751309,5.0083637
5.2369633,5.9424787
6.351755,6.2437077
11.901057,4.790177
1.8165901,5.0777087
6.01817,6.3721466
11.191183,4.842702
5.467269,6.2299943
