Dim1,Dim2
1.758324,11.555253
1.1258814,10.233309
-1.3846041,9.449034
0.6054298,10.999586
0.63726497,11.077695
-0.998355,9.270916
2.0516603,10.938551
-3.4895666,5.2333765
-1.4012876,9.167788
2.7737684,10.192763
-2.6279745,8.311942
-2.9196837,7.65646
-1.3532318,9.75549
-1.3628068,9.564721
5.463002,9.19383
-3.3582358,6.24922
-3.4570494,5.181071
-3.5778658,5.1793694
-2.8671017,8.142508
-2.0245397,8.629933
-2.45181,8.744596
1.3713554,11.558044
-2.8195794,7.522774
-3.1035478,7.0754156
-3.6279495,5.3425126
-1.28425,9.6684
-2.2516522,8.262468
3.0835512,9.9067545
1.4115921,11.513305
-3.4149034,5.882907
5.943113,10.595788
-3.7024748,5.204418
-2.5139709,7.552096
2.0922315,10.17062
-2.8201096,7.260319
-0.9014477,9.767428
0.7284295,11.078616
-0.7473358,9.681204
6.381383,8.246389
1.7449671,10.582121
-3.0641577,7.3982573
-3.4670577,5.158691
-0.24822319,10.153705
-2.9581044,7.4926133
2.2642136,11.183525
-2.739189,7.749147
-0.8159583,9.500412
-3.7032247,4.995018
-2.336023,9.108246
2.5946047,9.990161
2.1279867,10.076166
5.568076,9.552116
-2.6984189,7.4339104
-2.7410138,8.327904
2.0100822,10.573897
5.563684,10.438408
-2.311539,9.117642
2.1249883,10.3590765
-3.014089,7.2626743
1.3170402,10.9038315
-2.3411326,9.113345
-1.0178143,9.9715
-2.3219383,8.36302
2.1151006,10.2342825
2.999511,9.8949995
-3.3832664,6.0301185
-3.7892296,4.8203974
2.2694805,9.897466
-1.9826517,8.557847
3.6776443,9.802044
-2.2895265,7.955756
-2.8706553,7.7565465
-3.0331945,7.1716285
-3.3403847,6.11239
-3.593867,5.0241466
0.5497713,10.922042
-3.4267423,5.837985
-0.72428733,9.639122
-3.6121438,4.790231
-2.7349083,7.367725
-0.99208057,10.182209
-1.066588,9.274348
4.8760796,9.28838
-1.6341,9.278934
1.7852285,10.2571745
-1.1306337,9.829543
-2.19972,9.220768
1.3704897,10.339553
-2.1352248,8.429185
3.1883695,10.405993
-3.5715132,5.2067204
-1.0316797,9.380049
-2.5321147,8.692197
0.5894601,10.982734
1.8675321,10.375878
-2.2904332,9.037576
-2.5370564,8.208605
-3.307719,6.181134
1.4750891,11.752276
-2.55499,7.836893
-2.5541775,7.9250784
-3.324533,6.1333804
-0.9690225,9.9992695
2.3010828,10.711266
-3.695158,4.951028
-0.9625239,9.33017
2.7323935,9.881029
2.2480195,11.345986
10.00618,2.3045726
9.9841175,4.614303
8.909545,0.65895057
3.6045425,9.928238
6.303618,9.848639
7.7811956,6.8320413
5.4410896,9.457815
