Dim1,Dim2
10.178589,7.2933846
4.4236298,8.32286
13.889882,7.146832
0.05294224,10.005765
-0.42226738,9.896122
-1.379494,9.536328
3.2625446,9.056365
-0.666209,9.55628
-0.21554957,9.917122
4.766312,7.71651
4.878975,7.6504564
5.229668,6.8700066
4.0303545,8.436558
1.8702763,8.997277
-0.12451242,10.086892
16.615507,4.856133
4.168546,8.663377
4.068541,8.577143
15.676819,5.677295
-0.22137134,9.854453
2.633084,9.018062
0.14473096,9.6170635
-0.7808672,9.58868
5.4340267,7.1575828
4.935517,7.5440474
17.7417,3.4881601
15.9539385,5.5998025
14.117318,6.6783137
17.469297,3.8930535
10.464365,7.8341675
5.561465,8.079333
9.211887,7.4501796
8.754316,7.617507
9.963149,7.1906962
2.4919894,8.917067
9.707025,7.344604
14.109488,6.920467
5.974053,7.669695
15.527668,5.86859
5.9852443,7.9255695
8.865045,7.1944823
11.239123,7.756705
14.448734,6.9031973
11.379619,7.542779
8.697027,7.58419
3.3031032,9.245168
14.392834,6.3177867
5.5274496,7.8722343
5.3001366,7.0215926
5.253752,7.305563
-1.463712,9.482946
5.6724935,7.071503
5.638817,7.3567214
-1.2094997,9.471538
11.115233,7.6294036
14.83021,6.020087
16.332165,5.3711843
16.99841,4.197212
2.8977158,9.188339
16.842314,4.7556386
16.090834,5.646458
17.3562,3.7470112
9.097705,7.5162745
5.5922284,7.5646787
17.3753,4.1805825
17.582043,3.6440542
14.6904,6.1716714
5.481322,7.0765095
14.066567,7.0016336
2.3856702,9.01667
4.612675,7.996557
9.861141,7.2036204
17.233929,4.042938
10.878404,7.963736
14.58208,6.179834
17.207195,3.8606622
15.695304,5.9349403
15.046565,6.452283
11.0948,8.129084
16.432035,4.9908376
5.7908626,7.1686425
16.895357,4.5163894
11.545128,8.004467
15.373491,5.9356937
15.49961,6.1946883
16.317291,5.1109633
17.672556,3.658348
14.172549,7.0846944
14.555992,6.74731
4.5535693,8.5489235
17.599115,3.61764
14.833894,6.599697
5.4828076,6.882103
14.281223,6.675049
3.8209505,8.740944
3.1936297,9.012785
-0.96513915,9.761282
-1.206083,9.70906
1.9965854,9.039665
1.6143156,9.200071
2.428891,9.10249
3.0830944,9.220176
14.604565,6.298007
-1.3399014,9.72432
3.6677673,8.9599285
2.3202848,9.027967
14.952211,5.9156084
2.853705,9.106001
9.555296,7.6954384
-0.4025071,9.697249
-1.3121337,9.569318
5.126995,7.2523623
5.698598,7.98545
0.079518825,9.67226
-1.1915106,9.614374
11.298906,7.6813784
4.3054695,8.592293
16.203987,5.300808
15.5088415,5.797086
11.409119,8.06646
9.161352,7.036657
17.115528,3.9534056
17.069918,3.9575033
9.313885,7.6432414
9.783105,7.515854
14.097814,6.90248
10.83492,7.7191963
11.171542,8.202497
10.454029,7.5372314
11.130731,7.9831676
8.949726,7.700381
9.379676,7.474007
-1.0905796,9.782892
14.465085,6.852225
13.916366,7.2142644
5.34959,7.9952073
9.952465,7.45508
9.451731,7.179079
3.5258973,8.897568
11.3656845,7.943298
16.62062,4.858113
8.585668,7.209155
16.67536,4.7309585
10.129755,7.75432
14.65928,6.7058806
17.28564,4.2231107
