Dim1,Dim2
3.772593,5.2019954
3.2439258,4.12719
0.83768255,5.0029645
2.1654112,4.1929665
2.1823554,4.2804713
0.4950158,4.946812
3.9086478,5.0101557
-4.344972,5.9565277
0.33934733,4.96008
4.5452247,4.2774487
-1.7000268,5.8662996
-2.191401,6.331506
1.1369447,5.0553226
0.7660351,4.966217
7.5763526,4.952183
-3.6987522,6.316545
-4.3785768,5.906564
-4.297458,5.9939094
-1.7852243,6.1606693
-1.257766,5.5496535
-0.8220633,5.5034184
2.3973894,4.9514294
-2.2391632,6.378277
-2.8026853,6.3254805
-4.290919,5.9901185
0.9697438,4.8976026
-1.5797246,5.634262
4.857879,4.0998406
2.426159,4.962443
-3.9175608,6.1582327
7.311557,6.273843
-4.267248,6.011853
-2.1468375,6.075918
3.6880805,3.9426415
-2.564448,6.4286885
1.2272617,4.6722074
2.2601597,4.162771
1.1927644,4.5119486
8.402339,5.345067
3.5986192,3.9429514
-2.5740197,6.1827164
-4.6309905,5.6801915
1.5736269,4.3531394
-2.3453004,6.1269374
4.2347064,4.6171
-2.0584128,6.094896
0.7431265,4.785514
-4.4050045,5.946932
-0.48420247,5.403642
4.4130707,3.8982964
3.8616388,3.789915
7.385764,5.3063674
-2.3523495,6.2475863
-1.7814206,6.015959
3.8209598,4.618243
6.936076,6.0783415
-0.45583,5.526289
3.846152,4.1905694
-2.6456916,6.3351393
2.8891249,4.315845
-0.6355089,5.484234
1.4447256,4.8099637
-1.4345852,5.729316
3.8458605,3.9290206
4.829438,4.0422335
-3.7347236,6.206267
-4.570843,5.73981
4.1286893,3.7371557
-1.3723073,5.6109304
5.7788467,4.463163
-1.7440822,5.6801085
-2.1111422,6.3921814
-2.4389517,6.1043634
-3.6925082,6.263828
-4.5164833,5.7944508
2.1128838,4.3970604
-3.994674,6.1204004
1.2876096,4.420272
-4.4546547,5.8553176
-2.4823167,6.3364534
1.613577,4.8170667
0.5340466,4.8766756
7.090121,4.7342997
0.37155563,5.0559936
3.5419421,4.047721
1.0251936,4.8439946
-0.4786286,5.3619113
3.4659019,4.40563
-1.416933,5.6388044
4.9154587,4.7184796
-4.4873204,5.8141694
0.72156453,4.8055377
-0.644591,5.5287347
2.0699668,4.257752
3.624816,4.0830493
-0.5209573,5.4216104
-1.568745,5.848388
-3.6137798,6.2081156
2.3757443,5.170049
-1.943312,5.915444
-1.9826821,5.8240976
-3.5545216,6.245461
1.6014932,4.9169207
4.210117,4.4016013
-4.5132904,5.80108
0.68152946,4.721628
4.612649,3.8118258
4.1231747,5.2628784
13.832655,2.305178
12.426262,3.1181178
14.50303,1.5773996
5.460464,4.367011
7.994801,5.9425445
10.147106,5.0353045
7.256577,5.0481696
9.950744,4.0206747
5.5545115,4.3909645
13.626861,2.1051023
5.933655,4.583032
1.4540502,4.8752265
12.657558,4.263241
12.22643,4.6615043
12.920722,2.6526902
13.937952,2.2345843
11.840259,3.427029
2.2460825,5.1665187
14.104769,1.9284524
13.288733,3.2919807
10.7336645,4.4677324
5.651387,4.509025
7.249585,5.876667
7.457613,6.2076364
13.105901,3.5021918
7.501234,5.1283965
6.4054074,5.019281
13.673164,2.9943752
4.982265,4.5049815
9.471385,4.973444
12.307237,4.572544
14.5764885,1.5001879
4.866051,4.579274
9.997026,4.183343
5.067142,4.584784
12.216907,2.906115
7.553732,5.342979
4.9152255,4.612758
3.998497,3.845813
4.019473,4.1080623
4.717062,4.3660674
10.659096,4.589036
1.2562914,4.79359
5.310501,4.518345
5.6477537,4.4138827
12.173965,3.3208053
12.60305,3.8530114
11.292145,4.7069616
3.673279,4.092509
4.8762875,5.4476314
7.471423,5.090321
10.735539,5.2547503
10.058467,4.6849203
6.6157336,5.734861
6.912536,6.363532
9.71229,4.2641754
-1.4434617,5.661516
12.040378,4.535915
13.6438465,2.6140234
13.924963,2.469942
2.175742,4.181022
10.863978,3.4758322
14.498916,1.5766279
5.37194,5.4680257
7.3134985,5.4986134
10.902965,4.809606
7.4530287,5.5936456
8.297283,5.3080173
11.18449,4.8993096
7.176959,5.9821334
12.071043,3.0850208
9.944598,3.9253428
12.265717,4.142119
6.9314795,5.0435457
11.439154,3.2656171
7.2057943,5.023117
13.382462,2.350568
10.51325,5.3017907
6.6727505,5.6932774
8.650283,5.085083
11.513727,4.540551
6.2197027,5.3701115
10.434922,5.172263
14.508848,1.5707163
9.148428,5.0689597
12.324227,3.353224
13.81604,2.4248197
1.4763691,4.8305807
11.048013,5.0228043
10.333122,5.298322
6.829628,5.91748
10.662624,5.2081227
10.767052,4.0005574
11.92377,3.949417
13.784852,2.9139936
11.869376,4.41793
4.5517993,5.3199897
7.735681,5.828678
9.486676,4.2828183
11.941633,4.2205343
7.843763,5.6649575
7.3891377,6.1337843
10.438339,3.6111567
6.4129896,5.7924557
6.9894485,4.7279263
-2.2736545,6.1533947
6.1667,5.1822977
1.3217114,4.4916534
12.621329,3.5781755
3.0569847,3.9963021
13.526016,2.6607418
7.2830653,6.315128
10.789523,3.7735722
4.558904,3.9403892
3.4968054,4.7328687
12.0543375,3.0543485
13.694722,2.6788101
11.404642,4.410408
7.755999,5.0382886
12.1877775,4.3597584
14.385079,1.6894214
6.8325586,4.7526116
11.005646,4.2882442
14.341119,1.7413856
13.580302,2.4447954
6.750827,5.9380817
8.6285,5.223846
14.392327,1.6797245
9.855334,5.1486096
7.964972,5.37084
11.645072,3.6307764
10.290723,5.297899
12.502432,4.3776
13.498763,2.1797183
13.823886,2.7423346
6.076211,4.57365
14.581531,1.498982
13.701163,2.6078053
11.883129,2.914506
11.014703,3.3800447
11.878463,4.540006
1.7273299,4.3485327
9.6816845,4.3925433
6.472254,4.7328644
10.6000395,4.2309613
7.4679823,4.8170104
-0.7286409,5.3306007
12.344564,3.411225
10.88747,4.1367307
