Dim1,Dim2
7.6972055,10.267658
7.059016,10.779684
6.0366826,12.647822
5.872497,13.261076
6.787122,11.532066
6.7023225,11.826116
6.983848,11.173224
7.4529757,10.84745
13.407809,10.16359
5.8522677,12.934417
7.574483,10.453258
7.126299,11.384255
13.788031,10.365806
7.250513,11.194978
10.361106,9.511916
6.466488,12.406454
5.752238,13.033888
8.349868,10.5554085
9.132022,10.059883
6.4696293,12.145095
6.207455,12.976388
11.821309,9.94394
7.984628,10.355892
14.328517,10.481242
14.086134,10.444136
12.412113,9.404415
9.784831,10.294333
15.015279,10.342894
14.880017,10.498008
9.8026085,9.833767
10.303886,10.17598
12.9243,9.576508
11.531335,9.659135
12.03516,9.208097
11.18548,9.96568
12.228519,9.661598
10.715419,9.444601
10.152126,9.724388
5.9357886,12.927172
13.049159,9.840035
12.71358,10.01931
8.893658,10.372589
10.751339,10.12139
9.930222,9.945713
7.7708583,10.684406
11.926202,9.591125
14.75688,10.573492
9.55999,10.037025
14.598602,10.399551
10.940507,9.529878
13.232832,10.042569
14.606146,10.187025
