~iteration~,p,power
0,2,1
9,2,1
18,2,1
27,2,1
36,2,1
45,2,1
54,2,1
63,2,1
72,2,1
81,2,1
90,2,1
99,2,1
108,2,1
117,2,1
126,2,1
135,2,1
144,2,1
153,2,1
162,2,1
171,2,1
180,2,1
189,2,1
198,2,1
207,2,1
216,2,1
225,2,1
234,2,1
243,2,1
252,2,1
261,2,1
270,2,1
279,2,1
288,2,1
297,2,1
306,2,1
315,2,1
324,2,1
333,2,1
342,2,1
351,2,1
360,2,1
369,2,1
378,2,1
387,2,1
396,2,1
405,2,1
414,2,1
423,2,1
432,2,1
441,2,1
450,2,1
459,2,1
468,2,1
477,2,1
486,2,1
495,2,1
504,2,1
513,2,1
522,2,1
531,2,1
540,2,1
549,2,1
558,2,1
567,2,1
576,2,1
585,2,1
594,2,1
603,2,1
612,2,1
621,2,1
630,2,1
639,2,1
648,2,1
657,2,1
666,2,1
675,2,1
684,2,1
693,2,1
702,2,1
711,2,1
720,2,1
729,2,1
738,2,1
747,2,1
756,2,1
765,2,1
774,2,1
783,2,1
792,2,1
801,2,1
810,2,1
819,2,1
828,2,1
837,2,1
846,2,1
855,2,1
864,2,1
873,2,1
882,2,1
891,2,1
900,2,1
909,2,1
918,2,1
927,2,1
936,2,1
945,2,1
954,2,1
963,2,1
972,2,1
981,2,1
990,2,1
999,2,1
1008,2,1
1017,2,1
1026,2,1
1035,2,1
1044,2,1
1053,2,1
1062,2,1
1071,2,1
1080,2,1
1089,2,1
1098,2,1
1107,2,1
1116,2,1
1125,2,1
1134,2,1
1143,2,1
1152,2,1
1161,2,1
1170,2,1
1179,2,1
1188,2,1
1197,2,1
1206,2,1
1215,2,1
1224,2,1
1233,2,1
1242,2,1
1251,2,1
1260,2,1
1269,2,1
1278,2,1
1287,2,1
1296,2,1
1305,2,1
1314,2,1
1323,2,1
1332,2,1
1341,2,1
1350,2,1
1359,2,1
1368,2,1
1377,2,1
1386,2,1
1395,2,1
1404,2,1
1413,2,1
1422,2,1
1431,2,1
1440,2,1
1449,2,1
1458,2,1
1467,2,1
1476,2,1
1485,2,1
1494,2,1
1503,2,1
1512,2,1
1521,2,1
1530,2,1
1539,2,1
1548,2,1
1557,2,1
1566,2,1
1575,2,1
1584,2,1
1593,2,1
1602,2,1
1611,2,1
1620,2,1
1629,2,1
1638,2,1
1647,2,1
1656,2,1
1665,2,1
1674,2,1
1683,2,1
1692,2,1
1701,2,1
1710,2,1
1719,2,1
1728,2,1
1737,2,1
1746,2,1
1755,2,1
1764,2,1
1773,2,1
1782,2,1
1791,2,1
1800,2,1
1809,2,1
1818,2,1
1827,2,1
1836,2,1
1845,2,1
1854,2,1
1863,2,1
1872,2,1
1881,2,1
1890,2,1
1899,2,1
1908,2,1
1917,2,1
1926,2,1
1935,2,1
1944,2,1
1953,2,1
1962,2,1
1971,2,1
1980,2,1
1989,2,1
1998,2,1
2007,2,1
2016,2,1
2025,2,1
2034,2,1
2043,2,1
2052,2,1
2061,2,1
2070,2,1
2079,2,1
2088,2,1
2097,2,1
2106,2,1
2115,2,1
2124,2,1
2133,2,1
2142,2,1
2151,2,1
2160,2,1
2169,2,1
2178,2,1
2187,2,1
2196,2,1
2205,2,1
2214,2,1
2223,2,1
2232,2,1
2241,2,1
2250,2,1
2259,2,1
2268,2,1
2277,2,1
2286,2,1
2295,2,1
2304,2,1
2313,2,1
2322,2,1
2331,2,1
2340,2,1
2349,2,1
2358,2,1
2367,2,1
2376,2,1
2385,2,1
2394,2,1
2403,2,1
2412,2,1
2421,2,1
2430,2,1
2439,2,1
2448,2,1
2457,2,1
2466,2,1
2475,2,1
2484,2,1
2493,2,1
2502,2,1
2511,2,1
2520,2,1
2529,2,1
2538,2,1
2547,2,1
2556,2,1
2565,2,1
2574,2,1
2583,2,1
2592,2,1
2601,2,1
2610,2,1
2619,2,1
2628,2,1
2637,2,1
2646,2,1
2655,2,1
2664,2,1
2673,2,1
2682,2,1
2691,2,1
2700,2,1
2709,2,1
2718,2,1
2727,2,1
2736,2,1
2745,2,1
2754,2,1
2763,2,1
2772,2,1
2781,2,1
2790,2,1
2799,2,1
2808,2,1
2817,2,1
2826,2,1
2835,2,1
2844,2,1
2853,2,1
2862,2,1
2871,2,1
2880,2,1
2889,2,1
2898,2,1
2907,2,1
2916,2,1
2925,2,1
2934,2,1
2943,2,1
2952,2,1
2961,2,1
2970,2,1
2979,2,1
2988,2,1
2997,2,1
3006,2,1
3015,2,1
3024,2,1
3033,2,1
3042,2,1
3051,2,1
3060,2,1
3069,2,1
3078,2,1
3087,2,1
3096,2,1
3105,2,1
3114,2,1
3123,2,1
3132,2,1
3141,2,1
3150,2,1
3159,2,1
3168,2,1
3177,2,1
3186,2,1
3195,2,1
3204,2,1
3213,2,1
3222,2,1
3231,2,1
3240,2,1
3249,2,1
3258,2,1
3267,2,1
3276,2,1
3285,2,1
3294,2,1
3303,2,1
3312,2,1
3321,2,1
3330,2,1
3339,2,1
3348,2,1
3357,2,1
3366,2,1
3375,2,1
3384,2,1
3393,2,1
3402,2,1
3411,2,1
3420,2,1
3429,2,1
3438,2,1
3447,2,1
3456,2,1
3465,2,1
3474,2,1
3483,2,1
3492,2,1
3501,2,1
3510,2,1
3519,2,1
3528,2,1
3537,2,1
3546,2,1
3555,2,1
3564,2,1
3573,2,1
3582,2,1
3591,2,1
