epoch,best_auc_TOTAL_vs_self/epoch,best_auc_TOTAL_vs_self/acc_yinda_level0,best_auc_TOTAL_vs_self/auc_yinda_level0,best_auc_TOTAL_vs_self/mean_average_precision_at_r_level0,best_auc_TOTAL_vs_self/precision_at_1_level0,best_auc_TOTAL_vs_self/r_precision_level0,best_auc_TOTAL_vs_self/best_epoch,best_auc_TOTAL_vs_self/best_accuracy
1,1.0,0.6616379022598267,0.4987136721611023,0.435036838054657,0.7866379022598267,0.6126481294631958,1.0,0.5801758170127869
2,2.0,0.6616379022598267,0.5800535082817078,0.4563497006893158,0.7931034564971924,0.6258015632629395,2.0,0.6208457350730896
3,3.0,0.6616379022598267,0.6722961068153381,0.48021718859672546,0.8081896305084229,0.6404047608375549,3.0,0.6669670343399048
4,4.0,0.33836206793785095,0.7560426592826843,0.5003045201301575,0.8081896305084229,0.6527366042137146,3.0,0.6669670343399048
5,5.0,0.33836206793785095,0.807226300239563,0.5160348415374756,0.7844827771186829,0.6639997959136963,3.0,0.6669670343399048
6,6.0,0.44396552443504333,0.8333160281181335,0.5264269709587097,0.756465494632721,0.6723507046699524,3.0,0.6669670343399048
7,7.0,0.8038793206214905,0.8480466604232788,0.5323460698127747,0.75,0.6773244142532349,7.0,0.8259629607200623
8,8.0,0.7693965435028076,0.8561795949935913,0.5361072421073914,0.7650862336158752,0.6804856657981873,7.0,0.8259629607200623
9,9.0,0.7650862336158752,0.8598310947418213,0.5350860357284546,0.7370689511299133,0.680580198764801,7.0,0.8259629607200623
10,10.0,0.795258641242981,0.861117422580719,0.5328601598739624,0.7198275923728943,0.6791526079177856,10.0,0.8281880617141724
11,11.0,0.7780172228813171,0.8621340394020081,0.5325654745101929,0.732758641242981,0.6793100237846375,10.0,0.8281880617141724
12,12.0,0.8038793206214905,0.8628809452056885,0.5320860743522644,0.732758641242981,0.6790835857391357,12.0,0.8333801627159119
13,13.0,0.8017241358757019,0.8642088174819946,0.5377349853515625,0.7413793206214905,0.6838435530662537,12.0,0.8333801627159119
14,14.0,0.8038793206214905,0.8670511841773987,0.5478898286819458,0.7306034564971924,0.6927210688591003,14.0,0.8354652523994446
15,15.0,0.8211206793785095,0.8694993853569031,0.5539888143539429,0.7262930870056152,0.6966958045959473,15.0,0.8453100323677063
16,16.0,0.8168103694915771,0.8717401027679443,0.5569013357162476,0.7370689511299133,0.697913408279419,15.0,0.8453100323677063
17,17.0,0.7887930870056152,0.8740845322608948,0.5605410933494568,0.7413793206214905,0.7003023624420166,15.0,0.8453100323677063
18,18.0,0.7931034564971924,0.8765327334403992,0.5660186409950256,0.7543103694915771,0.7049066424369812,15.0,0.8453100323677063
