~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_acc_auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.3333333333333333,0.5087664649341403,0.4210498991337368,0.42581185484155204,0.7484276729559749,0.6105422204054055,1,0.4210498991337368
2,2,0.6666666666666666,0.7057226771092915,0.686194671887979,0.43882613715550933,0.7610062893081762,0.6169504732949247,2,0.686194671887979
3,3,0.6666666666666666,0.8116100035599857,0.7391383351133262,0.4525468773620014,0.7704402515723271,0.6249796672670679,3,0.7391383351133262
4,4,0.6698113207547169,0.8565548237807049,0.7631830722677109,0.46021288443201097,0.7987421383647799,0.6295963686377709,4,0.7631830722677109
5,5,0.34276729559748426,0.8835884656461375,0.6131778806218109,0.4662544711294963,0.8018867924528302,0.6330961536004905,4,0.7631830722677109
6,6,0.39937106918238996,0.8905304378782485,0.6449507535303192,0.4733078390693296,0.7924528301886793,0.636961714847792,4,0.7631830722677109
7,7,0.8113207547169812,0.8932004271982912,0.8522605909576362,0.48579097222928996,0.8081761006289309,0.6440952749993258,7,0.8522605909576362
8,8,0.8081761006289309,0.8888839444642221,0.8485300225465765,0.49628864052828997,0.789308176100629,0.6506314147465896,7,0.8522605909576362
9,9,0.8207547169811321,0.8864809540761837,0.8536178355286579,0.5099647075289241,0.7641509433962265,0.6617834042317634,9,0.8536178355286579
10,10,0.8176100628930818,0.8866144535421859,0.8521122582176339,0.525829596079956,0.7767295597484277,0.6738589894809157,9,0.8536178355286579
11,11,0.8144654088050315,0.8852794588821644,0.8498724338435979,0.5406336754991853,0.7861635220125787,0.6847366112679536,9,0.8536178355286579
12,12,0.8018867924528302,0.8858134567461728,0.8438501245995016,0.5546617710731825,0.7955974842767296,0.6955878324384092,9,0.8536178355286579
13,13,0.8081761006289309,0.8858579565681738,0.8470170285985523,0.5641571807000866,0.7987421383647799,0.702364416510889,9,0.8536178355286579
14,14,0.8144654088050315,0.8867924528301886,0.85062893081761,0.571723927497692,0.8081761006289309,0.7078344539401502,9,0.8536178355286579
15,15,0.8144654088050315,0.8876379494482023,0.851051679126617,0.5778930386889195,0.8176100628930818,0.7115120882178023,9,0.8536178355286579
16,16,0.8113207547169812,0.8884834460662159,0.8499021003915985,0.5809095194954383,0.8144654088050315,0.7128014602663624,9,0.8536178355286579
17,17,0.8144654088050315,0.8897294410822357,0.8520974249436336,0.5853127600240516,0.8113207547169812,0.7153574941556701,9,0.8536178355286579
18,18,0.8113207547169812,0.8922214311142755,0.8517710929156284,0.5884694641252948,0.8113207547169812,0.71762482452816,9,0.8536178355286579
19,19,0.8081761006289309,0.8936899252402991,0.850933012934615,0.5911968657365385,0.8144654088050315,0.7198966969422126,9,0.8536178355286579
20,20,0.8018867924528302,0.8948024207903168,0.8483446066215735,0.5927818902614802,0.8207547169811321,0.7207789885157319,9,0.8536178355286579
21,21,0.7955974842767296,0.8961374154503383,0.8458674498635339,0.5940778894687095,0.8238993710691824,0.7218115932772107,9,0.8536178355286579
22,22,0.8113207547169812,0.8965379138483446,0.8539293342826628,0.5955154885101949,0.8270440251572327,0.7229628588745105,22,0.8539293342826628
23,23,0.8270440251572327,0.8973834104663582,0.8622137178117955,0.5973057972998361,0.8207547169811321,0.7244104926837647,23,0.8622137178117955
24,24,0.8238993710691824,0.8974724101103595,0.860685890589771,0.5990724042818755,0.8176100628930818,0.7258900627227552,23,0.8622137178117955
25,25,0.8018867924528302,0.8979174083303667,0.8499021003915985,0.6004246443684073,0.8176100628930818,0.7268458785940679,23,0.8622137178117955
26,26,0.8207547169811321,0.8981844072623709,0.8594695621217515,0.6020323263890811,0.8207547169811321,0.7283243131226678,23,0.8622137178117955
27,27,0.8176100628930818,0.898807404770381,0.8582087338317315,0.603283834080644,0.8176100628930818,0.7293228525724278,23,0.8622137178117955
28,28,0.8050314465408805,0.8997419010323959,0.8523866737866382,0.6042033656359838,0.8238993710691824,0.72986065868119,23,0.8622137178117955
29,29,0.8176100628930818,0.8998309006763973,0.8587204817847396,0.6056955323673693,0.8270440251572327,0.7310261181583725,23,0.8622137178117955
30,30,0.8018867924528302,0.9006318974724101,0.8512593449626202,0.6063998267011915,0.8301886792452831,0.7316106221319492,23,0.8622137178117955
31,31,0.7987421383647799,0.900809896760413,0.8497760175625965,0.6071287488773284,0.8238993710691824,0.7322253590696763,23,0.8622137178117955
32,32,0.8050314465408805,0.900498398006408,0.8527649222736442,0.6085157920253738,0.8238993710691824,0.7332578218923566,23,0.8622137178117955
33,33,0.8144654088050315,0.9005428978284087,0.85750415331672,0.6103687874606608,0.8301886792452831,0.7347948771448727,23,0.8622137178117955
34,34,0.8459119496855346,0.9013883944464223,0.8736501720659784,0.6120096264794445,0.8238993710691824,0.735898593244565,34,0.8736501720659784
35,35,0.8459119496855346,0.901566393734425,0.8737391717099798,0.6125833332854429,0.8238993710691824,0.7363026930048303,35,0.8737391717099798
36,36,0.8553459119496856,0.9017888928444286,0.8785674023970571,0.6140410596957394,0.8207547169811321,0.7375717678051579,36,0.8785674023970571
37,37,0.8616352201257862,0.9017443930224279,0.881689806574107,0.616493094090047,0.8113207547169812,0.7392240773623229,37,0.881689806574107
38,38,0.8616352201257862,0.9025008899964401,0.8820680550611131,0.6173065334856501,0.8144654088050315,0.7398659246106264,38,0.8820680550611131
39,39,0.8459119496855346,0.9029458882164472,0.8744289189509908,0.6174877522955938,0.8176100628930818,0.73965826814794,38,0.8820680550611131
