~iteration~,m,gamma,op,on,delta_p,delta_n
0,0.8,80,1.8,-0.8,0.19999999999999996,0.8
9,0.8,80,1.8,-0.8,0.19999999999999996,0.8
18,0.8,80,1.8,-0.8,0.19999999999999996,0.8
27,0.8,80,1.8,-0.8,0.19999999999999996,0.8
36,0.8,80,1.8,-0.8,0.19999999999999996,0.8
45,0.8,80,1.8,-0.8,0.19999999999999996,0.8
54,0.8,80,1.8,-0.8,0.19999999999999996,0.8
63,0.8,80,1.8,-0.8,0.19999999999999996,0.8
72,0.8,80,1.8,-0.8,0.19999999999999996,0.8
81,0.8,80,1.8,-0.8,0.19999999999999996,0.8
90,0.8,80,1.8,-0.8,0.19999999999999996,0.8
99,0.8,80,1.8,-0.8,0.19999999999999996,0.8
108,0.8,80,1.8,-0.8,0.19999999999999996,0.8
117,0.8,80,1.8,-0.8,0.19999999999999996,0.8
126,0.8,80,1.8,-0.8,0.19999999999999996,0.8
135,0.8,80,1.8,-0.8,0.19999999999999996,0.8
144,0.8,80,1.8,-0.8,0.19999999999999996,0.8
153,0.8,80,1.8,-0.8,0.19999999999999996,0.8
162,0.8,80,1.8,-0.8,0.19999999999999996,0.8
171,0.8,80,1.8,-0.8,0.19999999999999996,0.8
180,0.8,80,1.8,-0.8,0.19999999999999996,0.8
189,0.8,80,1.8,-0.8,0.19999999999999996,0.8
198,0.8,80,1.8,-0.8,0.19999999999999996,0.8
207,0.8,80,1.8,-0.8,0.19999999999999996,0.8
216,0.8,80,1.8,-0.8,0.19999999999999996,0.8
225,0.8,80,1.8,-0.8,0.19999999999999996,0.8
234,0.8,80,1.8,-0.8,0.19999999999999996,0.8
243,0.8,80,1.8,-0.8,0.19999999999999996,0.8
252,0.8,80,1.8,-0.8,0.19999999999999996,0.8
261,0.8,80,1.8,-0.8,0.19999999999999996,0.8
270,0.8,80,1.8,-0.8,0.19999999999999996,0.8
279,0.8,80,1.8,-0.8,0.19999999999999996,0.8
288,0.8,80,1.8,-0.8,0.19999999999999996,0.8
297,0.8,80,1.8,-0.8,0.19999999999999996,0.8
306,0.8,80,1.8,-0.8,0.19999999999999996,0.8
315,0.8,80,1.8,-0.8,0.19999999999999996,0.8
324,0.8,80,1.8,-0.8,0.19999999999999996,0.8
333,0.8,80,1.8,-0.8,0.19999999999999996,0.8
342,0.8,80,1.8,-0.8,0.19999999999999996,0.8
351,0.8,80,1.8,-0.8,0.19999999999999996,0.8
360,0.8,80,1.8,-0.8,0.19999999999999996,0.8
369,0.8,80,1.8,-0.8,0.19999999999999996,0.8
378,0.8,80,1.8,-0.8,0.19999999999999996,0.8
387,0.8,80,1.8,-0.8,0.19999999999999996,0.8
396,0.8,80,1.8,-0.8,0.19999999999999996,0.8
405,0.8,80,1.8,-0.8,0.19999999999999996,0.8
414,0.8,80,1.8,-0.8,0.19999999999999996,0.8
423,0.8,80,1.8,-0.8,0.19999999999999996,0.8
432,0.8,80,1.8,-0.8,0.19999999999999996,0.8
441,0.8,80,1.8,-0.8,0.19999999999999996,0.8
450,0.8,80,1.8,-0.8,0.19999999999999996,0.8
459,0.8,80,1.8,-0.8,0.19999999999999996,0.8
468,0.8,80,1.8,-0.8,0.19999999999999996,0.8
477,0.8,80,1.8,-0.8,0.19999999999999996,0.8
486,0.8,80,1.8,-0.8,0.19999999999999996,0.8
495,0.8,80,1.8,-0.8,0.19999999999999996,0.8
504,0.8,80,1.8,-0.8,0.19999999999999996,0.8
513,0.8,80,1.8,-0.8,0.19999999999999996,0.8
522,0.8,80,1.8,-0.8,0.19999999999999996,0.8
531,0.8,80,1.8,-0.8,0.19999999999999996,0.8
540,0.8,80,1.8,-0.8,0.19999999999999996,0.8
549,0.8,80,1.8,-0.8,0.19999999999999996,0.8
558,0.8,80,1.8,-0.8,0.19999999999999996,0.8
567,0.8,80,1.8,-0.8,0.19999999999999996,0.8
576,0.8,80,1.8,-0.8,0.19999999999999996,0.8
585,0.8,80,1.8,-0.8,0.19999999999999996,0.8
594,0.8,80,1.8,-0.8,0.19999999999999996,0.8
603,0.8,80,1.8,-0.8,0.19999999999999996,0.8
612,0.8,80,1.8,-0.8,0.19999999999999996,0.8
621,0.8,80,1.8,-0.8,0.19999999999999996,0.8
630,0.8,80,1.8,-0.8,0.19999999999999996,0.8
639,0.8,80,1.8,-0.8,0.19999999999999996,0.8
648,0.8,80,1.8,-0.8,0.19999999999999996,0.8
