~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_acc_auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.1111111111111111,0.275,0.19305555555555556,0.7406961572822223,0.8222222222222223,0.8042735042735043,1,0.19305555555555556
2,2,0.8888888888888888,0.665,0.7769444444444444,0.7279722969927892,0.8666666666666667,0.8007122507122508,2,0.7769444444444444
3,3,0.8888888888888888,0.885,0.8869444444444444,0.746176154552761,0.888888888888889,0.8131054131054132,3,0.8869444444444444
4,4,0.8888888888888888,0.93,0.9094444444444445,0.7638160023945076,0.888888888888889,0.8254985754985755,4,0.9094444444444445
5,5,0.3333333333333333,0.955,0.6441666666666667,0.7727093385578929,0.888888888888889,0.8267806267806268,4,0.9094444444444445
6,6,0.17777777777777778,0.97,0.5738888888888889,0.7784391452905964,0.888888888888889,0.8351851851851853,4,0.9094444444444445
7,7,0.8666666666666667,0.97,0.9183333333333333,0.7865382129048359,0.888888888888889,0.8424501424501425,7,0.9183333333333333
8,8,0.9333333333333333,0.97,0.9516666666666667,0.7942110742868235,0.9111111111111111,0.8447293447293447,8,0.9516666666666667
9,9,0.9555555555555556,0.97,0.9627777777777777,0.7973465801798356,0.9111111111111111,0.8447293447293447,9,0.9627777777777777
10,10,0.9111111111111111,0.97,0.9405555555555556,0.8007830436519211,0.9333333333333333,0.8464387464387465,9,0.9627777777777777
11,11,0.8888888888888888,0.97,0.9294444444444444,0.8051883809709937,0.9333333333333333,0.8487179487179488,9,0.9627777777777777
12,12,0.8666666666666667,0.97,0.9183333333333333,0.8145612968737188,0.9333333333333333,0.8588319088319089,9,0.9627777777777777
13,13,0.8444444444444444,0.9750000000000001,0.9097222222222223,0.8222851693942211,0.9333333333333333,0.8683760683760685,9,0.9627777777777777
14,14,0.8444444444444444,0.9800000000000001,0.9122222222222223,0.8356583413370645,0.9555555555555556,0.8817663817663819,9,0.9627777777777777
15,15,0.8444444444444444,0.985,0.9147222222222222,0.8435764271470779,0.9555555555555556,0.8846153846153846,9,0.9627777777777777
16,16,0.8222222222222222,0.985,0.9036111111111111,0.8517290042788858,0.9555555555555556,0.8913105413105414,9,0.9627777777777777
17,17,0.8222222222222222,0.99,0.9061111111111111,0.8588838665899924,0.9555555555555556,0.897008547008547,9,0.9627777777777777
18,18,0.8222222222222222,0.995,0.908611111111111,0.8696532770959512,0.9555555555555556,0.905982905982906,9,0.9627777777777777
