~iteration~,metric_loss,classifier_loss,total_loss
0,0.5,1.5,1.0
9,0.5,1.5,1.0
18,0.5,1.5,1.0
27,0.5,1.5,1.0
36,0.5,1.5,1.0
45,0.5,1.5,1.0
54,0.5,1.5,1.0
63,0.5,1.5,1.0
72,0.5,1.5,1.0
81,0.5,1.5,1.0
90,0.5,1.5,1.0
99,0.5,1.5,1.0
108,0.5,1.5,1.0
117,0.5,1.5,1.0
126,0.5,1.5,1.0
135,0.5,1.5,1.0
144,0.5,1.5,1.0
153,0.5,1.5,1.0
162,0.5,1.5,1.0
171,0.5,1.5,1.0
180,0.5,1.5,1.0
189,0.5,1.5,1.0
198,0.5,1.5,1.0
207,0.5,1.5,1.0
216,0.5,1.5,1.0
225,0.5,1.5,1.0
234,0.5,1.5,1.0
243,0.5,1.5,1.0
252,0.5,1.5,1.0
261,0.5,1.5,1.0
270,0.5,1.5,1.0
279,0.5,1.5,1.0
288,0.5,1.5,1.0
297,0.5,1.5,1.0
306,0.5,1.5,1.0
315,0.5,1.5,1.0
324,0.5,1.5,1.0
333,0.5,1.5,1.0
342,0.5,1.5,1.0
351,0.5,1.5,1.0
360,0.5,1.5,1.0
369,0.5,1.5,1.0
378,0.5,1.5,1.0
387,0.5,1.5,1.0
396,0.5,1.5,1.0
405,0.5,1.5,1.0
414,0.5,1.5,1.0
423,0.5,1.5,1.0
432,0.5,1.5,1.0
441,0.5,1.5,1.0
450,0.5,1.5,1.0
459,0.5,1.5,1.0
468,0.5,1.5,1.0
477,0.5,1.5,1.0
486,0.5,1.5,1.0
495,0.5,1.5,1.0
504,0.5,1.5,1.0
513,0.5,1.5,1.0
522,0.5,1.5,1.0
531,0.5,1.5,1.0
540,0.5,1.5,1.0
549,0.5,1.5,1.0
558,0.5,1.5,1.0
567,0.5,1.5,1.0
576,0.5,1.5,1.0
585,0.5,1.5,1.0
594,0.5,1.5,1.0
603,0.5,1.5,1.0
612,0.5,1.5,1.0
621,0.5,1.5,1.0
630,0.5,1.5,1.0
639,0.5,1.5,1.0
648,0.5,1.5,1.0
657,0.5,1.5,1.0
666,0.5,1.5,1.0
675,0.5,1.5,1.0
684,0.5,1.5,1.0
693,0.5,1.5,1.0
702,0.5,1.5,1.0
711,0.5,1.5,1.0
720,0.5,1.5,1.0
729,0.5,1.5,1.0
738,0.5,1.5,1.0
747,0.5,1.5,1.0
756,0.5,1.5,1.0
765,0.5,1.5,1.0
774,0.5,1.5,1.0
783,0.5,1.5,1.0
792,0.5,1.5,1.0
801,0.5,1.5,1.0
810,0.5,1.5,1.0
819,0.5,1.5,1.0
828,0.5,1.5,1.0
837,0.5,1.5,1.0
846,0.5,1.5,1.0
855,0.5,1.5,1.0
864,0.5,1.5,1.0
873,0.5,1.5,1.0
882,0.5,1.5,1.0
891,0.5,1.5,1.0
900,0.5,1.5,1.0
909,0.5,1.5,1.0
918,0.5,1.5,1.0
927,0.5,1.5,1.0
936,0.5,1.5,1.0
945,0.5,1.5,1.0
954,0.5,1.5,1.0
963,0.5,1.5,1.0
972,0.5,1.5,1.0
981,0.5,1.5,1.0
990,0.5,1.5,1.0
999,0.5,1.5,1.0
1008,0.5,1.5,1.0
1017,0.5,1.5,1.0
1026,0.5,1.5,1.0
1035,0.5,1.5,1.0
1044,0.5,1.5,1.0
1053,0.5,1.5,1.0
1062,0.5,1.5,1.0
1071,0.5,1.5,1.0
1080,0.5,1.5,1.0
1089,0.5,1.5,1.0
