~iteration~,p,power
0,2,2
9,2,2
18,2,2
27,2,2
36,2,2
45,2,2
54,2,2
63,2,2
72,2,2
81,2,2
90,2,2
99,2,2
108,2,2
117,2,2
126,2,2
135,2,2
144,2,2
153,2,2
162,2,2
171,2,2
180,2,2
189,2,2
198,2,2
207,2,2
216,2,2
225,2,2
234,2,2
243,2,2
252,2,2
261,2,2
270,2,2
279,2,2
288,2,2
297,2,2
306,2,2
315,2,2
324,2,2
333,2,2
342,2,2
351,2,2
360,2,2
369,2,2
378,2,2
387,2,2
396,2,2
405,2,2
414,2,2
423,2,2
432,2,2
441,2,2
450,2,2
459,2,2
468,2,2
477,2,2
486,2,2
495,2,2
504,2,2
513,2,2
522,2,2
531,2,2
540,2,2
549,2,2
558,2,2
567,2,2
576,2,2
585,2,2
594,2,2
603,2,2
612,2,2
621,2,2
630,2,2
639,2,2
648,2,2
657,2,2
666,2,2
675,2,2
684,2,2
693,2,2
702,2,2
711,2,2
720,2,2
729,2,2
738,2,2
747,2,2
756,2,2
765,2,2
774,2,2
783,2,2
792,2,2
801,2,2
810,2,2
819,2,2
828,2,2
837,2,2
846,2,2
855,2,2
864,2,2
873,2,2
882,2,2
891,2,2
900,2,2
909,2,2
918,2,2
927,2,2
936,2,2
945,2,2
954,2,2
963,2,2
972,2,2
981,2,2
990,2,2
999,2,2
1008,2,2
1017,2,2
1026,2,2
1035,2,2
1044,2,2
1053,2,2
1062,2,2
1071,2,2
1080,2,2
1089,2,2
1098,2,2
1107,2,2
1116,2,2
1125,2,2
1134,2,2
1143,2,2
1152,2,2
1161,2,2
1170,2,2
1179,2,2
1188,2,2
1197,2,2
1206,2,2
1215,2,2
1224,2,2
1233,2,2
1242,2,2
1251,2,2
1260,2,2
1269,2,2
1278,2,2
1287,2,2
1296,2,2
1305,2,2
1314,2,2
1323,2,2
1332,2,2
1341,2,2
1350,2,2
1359,2,2
1368,2,2
1377,2,2
1386,2,2
1395,2,2
1404,2,2
1413,2,2
1422,2,2
1431,2,2
1440,2,2
1449,2,2
1458,2,2
1467,2,2
1476,2,2
1485,2,2
1494,2,2
1503,2,2
1512,2,2
1521,2,2
1530,2,2
1539,2,2
1548,2,2
1557,2,2
1566,2,2
1575,2,2
1584,2,2
1593,2,2
1602,2,2
1611,2,2
1620,2,2
1629,2,2
1638,2,2
1647,2,2
1656,2,2
1665,2,2
1674,2,2
1683,2,2
1692,2,2
1701,2,2
1710,2,2
1719,2,2
1728,2,2
1737,2,2
1746,2,2
1755,2,2
1764,2,2
1773,2,2
1782,2,2
1791,2,2
1800,2,2
1809,2,2
1818,2,2
1827,2,2
1836,2,2
1845,2,2
1854,2,2
1863,2,2
1872,2,2
1881,2,2
1890,2,2
1899,2,2
1908,2,2
1917,2,2
1926,2,2
1935,2,2
1944,2,2
1953,2,2
1962,2,2
1971,2,2
1980,2,2
1989,2,2
1998,2,2
2007,2,2
2016,2,2
2025,2,2
2034,2,2
2043,2,2
2052,2,2
2061,2,2
2070,2,2
2079,2,2
2088,2,2
2097,2,2
2106,2,2
2115,2,2
2124,2,2
2133,2,2
2142,2,2
2151,2,2
2160,2,2
2169,2,2
2178,2,2
2187,2,2
2196,2,2
2205,2,2
2214,2,2
2223,2,2
2232,2,2
2241,2,2
2250,2,2
2259,2,2
2268,2,2
2277,2,2
2286,2,2
2295,2,2
2304,2,2
2313,2,2
2322,2,2
2331,2,2
2340,2,2
2349,2,2
2358,2,2
2367,2,2
2376,2,2
2385,2,2
2394,2,2
2403,2,2
2412,2,2
2421,2,2
2430,2,2
2439,2,2
2448,2,2
2457,2,2
2466,2,2
2475,2,2
2484,2,2
2493,2,2
2502,2,2
2511,2,2
2520,2,2
2529,2,2
2538,2,2
2547,2,2
2556,2,2
2565,2,2
2574,2,2
2583,2,2
2592,2,2
2601,2,2
2610,2,2
2619,2,2
2628,2,2
2637,2,2
2646,2,2
2655,2,2
2664,2,2
2673,2,2
2682,2,2
2691,2,2
2700,2,2
2709,2,2
2718,2,2
2727,2,2
2736,2,2
2745,2,2
2754,2,2
2763,2,2
2772,2,2
2781,2,2
2790,2,2
2799,2,2
2808,2,2
2817,2,2
2826,2,2
2835,2,2
2844,2,2
2853,2,2
2862,2,2
2871,2,2
2880,2,2
2889,2,2
2898,2,2
2907,2,2
2916,2,2
2925,2,2
2934,2,2
2943,2,2
2952,2,2
2961,2,2
2970,2,2
2979,2,2
2988,2,2
2997,2,2
3006,2,2
3015,2,2
3024,2,2
3033,2,2
3042,2,2
3051,2,2
3060,2,2
3069,2,2
3078,2,2
3087,2,2
3096,2,2
3105,2,2
3114,2,2
3123,2,2
3132,2,2
3141,2,2
3150,2,2
3159,2,2
3168,2,2
3177,2,2
3186,2,2
3195,2,2
3204,2,2
3213,2,2
3222,2,2
3231,2,2
3240,2,2
3249,2,2
3258,2,2
3267,2,2
3276,2,2
3285,2,2
3294,2,2
3303,2,2
3312,2,2
3321,2,2
3330,2,2
3339,2,2
3348,2,2
3357,2,2
3366,2,2
3375,2,2
3384,2,2
3393,2,2
3402,2,2
3411,2,2
3420,2,2
3429,2,2
3438,2,2
3447,2,2
3456,2,2
3465,2,2
3474,2,2
3483,2,2
3492,2,2
3501,2,2
3510,2,2
3519,2,2
3528,2,2
3537,2,2
3546,2,2
3555,2,2
3564,2,2
3573,2,2
3582,2,2
3591,2,2
