~iteration~,pos_eps,neg_eps
0,0.01,0.01
9,0.01,0.01
18,0.01,0.01
27,0.01,0.01
36,0.01,0.01
45,0.01,0.01
54,0.01,0.01
63,0.01,0.01
72,0.01,0.01
81,0.01,0.01
90,0.01,0.01
99,0.01,0.01
108,0.01,0.01
117,0.01,0.01
126,0.01,0.01
135,0.01,0.01
144,0.01,0.01
153,0.01,0.01
162,0.01,0.01
171,0.01,0.01
180,0.01,0.01
189,0.01,0.01
198,0.01,0.01
207,0.01,0.01
216,0.01,0.01
225,0.01,0.01
234,0.01,0.01
243,0.01,0.01
252,0.01,0.01
261,0.01,0.01
270,0.01,0.01
279,0.01,0.01
288,0.01,0.01
297,0.01,0.01
306,0.01,0.01
315,0.01,0.01
324,0.01,0.01
333,0.01,0.01
342,0.01,0.01
351,0.01,0.01
360,0.01,0.01
369,0.01,0.01
378,0.01,0.01
387,0.01,0.01
396,0.01,0.01
405,0.01,0.01
414,0.01,0.01
423,0.01,0.01
432,0.01,0.01
441,0.01,0.01
450,0.01,0.01
459,0.01,0.01
468,0.01,0.01
477,0.01,0.01
486,0.01,0.01
495,0.01,0.01
504,0.01,0.01
513,0.01,0.01
522,0.01,0.01
531,0.01,0.01
540,0.01,0.01
549,0.01,0.01
558,0.01,0.01
567,0.01,0.01
576,0.01,0.01
585,0.01,0.01
594,0.01,0.01
603,0.01,0.01
612,0.01,0.01
621,0.01,0.01
630,0.01,0.01
639,0.01,0.01
648,0.01,0.01
657,0.01,0.01
666,0.01,0.01
675,0.01,0.01
684,0.01,0.01
693,0.01,0.01
702,0.01,0.01
711,0.01,0.01
720,0.01,0.01
729,0.01,0.01
738,0.01,0.01
747,0.01,0.01
756,0.01,0.01
765,0.01,0.01
774,0.01,0.01
783,0.01,0.01
792,0.01,0.01
801,0.01,0.01
810,0.01,0.01
819,0.01,0.01
828,0.01,0.01
837,0.01,0.01
846,0.01,0.01
855,0.01,0.01
864,0.01,0.01
873,0.01,0.01
882,0.01,0.01
891,0.01,0.01
900,0.01,0.01
909,0.01,0.01
918,0.01,0.01
927,0.01,0.01
936,0.01,0.01
945,0.01,0.01
954,0.01,0.01
963,0.01,0.01
972,0.01,0.01
981,0.01,0.01
990,0.01,0.01
999,0.01,0.01
1008,0.01,0.01
1017,0.01,0.01
1026,0.01,0.01
1035,0.01,0.01
1044,0.01,0.01
1053,0.01,0.01
1062,0.01,0.01
1071,0.01,0.01
1080,0.01,0.01
1089,0.01,0.01
1098,0.01,0.01
1107,0.01,0.01
1116,0.01,0.01
1125,0.01,0.01
1134,0.01,0.01
1143,0.01,0.01
1152,0.01,0.01
1161,0.01,0.01
1170,0.01,0.01
1179,0.01,0.01
1188,0.01,0.01
1197,0.01,0.01
1206,0.01,0.01
1215,0.01,0.01
1224,0.01,0.01
1233,0.01,0.01
1242,0.01,0.01
1251,0.01,0.01
1260,0.01,0.01
1269,0.01,0.01
1278,0.01,0.01
1287,0.01,0.01
1296,0.01,0.01
1305,0.01,0.01
1314,0.01,0.01
1323,0.01,0.01
1332,0.01,0.01
1341,0.01,0.01
1350,0.01,0.01
1359,0.01,0.01
1368,0.01,0.01
1377,0.01,0.01
1386,0.01,0.01
1395,0.01,0.01
1404,0.01,0.01
1413,0.01,0.01
1422,0.01,0.01
1431,0.01,0.01
1440,0.01,0.01
1449,0.01,0.01
1458,0.01,0.01
1467,0.01,0.01
1476,0.01,0.01
1485,0.01,0.01
1494,0.01,0.01
1503,0.01,0.01
1512,0.01,0.01
1521,0.01,0.01
1530,0.01,0.01
1539,0.01,0.01
1548,0.01,0.01
1557,0.01,0.01
1566,0.01,0.01
1575,0.01,0.01
1584,0.01,0.01
1593,0.01,0.01
1602,0.01,0.01
1611,0.01,0.01
1620,0.01,0.01
1629,0.01,0.01
1638,0.01,0.01
1647,0.01,0.01
1656,0.01,0.01
1665,0.01,0.01
1674,0.01,0.01
1683,0.01,0.01
1692,0.01,0.01
