~iteration~,lr
0,0.0001
9,9.95e-05
18,9.90025e-05
27,9.85074875e-05
36,9.80149500625e-05
45,9.75248753121875e-05
54,9.703725093562657e-05
63,9.655206468094843e-05
72,9.606930435754369e-05
81,9.558895783575598e-05
90,9.51110130465772e-05
99,9.463545798134431e-05
108,9.416228069143759e-05
117,9.36914692879804e-05
126,9.32230119415405e-05
135,9.27568968818328e-05
144,9.229311239742364e-05
153,9.183164683543651e-05
162,9.137248860125932e-05
171,9.091562615825302e-05
180,9.046104802746175e-05
189,9.000874278732444e-05
198,8.955869907338781e-05
207,8.911090557802087e-05
216,8.866535105013077e-05
225,8.822202429488011e-05
234,8.77809141734057e-05
243,8.734200960253867e-05
252,8.690529955452598e-05
261,8.647077305675335e-05
270,8.603841919146959e-05
279,8.560822709551223e-05
288,8.518018596003468e-05
297,8.47542850302345e-05
306,8.433051360508334e-05
315,8.390886103705792e-05
324,8.348931673187264e-05
333,8.307187014821327e-05
342,8.265651079747221e-05
351,8.224322824348484e-05
360,8.183201210226742e-05
369,8.142285204175607e-05
378,8.101573778154729e-05
387,8.061065909263956e-05
396,8.020760579717637e-05
405,7.980656776819048e-05
414,7.940753492934953e-05
423,7.901049725470279e-05
432,7.861544476842927e-05
441,7.822236754458713e-05
450,7.783125570686419e-05
459,7.744209942832988e-05
468,7.705488893118823e-05
477,7.666961448653229e-05
486,7.628626641409962e-05
495,7.590483508202913e-05
504,7.552531090661899e-05
513,7.51476843520859e-05
522,7.477194593032546e-05
531,7.439808620067384e-05
540,7.402609576967047e-05
549,7.365596529082211e-05
558,7.3287685464368e-05
567,7.292124703704616e-05
576,7.255664080186093e-05
585,7.219385759785163e-05
594,7.183288830986237e-05
603,7.147372386831305e-05
612,7.111635524897149e-05
621,7.076077347272663e-05
630,7.040696960536299e-05
639,7.005493475733617e-05
648,6.970466008354949e-05
657,6.935613678313174e-05
666,6.900935609921608e-05
675,6.866430931871999e-05
684,6.832098777212639e-05
693,6.797938283326576e-05
702,6.763948591909943e-05
711,6.730128848950393e-05
720,6.696478204705642e-05
729,6.662995813682113e-05
738,6.629680834613703e-05
747,6.596532430440635e-05
756,6.563549768288432e-05
765,6.53073201944699e-05
774,6.498078359349755e-05
783,6.465587967553006e-05
792,6.433260027715241e-05
801,6.401093727576665e-05
810,6.369088258938781e-05
819,6.337242817644088e-05
828,6.305556603555867e-05
837,6.274028820538088e-05
846,6.242658676435397e-05
855,6.21144538305322e-05
864,6.180388156137954e-05
873,6.149486215357263e-05
882,6.118738784280477e-05
