~iteration~,alpha,beta,base
0,1,32,0.5
9,1,32,0.5
18,1,32,0.5
27,1,32,0.5
36,1,32,0.5
45,1,32,0.5
54,1,32,0.5
63,1,32,0.5
72,1,32,0.5
81,1,32,0.5
90,1,32,0.5
99,1,32,0.5
108,1,32,0.5
117,1,32,0.5
126,1,32,0.5
135,1,32,0.5
144,1,32,0.5
153,1,32,0.5
162,1,32,0.5
171,1,32,0.5
180,1,32,0.5
189,1,32,0.5
198,1,32,0.5
207,1,32,0.5
216,1,32,0.5
225,1,32,0.5
234,1,32,0.5
243,1,32,0.5
252,1,32,0.5
261,1,32,0.5
270,1,32,0.5
279,1,32,0.5
288,1,32,0.5
297,1,32,0.5
306,1,32,0.5
315,1,32,0.5
324,1,32,0.5
333,1,32,0.5
342,1,32,0.5
351,1,32,0.5
360,1,32,0.5
369,1,32,0.5
378,1,32,0.5
387,1,32,0.5
396,1,32,0.5
405,1,32,0.5
414,1,32,0.5
423,1,32,0.5
432,1,32,0.5
441,1,32,0.5
450,1,32,0.5
459,1,32,0.5
468,1,32,0.5
477,1,32,0.5
486,1,32,0.5
495,1,32,0.5
504,1,32,0.5
513,1,32,0.5
522,1,32,0.5
531,1,32,0.5
540,1,32,0.5
549,1,32,0.5
558,1,32,0.5
567,1,32,0.5
576,1,32,0.5
585,1,32,0.5
594,1,32,0.5
603,1,32,0.5
612,1,32,0.5
621,1,32,0.5
630,1,32,0.5
639,1,32,0.5
648,1,32,0.5
657,1,32,0.5
666,1,32,0.5
675,1,32,0.5
684,1,32,0.5
693,1,32,0.5
702,1,32,0.5
711,1,32,0.5
720,1,32,0.5
729,1,32,0.5
738,1,32,0.5
747,1,32,0.5
756,1,32,0.5
765,1,32,0.5
774,1,32,0.5
783,1,32,0.5
792,1,32,0.5
801,1,32,0.5
810,1,32,0.5
819,1,32,0.5
828,1,32,0.5
837,1,32,0.5
846,1,32,0.5
855,1,32,0.5
864,1,32,0.5
873,1,32,0.5
882,1,32,0.5
891,1,32,0.5
900,1,32,0.5
909,1,32,0.5
918,1,32,0.5
927,1,32,0.5
936,1,32,0.5
945,1,32,0.5
954,1,32,0.5
963,1,32,0.5
972,1,32,0.5
981,1,32,0.5
990,1,32,0.5
999,1,32,0.5
1008,1,32,0.5
1017,1,32,0.5
1026,1,32,0.5
1035,1,32,0.5
1044,1,32,0.5
1053,1,32,0.5
1062,1,32,0.5
1071,1,32,0.5
1080,1,32,0.5
1089,1,32,0.5
1098,1,32,0.5
1107,1,32,0.5
1116,1,32,0.5
1125,1,32,0.5
1134,1,32,0.5
1143,1,32,0.5
1152,1,32,0.5
1161,1,32,0.5
1170,1,32,0.5
1179,1,32,0.5
1188,1,32,0.5
1197,1,32,0.5
1206,1,32,0.5
1215,1,32,0.5
1224,1,32,0.5
1233,1,32,0.5
1242,1,32,0.5
1251,1,32,0.5
1260,1,32,0.5
1269,1,32,0.5
1278,1,32,0.5
1287,1,32,0.5
1296,1,32,0.5
1305,1,32,0.5
1314,1,32,0.5
1323,1,32,0.5
1332,1,32,0.5
1341,1,32,0.5
1350,1,32,0.5
1359,1,32,0.5
1368,1,32,0.5
1377,1,32,0.5
1386,1,32,0.5
1395,1,32,0.5
1404,1,32,0.5
1413,1,32,0.5
1422,1,32,0.5
1431,1,32,0.5
1440,1,32,0.5
1449,1,32,0.5
1458,1,32,0.5
1467,1,32,0.5
1476,1,32,0.5
1485,1,32,0.5
1494,1,32,0.5
1503,1,32,0.5
1512,1,32,0.5
1521,1,32,0.5
1530,1,32,0.5
1539,1,32,0.5
1548,1,32,0.5
1557,1,32,0.5
1566,1,32,0.5
1575,1,32,0.5
1584,1,32,0.5
1593,1,32,0.5
1602,1,32,0.5
1611,1,32,0.5
1620,1,32,0.5
1629,1,32,0.5
1638,1,32,0.5
1647,1,32,0.5
1656,1,32,0.5
1665,1,32,0.5
1674,1,32,0.5
1683,1,32,0.5
1692,1,32,0.5
1701,1,32,0.5
1710,1,32,0.5
1719,1,32,0.5
1728,1,32,0.5
1737,1,32,0.5
1746,1,32,0.5
1755,1,32,0.5
1764,1,32,0.5
1773,1,32,0.5
1782,1,32,0.5
1791,1,32,0.5
1800,1,32,0.5
1809,1,32,0.5
1818,1,32,0.5
1827,1,32,0.5
1836,1,32,0.5
1845,1,32,0.5
1854,1,32,0.5
1863,1,32,0.5
1872,1,32,0.5
1881,1,32,0.5
1890,1,32,0.5
1899,1,32,0.5
1908,1,32,0.5
1917,1,32,0.5
1926,1,32,0.5
1935,1,32,0.5
1944,1,32,0.5
1953,1,32,0.5
1962,1,32,0.5
1971,1,32,0.5
1980,1,32,0.5
1989,1,32,0.5
1998,1,32,0.5
2007,1,32,0.5
2016,1,32,0.5
2025,1,32,0.5
2034,1,32,0.5
2043,1,32,0.5
2052,1,32,0.5
2061,1,32,0.5
2070,1,32,0.5
2079,1,32,0.5
2088,1,32,0.5
2097,1,32,0.5
2106,1,32,0.5
2115,1,32,0.5
2124,1,32,0.5
2133,1,32,0.5
2142,1,32,0.5
2151,1,32,0.5
2160,1,32,0.5
2169,1,32,0.5
2178,1,32,0.5
2187,1,32,0.5
2196,1,32,0.5
2205,1,32,0.5
2214,1,32,0.5
2223,1,32,0.5
2232,1,32,0.5
2241,1,32,0.5
2250,1,32,0.5
2259,1,32,0.5
2268,1,32,0.5
2277,1,32,0.5
2286,1,32,0.5
2295,1,32,0.5
2304,1,32,0.5
2313,1,32,0.5
2322,1,32,0.5
2331,1,32,0.5
2340,1,32,0.5
2349,1,32,0.5
2358,1,32,0.5
2367,1,32,0.5
2376,1,32,0.5
2385,1,32,0.5
2394,1,32,0.5
2403,1,32,0.5
2412,1,32,0.5
2421,1,32,0.5
2430,1,32,0.5
2439,1,32,0.5
2448,1,32,0.5
2457,1,32,0.5
2466,1,32,0.5
2475,1,32,0.5
2484,1,32,0.5
2493,1,32,0.5
2502,1,32,0.5
2511,1,32,0.5
2520,1,32,0.5
2529,1,32,0.5
2538,1,32,0.5
2547,1,32,0.5
2556,1,32,0.5
2565,1,32,0.5
2574,1,32,0.5
2583,1,32,0.5
2592,1,32,0.5
2601,1,32,0.5
2610,1,32,0.5
2619,1,32,0.5
2628,1,32,0.5
2637,1,32,0.5
2646,1,32,0.5
2655,1,32,0.5
2664,1,32,0.5
2673,1,32,0.5
2682,1,32,0.5
2691,1,32,0.5
2700,1,32,0.5
2709,1,32,0.5
2718,1,32,0.5
2727,1,32,0.5
2736,1,32,0.5
2745,1,32,0.5
2754,1,32,0.5
2763,1,32,0.5
2772,1,32,0.5
2781,1,32,0.5
2790,1,32,0.5
2799,1,32,0.5
2808,1,32,0.5
2817,1,32,0.5
2826,1,32,0.5
2835,1,32,0.5
2844,1,32,0.5
2853,1,32,0.5
2862,1,32,0.5
2871,1,32,0.5
2880,1,32,0.5
2889,1,32,0.5
2898,1,32,0.5
2907,1,32,0.5
2916,1,32,0.5
2925,1,32,0.5
2934,1,32,0.5
2943,1,32,0.5
2952,1,32,0.5
2961,1,32,0.5
2970,1,32,0.5
2979,1,32,0.5
2988,1,32,0.5
2997,1,32,0.5
3006,1,32,0.5
3015,1,32,0.5
3024,1,32,0.5
3033,1,32,0.5
3042,1,32,0.5
3051,1,32,0.5
3060,1,32,0.5
3069,1,32,0.5
3078,1,32,0.5
3087,1,32,0.5
3096,1,32,0.5
3105,1,32,0.5
3114,1,32,0.5
3123,1,32,0.5
3132,1,32,0.5
3141,1,32,0.5
3150,1,32,0.5
3159,1,32,0.5
3168,1,32,0.5
3177,1,32,0.5
3186,1,32,0.5
3195,1,32,0.5
3204,1,32,0.5
3213,1,32,0.5
3222,1,32,0.5
3231,1,32,0.5
3240,1,32,0.5
3249,1,32,0.5
3258,1,32,0.5
3267,1,32,0.5
3276,1,32,0.5
3285,1,32,0.5
3294,1,32,0.5
3303,1,32,0.5
3312,1,32,0.5
3321,1,32,0.5
3330,1,32,0.5
3339,1,32,0.5
3348,1,32,0.5
3357,1,32,0.5
3366,1,32,0.5
3375,1,32,0.5
3384,1,32,0.5
3393,1,32,0.5
3402,1,32,0.5
3411,1,32,0.5
3420,1,32,0.5
3429,1,32,0.5
3438,1,32,0.5
3447,1,32,0.5
3456,1,32,0.5
3465,1,32,0.5
3474,1,32,0.5
3483,1,32,0.5
3492,1,32,0.5
3501,1,32,0.5
3510,1,32,0.5
3519,1,32,0.5
3528,1,32,0.5
3537,1,32,0.5
3546,1,32,0.5
3555,1,32,0.5
3564,1,32,0.5
3573,1,32,0.5
3582,1,32,0.5
3591,1,32,0.5
