~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_acc_auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.8888888888888888,0.62,0.7544444444444445,0.7430309460568757,0.8222222222222223,0.8042735042735043,1,0.7544444444444445
2,2,0.8888888888888888,0.615,0.7519444444444444,0.7624933589252489,0.8,0.8168091168091169,1,0.7544444444444445
3,3,0.8888888888888888,0.62,0.7544444444444445,0.7812337618830469,0.8222222222222223,0.8259259259259261,1,0.7544444444444445
4,4,0.8888888888888888,0.6375000000000001,0.7631944444444445,0.7920437113703178,0.888888888888889,0.8343304843304844,4,0.7631944444444445
5,5,0.8888888888888888,0.635,0.7619444444444444,0.8028816201626028,0.8222222222222223,0.8527065527065528,4,0.7631944444444445
6,6,0.8888888888888888,0.64,0.7644444444444445,0.8044376310821426,0.8666666666666667,0.8532763532763533,6,0.7644444444444445
7,7,0.8888888888888888,0.625,0.7569444444444444,0.8082428534003391,0.888888888888889,0.8521367521367522,6,0.7644444444444445
8,8,0.8888888888888888,0.625,0.7569444444444444,0.8029324703973947,0.8666666666666667,0.8421652421652422,6,0.7644444444444445
9,9,0.8888888888888888,0.63,0.7594444444444444,0.8067142770933999,0.888888888888889,0.8316239316239316,6,0.7644444444444445
10,10,0.8888888888888888,0.595,0.7419444444444444,0.8177477680712715,0.8666666666666667,0.8384615384615384,6,0.7644444444444445
11,11,0.8888888888888888,0.505,0.6969444444444444,0.819197203697105,0.8666666666666667,0.8441595441595442,6,0.7644444444444445
12,12,0.8888888888888888,0.485,0.6869444444444444,0.809216362443192,0.888888888888889,0.8407407407407407,6,0.7644444444444445
13,13,0.8888888888888888,0.48500000000000004,0.6869444444444445,0.8049574808896707,0.8666666666666667,0.8363247863247864,6,0.7644444444444445
14,14,0.8888888888888888,0.485,0.6869444444444444,0.8013937108582504,0.8666666666666667,0.8346153846153846,6,0.7644444444444445
15,15,0.8888888888888888,0.525,0.7069444444444444,0.796933713311646,0.8666666666666667,0.8329059829059828,6,0.7644444444444445
16,16,0.8888888888888888,0.555,0.7219444444444445,0.7903603788566036,0.8666666666666667,0.8289173789173789,6,0.7644444444444445
17,17,0.8888888888888888,0.585,0.7369444444444444,0.7845206126520209,0.8444444444444444,0.8243589743589744,6,0.7644444444444445
18,18,0.8888888888888888,0.605,0.7469444444444444,0.7826821612403722,0.8444444444444444,0.8326210826210826,6,0.7644444444444445
19,19,0.8888888888888888,0.6450000000000001,0.7669444444444444,0.7830352907125091,0.8666666666666667,0.8364672364672365,19,0.7669444444444444
20,20,0.8888888888888888,0.655,0.7719444444444444,0.7808855639572463,0.8666666666666667,0.8358974358974359,20,0.7719444444444444
21,21,0.9111111111111111,0.71,0.8105555555555555,0.7855565440333758,0.888888888888889,0.8353276353276354,21,0.8105555555555555
22,22,0.9333333333333333,0.75,0.8416666666666667,0.7827529641017941,0.8666666666666667,0.8347578347578349,22,0.8416666666666667
23,23,0.8888888888888888,0.7949999999999999,0.8419444444444444,0.7850720925058133,0.8666666666666667,0.8447293447293447,23,0.8419444444444444
24,24,0.8444444444444444,0.815,0.8297222222222222,0.7905154471133309,0.8666666666666667,0.8558404558404559,23,0.8419444444444444
25,25,0.7555555555555555,0.87,0.8127777777777778,0.7924191008000024,0.8666666666666667,0.8552706552706554,23,0.8419444444444444
26,26,0.7777777777777778,0.875,0.8263888888888888,0.7948209770060995,0.888888888888889,0.8547008547008549,23,0.8419444444444444
27,27,0.8222222222222222,0.8800000000000001,0.8511111111111112,0.7935696901185724,0.9111111111111111,0.8547008547008549,27,0.8511111111111112
28,28,0.8,0.8800000000000001,0.8400000000000001,0.7901675758045981,0.888888888888889,0.8547008547008549,27,0.8511111111111112
29,29,0.8,0.875,0.8375,0.7890431538805094,0.8666666666666667,0.8547008547008549,27,0.8511111111111112
30,30,0.8,0.88,0.8400000000000001,0.7894007377510112,0.8666666666666667,0.8547008547008549,27,0.8511111111111112
31,31,0.8,0.895,0.8475,0.7896152312271355,0.8666666666666667,0.8547008547008549,27,0.8511111111111112
32,32,0.8,0.895,0.8475,0.7856608915092652,0.8666666666666667,0.8491452991452993,27,0.8511111111111112
33,33,0.8,0.9,0.8500000000000001,0.7877096588982431,0.8666666666666667,0.8491452991452993,27,0.8511111111111112
34,34,0.8,0.905,0.8525,0.7871966162082146,0.8666666666666667,0.8435897435897437,34,0.8525
35,35,0.8,0.91,0.855,0.7854217045005015,0.8666666666666667,0.8380341880341882,35,0.855
36,36,0.8,0.9199999999999999,0.86,0.7873724534199681,0.8666666666666667,0.8386039886039887,36,0.86
37,37,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.7903922946851942,0.888888888888889,0.8391737891737892,37,0.8761111111111111
38,38,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.7854448023566867,0.8444444444444444,0.8391737891737892,37,0.8761111111111111
39,39,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.7823833413869767,0.8666666666666667,0.8280626780626781,37,0.8761111111111111
40,40,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7833705266771347,0.8444444444444444,0.8280626780626781,40,0.8872222222222221
41,41,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.8079401220606678,0.8666666666666667,0.857977207977208,41,0.8897222222222222
42,42,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.8100850784565604,0.888888888888889,0.8591168091168091,41,0.8897222222222222
43,43,0.8222222222222222,0.9349999999999999,0.878611111111111,0.8103718151977344,0.888888888888889,0.8591168091168091,41,0.8897222222222222
44,44,0.8444444444444444,0.94,0.8922222222222222,0.8109776118131629,0.888888888888889,0.8591168091168091,44,0.8922222222222222
45,45,0.8444444444444444,0.94,0.8922222222222222,0.8124323644928574,0.888888888888889,0.8591168091168091,44,0.8922222222222222
46,46,0.8444444444444444,0.94,0.8922222222222222,0.8110762625384648,0.888888888888889,0.857977207977208,44,0.8922222222222222
47,47,0.8444444444444444,0.94,0.8922222222222222,0.8073378822402554,0.8666666666666667,0.8556980056980057,44,0.8922222222222222
48,48,0.8444444444444444,0.94,0.8922222222222222,0.8141366963106421,0.888888888888889,0.8641025641025641,44,0.8922222222222222
49,49,0.8444444444444444,0.94,0.8922222222222222,0.8153145445955168,0.8666666666666667,0.8646723646723646,44,0.8922222222222222
50,50,0.8444444444444444,0.945,0.8947222222222222,0.8142058732950238,0.8666666666666667,0.8646723646723646,50,0.8947222222222222
51,51,0.8444444444444444,0.945,0.8947222222222222,0.8142203582215247,0.8666666666666667,0.8646723646723646,50,0.8947222222222222
52,52,0.8444444444444444,0.94,0.8922222222222222,0.7979979723221656,0.8444444444444444,0.8433048433048433,50,0.8947222222222222
53,53,0.8444444444444444,0.94,0.8922222222222222,0.7970653748196836,0.8222222222222223,0.8421652421652422,50,0.8947222222222222
54,54,0.8666666666666667,0.94,0.9033333333333333,0.793231354928713,0.8222222222222223,0.8370370370370371,54,0.9033333333333333
55,55,0.8444444444444444,0.94,0.8922222222222222,0.7910423438623824,0.8222222222222223,0.8353276353276354,54,0.9033333333333333
56,56,0.8444444444444444,0.94,0.8922222222222222,0.7909147449364191,0.8444444444444444,0.8353276353276354,54,0.9033333333333333
57,57,0.8444444444444444,0.94,0.8922222222222222,0.7888454225909163,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
58,58,0.8444444444444444,0.94,0.8922222222222222,0.7894755708195005,0.8666666666666667,0.8347578347578349,54,0.9033333333333333
59,59,0.8666666666666667,0.94,0.9033333333333333,0.7916772686895923,0.888888888888889,0.8358974358974359,54,0.9033333333333333
60,60,0.8666666666666667,0.94,0.9033333333333333,0.7915017367191886,0.8666666666666667,0.8358974358974359,54,0.9033333333333333
61,61,0.8444444444444444,0.94,0.8922222222222222,0.7893787952953748,0.8666666666666667,0.8347578347578349,54,0.9033333333333333
62,62,0.8444444444444444,0.94,0.8922222222222222,0.7887156007614269,0.8666666666666667,0.8347578347578349,54,0.9033333333333333
63,63,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7890973810281176,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
64,64,0.8666666666666667,0.9349999999999999,0.9008333333333334,0.7918963051048085,0.8666666666666667,0.8358974358974359,54,0.9033333333333333
65,65,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7925343547327581,0.8666666666666667,0.8358974358974359,54,0.9033333333333333
66,66,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7915997797527327,0.8666666666666667,0.8303418803418803,54,0.9033333333333333
67,67,0.8666666666666667,0.9349999999999999,0.9008333333333334,0.7909866727627533,0.8666666666666667,0.8303418803418803,54,0.9033333333333333
68,68,0.8666666666666667,0.9349999999999999,0.9008333333333334,0.7921423950082191,0.8666666666666667,0.8358974358974359,54,0.9033333333333333
69,69,0.8666666666666667,0.9349999999999999,0.9008333333333334,0.7919415259184611,0.8666666666666667,0.8358974358974359,54,0.9033333333333333
70,70,0.8666666666666667,0.9349999999999999,0.9008333333333334,0.7932931187084256,0.8666666666666667,0.8358974358974359,54,0.9033333333333333
71,71,0.8666666666666667,0.9349999999999999,0.9008333333333334,0.7931195234291665,0.8666666666666667,0.8358974358974359,54,0.9033333333333333
72,72,0.8666666666666667,0.9349999999999999,0.9008333333333334,0.7915322579741063,0.8666666666666667,0.8358974358974359,54,0.9033333333333333
73,73,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.789045301822056,0.8666666666666667,0.8347578347578349,54,0.9033333333333333
74,74,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7886524464756403,0.8666666666666667,0.8347578347578349,54,0.9033333333333333
75,75,0.8222222222222222,0.9349999999999999,0.878611111111111,0.7886345140265071,0.8666666666666667,0.8347578347578349,54,0.9033333333333333
76,76,0.8444444444444444,0.94,0.8922222222222222,0.7897215138239095,0.888888888888889,0.8347578347578349,54,0.9033333333333333
77,77,0.8444444444444444,0.94,0.8922222222222222,0.7898025981452939,0.888888888888889,0.8347578347578349,54,0.9033333333333333
78,78,0.8444444444444444,0.94,0.8922222222222222,0.7885682116902198,0.888888888888889,0.8347578347578349,54,0.9033333333333333
79,79,0.8444444444444444,0.94,0.8922222222222222,0.7885894650740464,0.8666666666666667,0.8347578347578349,54,0.9033333333333333
80,80,0.8444444444444444,0.94,0.8922222222222222,0.7883878038627532,0.8666666666666667,0.8347578347578349,54,0.9033333333333333
81,81,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7890321006383283,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
82,82,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7875949754684456,0.8444444444444444,0.8292022792022794,54,0.9033333333333333
83,83,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7874759915620521,0.8444444444444444,0.8292022792022794,54,0.9033333333333333
84,84,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7885420029485762,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
85,85,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7888412525480561,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
86,86,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7897919381503026,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
87,87,0.8222222222222222,0.9349999999999999,0.878611111111111,0.790666395606807,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
88,88,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.7909760307637028,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
89,89,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.79032071477437,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
90,90,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7899090986093433,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
91,91,0.8444444444444444,0.9349999999999999,0.8897222222222222,0.7900054220390001,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
92,92,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7902428389430836,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
93,93,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.790113490230739,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
94,94,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.7899572698113607,0.8444444444444444,0.8347578347578349,54,0.9033333333333333
95,95,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.791094826461738,0.8444444444444444,0.8403133903133905,54,0.9033333333333333
96,96,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7906313123095149,0.8444444444444444,0.8403133903133905,54,0.9033333333333333
97,97,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7911894990764646,0.8444444444444444,0.8403133903133905,54,0.9033333333333333
98,98,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7910985693634026,0.8444444444444444,0.8403133903133905,54,0.9033333333333333
99,99,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7907957861433905,0.8444444444444444,0.8403133903133905,54,0.9033333333333333
100,100,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7902346088213442,0.8444444444444444,0.8403133903133905,54,0.9033333333333333
101,101,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7900865851218135,0.8444444444444444,0.8403133903133905,54,0.9033333333333333
102,102,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.7898658189833686,0.8444444444444444,0.8403133903133905,54,0.9033333333333333
103,103,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7905946902104404,0.8666666666666667,0.8403133903133905,54,0.9033333333333333
104,104,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.7903007653863365,0.8666666666666667,0.8403133903133905,54,0.9033333333333333
105,105,0.8222222222222222,0.9299999999999999,0.8761111111111111,0.790262465604447,0.8666666666666667,0.8403133903133905,54,0.9033333333333333
106,106,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7913768463910381,0.8666666666666667,0.8403133903133905,54,0.9033333333333333
107,107,0.8444444444444444,0.9299999999999999,0.8872222222222221,0.7907327975921374,0.8666666666666667,0.8403133903133905,54,0.9033333333333333
