~iteration~,pos_margin,neg_margin
0,0.1,4
9,0.1,4
18,0.1,4
27,0.1,4
36,0.1,4
45,0.1,4
54,0.1,4
63,0.1,4
72,0.1,4
81,0.1,4
90,0.1,4
99,0.1,4
108,0.1,4
117,0.1,4
126,0.1,4
135,0.1,4
144,0.1,4
153,0.1,4
162,0.1,4
171,0.1,4
180,0.1,4
189,0.1,4
198,0.1,4
207,0.1,4
216,0.1,4
225,0.1,4
234,0.1,4
243,0.1,4
252,0.1,4
261,0.1,4
270,0.1,4
279,0.1,4
288,0.1,4
297,0.1,4
306,0.1,4
315,0.1,4
324,0.1,4
333,0.1,4
342,0.1,4
351,0.1,4
360,0.1,4
369,0.1,4
378,0.1,4
387,0.1,4
396,0.1,4
405,0.1,4
414,0.1,4
423,0.1,4
432,0.1,4
441,0.1,4
450,0.1,4
459,0.1,4
468,0.1,4
477,0.1,4
486,0.1,4
495,0.1,4
504,0.1,4
513,0.1,4
522,0.1,4
531,0.1,4
540,0.1,4
549,0.1,4
558,0.1,4
567,0.1,4
576,0.1,4
585,0.1,4
594,0.1,4
603,0.1,4
612,0.1,4
621,0.1,4
630,0.1,4
639,0.1,4
648,0.1,4
657,0.1,4
666,0.1,4
675,0.1,4
684,0.1,4
693,0.1,4
702,0.1,4
711,0.1,4
720,0.1,4
729,0.1,4
738,0.1,4
747,0.1,4
756,0.1,4
765,0.1,4
774,0.1,4
783,0.1,4
792,0.1,4
801,0.1,4
810,0.1,4
819,0.1,4
828,0.1,4
837,0.1,4
846,0.1,4
855,0.1,4
864,0.1,4
873,0.1,4
882,0.1,4
891,0.1,4
900,0.1,4
909,0.1,4
918,0.1,4
927,0.1,4
936,0.1,4
945,0.1,4
954,0.1,4
963,0.1,4
972,0.1,4
981,0.1,4
990,0.1,4
999,0.1,4
1008,0.1,4
1017,0.1,4
1026,0.1,4
1035,0.1,4
1044,0.1,4
1053,0.1,4
1062,0.1,4
1071,0.1,4
1080,0.1,4
1089,0.1,4
1098,0.1,4
1107,0.1,4
1116,0.1,4
1125,0.1,4
