~iteration~,epsilon
0,0.25
9,0.25
18,0.25
27,0.25
36,0.25
45,0.25
54,0.25
63,0.25
72,0.25
81,0.25
90,0.25
99,0.25
108,0.25
117,0.25
126,0.25
135,0.25
144,0.25
153,0.25
162,0.25
171,0.25
180,0.25
189,0.25
198,0.25
207,0.25
216,0.25
225,0.25
234,0.25
243,0.25
252,0.25
261,0.25
270,0.25
279,0.25
288,0.25
297,0.25
306,0.25
315,0.25
324,0.25
333,0.25
342,0.25
351,0.25
360,0.25
369,0.25
378,0.25
387,0.25
396,0.25
405,0.25
414,0.25
423,0.25
432,0.25
441,0.25
450,0.25
459,0.25
468,0.25
477,0.25
486,0.25
495,0.25
504,0.25
513,0.25
522,0.25
531,0.25
540,0.25
549,0.25
558,0.25
567,0.25
576,0.25
585,0.25
594,0.25
603,0.25
612,0.25
621,0.25
630,0.25
639,0.25
648,0.25
657,0.25
666,0.25
675,0.25
684,0.25
693,0.25
702,0.25
711,0.25
720,0.25
729,0.25
738,0.25
747,0.25
756,0.25
765,0.25
774,0.25
783,0.25
792,0.25
801,0.25
810,0.25
819,0.25
828,0.25
837,0.25
846,0.25
855,0.25
864,0.25
873,0.25
882,0.25
891,0.25
900,0.25
909,0.25
918,0.25
927,0.25
936,0.25
945,0.25
954,0.25
963,0.25
972,0.25
981,0.25
990,0.25
999,0.25
1008,0.25
1017,0.25
1026,0.25
1035,0.25
1044,0.25
1053,0.25
1062,0.25
1071,0.25
1080,0.25
1089,0.25
1098,0.25
1107,0.25
1116,0.25
1125,0.25
1134,0.25
1143,0.25
1152,0.25
1161,0.25
1170,0.25
1179,0.25
1188,0.25
1197,0.25
1206,0.25
1215,0.25
1224,0.25
1233,0.25
1242,0.25
1251,0.25
1260,0.25
1269,0.25
1278,0.25
1287,0.25
1296,0.25
1305,0.25
1314,0.25
1323,0.25
1332,0.25
1341,0.25
1350,0.25
1359,0.25
1368,0.25
1377,0.25
1386,0.25
1395,0.25
1404,0.25
1413,0.25
1422,0.25
1431,0.25
1440,0.25
1449,0.25
1458,0.25
1467,0.25
1476,0.25
1485,0.25
1494,0.25
1503,0.25
1512,0.25
1521,0.25
1530,0.25
1539,0.25
1548,0.25
1557,0.25
1566,0.25
1575,0.25
1584,0.25
1593,0.25
1602,0.25
1611,0.25
1620,0.25
1629,0.25
1638,0.25
1647,0.25
1656,0.25
1665,0.25
1674,0.25
1683,0.25
1692,0.25
1701,0.25
1710,0.25
1719,0.25
1728,0.25
1737,0.25
1746,0.25
1755,0.25
1764,0.25
1773,0.25
1782,0.25
1791,0.25
1800,0.25
1809,0.25
1818,0.25
1827,0.25
1836,0.25
1845,0.25
1854,0.25
1863,0.25
1872,0.25
1881,0.25
1890,0.25
1899,0.25
1908,0.25
1917,0.25
1926,0.25
1935,0.25
1944,0.25
1953,0.25
1962,0.25
1971,0.25
1980,0.25
1989,0.25
1998,0.25
2007,0.25
2016,0.25
2025,0.25
2034,0.25
2043,0.25
2052,0.25
2061,0.25
2070,0.25
2079,0.25
2088,0.25
2097,0.25
2106,0.25
2115,0.25
2124,0.25
2133,0.25
2142,0.25
2151,0.25
2160,0.25
2169,0.25
2178,0.25
2187,0.25
2196,0.25
2205,0.25
2214,0.25
2223,0.25
2232,0.25
2241,0.25
2250,0.25
2259,0.25
2268,0.25
2277,0.25
2286,0.25
2295,0.25
2304,0.25
2313,0.25
2322,0.25
2331,0.25
2340,0.25
2349,0.25
2358,0.25
2367,0.25
2376,0.25
2385,0.25
2394,0.25
2403,0.25
2412,0.25
2421,0.25
2430,0.25
2439,0.25
2448,0.25
2457,0.25
2466,0.25
2475,0.25
2484,0.25
2493,0.25
2502,0.25
2511,0.25
2520,0.25
2529,0.25
2538,0.25
2547,0.25
2556,0.25
2565,0.25
2574,0.25
2583,0.25
2592,0.25
2601,0.25
2610,0.25
2619,0.25
2628,0.25
2637,0.25
2646,0.25
2655,0.25
2664,0.25
2673,0.25
2682,0.25
2691,0.25
2700,0.25
2709,0.25
2718,0.25
2727,0.25
2736,0.25
2745,0.25
2754,0.25
2763,0.25
2772,0.25
2781,0.25
2790,0.25
2799,0.25
2808,0.25
2817,0.25
2826,0.25
2835,0.25
2844,0.25
2853,0.25
2862,0.25
2871,0.25
2880,0.25
2889,0.25
2898,0.25
2907,0.25
2916,0.25
2925,0.25
2934,0.25
2943,0.25
2952,0.25
2961,0.25
2970,0.25
2979,0.25
2988,0.25
2997,0.25
3006,0.25
3015,0.25
3024,0.25
3033,0.25
3042,0.25
3051,0.25
3060,0.25
3069,0.25
3078,0.25
3087,0.25
3096,0.25
3105,0.25
3114,0.25
3123,0.25
3132,0.25
3141,0.25
3150,0.25
3159,0.25
3168,0.25
3177,0.25
3186,0.25
3195,0.25
3204,0.25
3213,0.25
3222,0.25
3231,0.25
3240,0.25
3249,0.25
3258,0.25
3267,0.25
3276,0.25
3285,0.25
3294,0.25
3303,0.25
3312,0.25
3321,0.25
3330,0.25
3339,0.25
3348,0.25
3357,0.25
3366,0.25
3375,0.25
3384,0.25
3393,0.25
3402,0.25
3411,0.25
3420,0.25
3429,0.25
3438,0.25
3447,0.25
3456,0.25
3465,0.25
3474,0.25
3483,0.25
3492,0.25
3501,0.25
3510,0.25
3519,0.25
3528,0.25
3537,0.25
3546,0.25
3555,0.25
3564,0.25
3573,0.25
3582,0.25
3591,0.25
